arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
0_0,6lhxfy,e_reb_mJ,13.92846,0.34529,8.35345,4.34581
0_0,6lhxfy,t180,0.89308,0.00041,1.00405,0.12414
10_0,r2d2c3,e_reb_mJ,5.59153,0.13816,5.74992,3.08984
10_0,r2d2c3,t180,1.33365,0.00254,1.07013,0.08996
11_0,r2d2c4,e_reb_mJ,6.44300,0.15283,8.62689,3.54716
11_0,r2d2c4,t180,1.18468,0.00166,1.07000,0.11159
12_0,r2d2c5,e_reb_mJ,6.70613,0.13180,6.45358,2.91972
12_0,r2d2c5,t180,1.15155,0.00087,1.03339,0.10448
13_0,r2d2c6,e_reb_mJ,4.06643,0.09830,6.32998,3.11492
13_0,r2d2c6,t180,1.05485,0.00092,1.08391,0.11048
14_0,r2d2c7,e_reb_mJ,12.16638,0.30060,6.90224,3.65808
14_0,r2d2c7,t180,0.94838,0.00018,1.04283,0.09285
15_0,r2d2c8,e_reb_mJ,7.89260,0.18176,8.78738,4.15533
15_0,r2d2c8,t180,1.07043,0.00247,1.14525,0.08297
16_0,r2d2c9,e_reb_mJ,5.84132,0.14923,7.33235,3.52900
16_0,r2d2c9,t180,1.05299,0.00077,1.07880,0.11920
17_0,drran1,e_reb_mJ,18.09234,0.42966,8.50814,3.32516
17_0,drran1,t180,1.03259,0.00037,1.03018,0.10799
26_0,2dran1,e_reb_mJ,7.34440,0.17810,8.50814,3.32516
26_0,2dran1,t180,1.07913,0.00081,1.03018,0.10799
18_0,drran2,e_reb_mJ,11.75853,0.27956,5.59928,0.08080
18_0,drran2,t180,1.03454,0.00014,1.04634,0.00044
27_0,2dran2,e_reb_mJ,4.47640,0.21308,5.59928,0.08080
27_0,2dran2,t180,1.08997,0.00131,1.04634,0.00044
19_0,drran3,e_reb_mJ,4.23195,0.11016,7.52475,3.13252
19_0,drran3,t180,1.03891,0.00026,1.04062,0.09671
28_0,2dran3,e_reb_mJ,9.42891,1.44188,7.52475,3.13252
28_0,2dran3,t180,1.05332,0.00077,1.04062,0.09671
1_0,6nheas,e_reb_mJ,13.07036,0.27512,8.73300,4.66892
1_0,6nheas,t180,0.99701,0.00032,1.03116,0.11208
20_0,drran4,e_reb_mJ,9.09563,0.20901,8.54062,3.71901
20_0,drran4,t180,1.03436,0.00037,1.03227,0.10518
29_0,2dran4,e_reb_mJ,11.18831,0.26727,8.54062,3.71901
29_0,2dran4,t180,1.04333,0.00058,1.03227,0.10518
21_0,drran5,e_reb_mJ,4.96849,0.13705,6.57057,0.09637
21_0,drran5,t180,1.03733,0.00053,1.04703,0.00047
30_0,2dran5,e_reb_mJ,4.97704,0.19201,6.57057,0.09637
30_0,2dran5,t180,1.06043,0.00031,1.04703,0.00047
22_0,drran6,e_reb_mJ,4.76610,0.12009,9.79926,4.42053
22_0,drran6,t180,1.04708,0.00088,1.02824,0.11018
31_0,2dran6,e_reb_mJ,7.73840,0.74894,9.79926,4.42053
31_0,2dran6,t180,1.08590,0.00437,1.02824,0.11018
23_0,drran7,e_reb_mJ,8.17106,0.20147,8.14157,4.22985
23_0,drran7,t180,1.25129,0.00215,1.04102,0.10062
32_0,2dran7,e_reb_mJ,11.63227,0.26324,8.14157,4.22985
32_0,2dran7,t180,1.02861,0.00036,1.04102,0.10062
24_0,drran8,e_reb_mJ,11.22127,0.64617,7.07881,2.66980
24_0,drran8,t180,0.98044,0.00114,1.04039,0.10280
33_0,2dran8,e_reb_mJ,9.90120,0.23256,7.07881,2.66980
33_0,2dran8,t180,1.01085,0.00024,1.04039,0.10280
25_0,drran9,e_reb_mJ,5.20130,0.12435,5.63442,0.09309
25_0,drran9,t180,1.04249,0.00021,1.04999,0.00047
34_0,2dran9,e_reb_mJ,15.12595,0.35422,5.63442,0.09309
34_0,2dran9,t180,1.04510,0.00053,1.04999,0.00047
2_0,9hhbkp,e_reb_mJ,6.94742,0.14748,8.81185,4.40937
2_0,9hhbkp,t180,1.01834,0.00017,1.02411,0.11490
35_0,corny1,e_reb_mJ,8.66300,0.22943,4.93896,2.44720
35_0,corny1,t180,1.04594,0.00065,1.08836,0.00885
36_0,corny2,e_reb_mJ,9.22423,0.21580,9.12587,4.22467
