arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
0_0,6lhxfy,e_reb_mJ,13.92846,0.34529,8.51917,4.13346
0_0,6lhxfy,t180,0.89308,0.00041,1.03617,0.09422
10_0,r2d2c3,e_reb_mJ,5.59153,0.13816,8.64168,3.90031
10_0,r2d2c3,t180,1.33365,0.00254,1.03781,0.08712
11_0,r2d2c4,e_reb_mJ,6.44300,0.15283,8.57031,3.78013
11_0,r2d2c4,t180,1.18468,0.00166,1.01560,0.09203
12_0,r2d2c5,e_reb_mJ,6.70613,0.13180,8.49441,3.89836
12_0,r2d2c5,t180,1.15155,0.00087,1.03409,0.10102
13_0,r2d2c6,e_reb_mJ,4.06643,0.09830,8.68523,3.79801
13_0,r2d2c6,t180,1.05485,0.00092,1.04157,0.10721
14_0,r2d2c7,e_reb_mJ,12.16638,0.30060,8.79196,3.91865
14_0,r2d2c7,t180,0.94838,0.00018,1.04360,0.09848
15_0,r2d2c8,e_reb_mJ,7.89260,0.18176,8.52014,3.90322
15_0,r2d2c8,t180,1.07043,0.00247,1.04502,0.10443
16_0,r2d2c9,e_reb_mJ,5.84132,0.14923,8.29597,3.88875
16_0,r2d2c9,t180,1.05299,0.00077,1.04118,0.10551
17_0,drran1,e_reb_mJ,18.09234,0.42966,8.62190,3.65402
17_0,drran1,t180,1.03259,0.00037,1.02247,0.09526
26_0,2dran1,e_reb_mJ,7.34440,0.17810,8.61844,3.67905
26_0,2dran1,t180,1.07913,0.00081,1.01823,0.10543
18_0,drran2,e_reb_mJ,11.75853,0.27956,5.75348,2.13445
18_0,drran2,t180,1.03454,0.00014,1.04771,0.03318
27_0,2dran2,e_reb_mJ,4.47640,0.21308,15.07652,0.35293
27_0,2dran2,t180,1.08997,0.00131,1.04510,0.00087
19_0,drran3,e_reb_mJ,4.23195,0.11016,8.55611,3.91370
19_0,drran3,t180,1.03891,0.00026,1.04044,0.10012
28_0,2dran3,e_reb_mJ,9.42891,1.44188,8.54190,3.91191
28_0,2dran3,t180,1.05332,0.00077,1.04303,0.09903
1_0,6nheas,e_reb_mJ,13.07036,0.27512,8.46435,3.86533
1_0,6nheas,t180,0.99701,0.00032,1.05045,0.10798
20_0,drran4,e_reb_mJ,9.09563,0.20901,7.88603,4.15581
20_0,drran4,t180,1.03436,0.00037,1.05296,0.10307
29_0,2dran4,e_reb_mJ,11.18831,0.26727,8.59117,4.13769
29_0,2dran4,t180,1.04333,0.00058,1.05016,0.10351
21_0,drran5,e_reb_mJ,4.96849,0.13705,9.11240,3.90489
21_0,drran5,t180,1.03733,0.00053,1.04896,0.10359
30_0,2dran5,e_reb_mJ,4.97704,0.19201,9.11080,3.90512
30_0,2dran5,t180,1.06043,0.00031,1.05934,0.09940
22_0,drran6,e_reb_mJ,4.76610,0.12009,8.57699,3.97181
22_0,drran6,t180,1.04708,0.00088,1.03709,0.09682
31_0,2dran6,e_reb_mJ,7.73840,0.74894,8.57754,3.97181
31_0,2dran6,t180,1.08590,0.00437,1.03049,0.09579
23_0,drran7,e_reb_mJ,8.17106,0.20147,8.51062,4.01440
23_0,drran7,t180,1.25129,0.00215,1.03943,0.09890
32_0,2dran7,e_reb_mJ,11.63227,0.26324,8.51063,4.01440
32_0,2dran7,t180,1.02861,0.00036,1.03912,0.09999
24_0,drran8,e_reb_mJ,11.22127,0.64617,8.59513,4.14268
24_0,drran8,t180,0.98044,0.00114,1.06542,0.08775
33_0,2dran8,e_reb_mJ,9.90120,0.23256,8.18859,4.07425
33_0,2dran8,t180,1.01085,0.00024,1.04691,0.09716
25_0,drran9,e_reb_mJ,5.20130,0.12435,11.06876,2.13972
25_0,drran9,t180,1.04249,0.00021,1.03475,0.03870
34_0,2dran9,e_reb_mJ,15.12595,0.35422,4.48867,0.21276
34_0,2dran9,t180,1.04510,0.00053,1.08996,0.00131
2_0,9hhbkp,e_reb_mJ,6.94742,0.14748,8.41161,3.83727
2_0,9hhbkp,t180,1.01834,0.00017,1.04175,0.10078
35_0,corny1,e_reb_mJ,8.66300,0.22943,8.75639,3.93238
35_0,corny1,t180,1.04594,0.00065,1.06116,0.08874
36_0,corny2,e_reb_mJ,9.22423,0.21580,8.38083,3.68900
36_0,corny2,t180,1.08462,0.00067,1.04400,0.08416
37_0,corny3,e_reb_mJ,8.75159,0.20101,8.74762,3.78918
37_0,corny3,t180,1.07046,0.00030,1.05481,0.09980
38_0,corny4,e_reb_mJ,4.31345,0.09810,8.65459,4.01559
38_0,corny4,t180,1.04750,0.00055,1.08592,0.02356
39_0,corny5,e_reb_mJ,8.47746,0.26171,7.89421,4.06549
39_0,corny5,t180,1.08756,0.00221,1.04729,0.01583
3_0,autv5r,e_reb_mJ,8.83094,0.18508,8.50387,3.99066
3_0,autv5r,t180,1.04043,0.00034,1.05009,0.10367
40_0,corny6,e_reb_mJ,5.72631,0.55165,10.48284,4.30259
40_0,corny6,t180,0.91060,0.00405,0.95803,0.10117
41_0,corny7,e_reb_mJ,9.36659,0.86136,8.88950,4.06152
41_0,corny7,t180,0.80311,0.00056,0.95874,0.04832
42_0,corny8,e_reb_mJ,17.54042,1.16007,8.27060,3.71376
42_0,corny8,t180,0.95353,0.00055,0.81854,0.03487
43_0,corny9,e_reb_mJ,18.09369,0.89126,7.79259,3.48967
43_0,corny9,t180,0.87658,0.00082,1.00259,0.09524
4_0,bag26v,e_reb_mJ,7.71451,0.16466,8.44904,4.02087
4_0,bag26v,t180,1.06162,0.00051,1.04438,0.10460
5_0,bpx68c,e_reb_mJ,6.18044,0.13997,8.59586,3.78921
5_0,bpx68c,t180,1.01107,0.00023,1.05401,0.10304
6_0,nvxsrv,e_reb_mJ,8.20205,0.18474,8.59500,3.70649
6_0,nvxsrv,t180,1.02755,0.00044,1.04795,0.10078
7_0,ajhby6,e_reb_mJ,6.09974,0.13724,8.34392,4.01439
7_0,ajhby6,t180,1.01266,0.00038,1.04778,0.10165
8_0,r2d2c1,e_reb_mJ,5.96517,0.14590,8.24913,3.82503
8_0,r2d2c1,t180,0.99415,0.00045,1.03888,0.10200
9_0,r2d2c2,e_reb_mJ,5.62455,0.15060,8.46640,3.83563
9_0,r2d2c2,t180,1.04107,0.00336,1.04944,0.09566
