arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
0_0,6lhxfy,e_reb_mJ,13.92846,0.34529,8.52910,4.06497
0_0,6lhxfy,t180,0.89308,0.00041,1.04535,0.10058
10_0,r2d2c3,e_reb_mJ,5.59153,0.13816,8.74054,3.88187
10_0,r2d2c3,t180,1.33365,0.00254,1.02035,0.08902
11_0,r2d2c4,e_reb_mJ,6.44300,0.15283,8.67451,4.11615
11_0,r2d2c4,t180,1.18468,0.00166,1.03720,0.10252
12_0,r2d2c5,e_reb_mJ,6.70613,0.13180,8.77498,4.16688
12_0,r2d2c5,t180,1.15155,0.00087,1.03949,0.10095
13_0,r2d2c6,e_reb_mJ,4.06643,0.09830,8.57273,3.98000
13_0,r2d2c6,t180,1.05485,0.00092,1.07382,0.11658
14_0,r2d2c7,e_reb_mJ,12.16638,0.30060,8.17202,4.31651
14_0,r2d2c7,t180,0.94838,0.00018,1.02394,0.10924
15_0,r2d2c8,e_reb_mJ,7.89260,0.18176,8.77007,3.92611
15_0,r2d2c8,t180,1.07043,0.00247,1.04567,0.10467
16_0,r2d2c9,e_reb_mJ,5.84132,0.14923,8.76813,4.32548
16_0,r2d2c9,t180,1.05299,0.00077,1.03988,0.09572
17_0,drran1,e_reb_mJ,18.09234,0.42966,8.36124,3.88252
17_0,drran1,t180,1.03259,0.00037,1.03732,0.10438
26_0,2dran1,e_reb_mJ,7.34440,0.17810,8.36109,3.88256
26_0,2dran1,t180,1.07913,0.00081,1.03977,0.10411
18_0,drran2,e_reb_mJ,11.75853,0.27956,8.07811,3.93758
18_0,drran2,t180,1.03454,0.00014,1.04009,0.06022
27_0,2dran2,e_reb_mJ,4.47640,0.21308,9.90610,4.17492
27_0,2dran2,t180,1.08997,0.00131,1.04150,0.05958
19_0,drran3,e_reb_mJ,4.23195,0.11016,8.54571,4.01466
19_0,drran3,t180,1.03891,0.00026,1.05283,0.10769
28_0,2dran3,e_reb_mJ,9.42891,1.44188,8.54566,4.01464
28_0,2dran3,t180,1.05332,0.00077,1.05295,0.10738
1_0,6nheas,e_reb_mJ,13.07036,0.27512,8.55216,4.06549
1_0,6nheas,t180,0.99701,0.00032,1.03678,0.10778
20_0,drran4,e_reb_mJ,9.09563,0.20901,8.46129,4.20054
20_0,drran4,t180,1.03436,0.00037,1.04759,0.10522
29_0,2dran4,e_reb_mJ,11.18831,0.26727,8.46129,4.20054
29_0,2dran4,t180,1.04333,0.00058,1.04672,0.10506
21_0,drran5,e_reb_mJ,4.96849,0.13705,8.72123,4.04853
21_0,drran5,t180,1.03733,0.00053,1.05256,0.10964
30_0,2dran5,e_reb_mJ,4.97704,0.19201,8.72124,4.04853
30_0,2dran5,t180,1.06043,0.00031,1.04801,0.11065
22_0,drran6,e_reb_mJ,4.76610,0.12009,8.39684,3.93186
22_0,drran6,t180,1.04708,0.00088,1.04438,0.10922
31_0,2dran6,e_reb_mJ,7.73840,0.74894,8.39685,3.93186
31_0,2dran6,t180,1.08590,0.00437,1.03937,0.10746
23_0,drran7,e_reb_mJ,8.17106,0.20147,8.60929,4.20806
23_0,drran7,t180,1.25129,0.00215,1.03781,0.10738
32_0,2dran7,e_reb_mJ,11.63227,0.26324,8.60930,4.20806
32_0,2dran7,t180,1.02861,0.00036,1.04058,0.10848
24_0,drran8,e_reb_mJ,11.22127,0.64617,8.72704,4.39220
24_0,drran8,t180,0.98044,0.00114,1.04154,0.10118
33_0,2dran8,e_reb_mJ,9.90120,0.23256,8.72703,4.39220
33_0,2dran8,t180,1.01085,0.00024,1.04830,0.10140
25_0,drran9,e_reb_mJ,5.20130,0.12435,9.48186,3.58260
25_0,drran9,t180,1.04249,0.00021,1.03768,0.06140
34_0,2dran9,e_reb_mJ,15.12595,0.35422,7.80469,3.74421
34_0,2dran9,t180,1.04510,0.00053,1.07980,0.06279
2_0,9hhbkp,e_reb_mJ,6.94742,0.14748,8.51658,3.91636
2_0,9hhbkp,t180,1.01834,0.00017,1.03268,0.11030
35_0,corny1,e_reb_mJ,8.66300,0.22943,8.96381,4.25169
35_0,corny1,t180,1.04594,0.00065,1.07096,0.06774
36_0,corny2,e_reb_mJ,9.22423,0.21580,8.36230,3.95432
36_0,corny2,t180,1.08462,0.00067,1.04381,0.06871
37_0,corny3,e_reb_mJ,8.75159,0.20101,8.55704,4.05369
37_0,corny3,t180,1.07046,0.00030,1.07460,0.10371
38_0,corny4,e_reb_mJ,4.31345,0.09810,8.55902,3.24805
38_0,corny4,t180,1.04750,0.00055,1.08765,0.01523
39_0,corny5,e_reb_mJ,8.47746,0.26171,6.97583,3.79890
39_0,corny5,t180,1.08756,0.00221,1.04730,0.01811
3_0,autv5r,e_reb_mJ,8.83094,0.18508,8.92828,4.30517
3_0,autv5r,t180,1.04043,0.00034,1.04915,0.10740
40_0,corny6,e_reb_mJ,5.72631,0.55165,8.65312,4.18044
40_0,corny6,t180,0.91060,0.00405,0.96576,0.10632
41_0,corny7,e_reb_mJ,9.36659,0.86136,8.54889,3.88062
41_0,corny7,t180,0.80311,0.00056,1.00111,0.09673
42_0,corny8,e_reb_mJ,17.54042,1.16007,8.55796,3.92780
42_0,corny8,t180,0.95353,0.00055,0.90960,0.11301
43_0,corny9,e_reb_mJ,18.09369,0.89126,8.22806,3.87237
43_0,corny9,t180,0.87658,0.00082,1.02533,0.10595
4_0,bag26v,e_reb_mJ,7.71451,0.16466,8.59865,4.09028
4_0,bag26v,t180,1.06162,0.00051,1.04088,0.10528
5_0,bpx68c,e_reb_mJ,6.18044,0.13997,8.52940,3.96739
5_0,bpx68c,t180,1.01107,0.00023,1.03567,0.10383
6_0,nvxsrv,e_reb_mJ,8.20205,0.18474,8.77718,4.25440
6_0,nvxsrv,t180,1.02755,0.00044,1.03839,0.10387
7_0,ajhby6,e_reb_mJ,6.09974,0.13724,8.61246,4.06295
7_0,ajhby6,t180,1.01266,0.00038,1.04061,0.10740
8_0,r2d2c1,e_reb_mJ,5.96517,0.14590,8.61824,4.15688
8_0,r2d2c1,t180,0.99415,0.00045,1.03809,0.10146
9_0,r2d2c2,e_reb_mJ,5.62455,0.15060,8.36837,3.85443
9_0,r2d2c2,t180,1.04107,0.00336,1.03760,0.09345
