arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
0_0,6lhxfy,late_avg3ms_g_per_g,4.21715,0.02782,2.08164,0.76863
0_0,6lhxfy,tavg10ms_per_g,0.06098,0.00010,0.06544,0.01049
10_0,r2d2c3,late_avg3ms_g_per_g,3.23410,0.04624,1.62382,0.87043
10_0,r2d2c3,tavg10ms_per_g,0.10274,0.00035,0.08420,0.00753
11_0,r2d2c4,late_avg3ms_g_per_g,1.76911,0.00380,2.28634,0.98233
11_0,r2d2c4,tavg10ms_per_g,0.08870,0.00008,0.08450,0.01348
12_0,r2d2c5,late_avg3ms_g_per_g,1.88050,0.01734,2.37267,1.07919
12_0,r2d2c5,tavg10ms_per_g,0.07620,0.00017,0.07286,0.01295
13_0,r2d2c6,late_avg3ms_g_per_g,0.85626,0.00927,1.49042,0.68816
13_0,r2d2c6,tavg10ms_per_g,0.07348,0.00015,0.07940,0.00893
14_0,r2d2c7,late_avg3ms_g_per_g,2.27003,0.00420,2.07154,1.02128
14_0,r2d2c7,tavg10ms_per_g,0.07267,0.00009,0.07575,0.00890
15_0,r2d2c8,late_avg3ms_g_per_g,2.68897,0.04370,2.02843,0.95629
15_0,r2d2c8,tavg10ms_per_g,0.08011,0.00008,0.07720,0.01069
16_0,r2d2c9,late_avg3ms_g_per_g,1.73233,0.00987,2.95901,0.98307
16_0,r2d2c9,tavg10ms_per_g,0.08690,0.00014,0.07959,0.01460
17_0,drran1,late_avg3ms_g_per_g,1.16242,0.01455,1.90675,0.89215
17_0,drran1,tavg10ms_per_g,0.06654,0.00003,0.07280,0.01095
26_0,2dran1,late_avg3ms_g_per_g,2.04822,0.05133,1.90675,0.89215
26_0,2dran1,tavg10ms_per_g,0.06641,0.00003,0.07280,0.01095
18_0,drran2,late_avg3ms_g_per_g,0.74448,0.00636,0.63664,0.00870
18_0,drran2,tavg10ms_per_g,0.08317,0.00005,0.07774,0.00006
27_0,2dran2,late_avg3ms_g_per_g,0.33620,0.01101,0.63664,0.00870
27_0,2dran2,tavg10ms_per_g,0.07894,0.00020,0.07774,0.00006
19_0,drran3,late_avg3ms_g_per_g,0.96154,0.01569,1.94580,0.82093
19_0,drran3,tavg10ms_per_g,0.07436,0.00016,0.07087,0.00876
28_0,2dran3,late_avg3ms_g_per_g,0.54949,0.03934,1.94580,0.82093
28_0,2dran3,tavg10ms_per_g,0.06810,0.00014,0.07087,0.00876
1_0,6nheas,late_avg3ms_g_per_g,2.29458,0.00690,2.49403,0.99976
1_0,6nheas,tavg10ms_per_g,0.07804,0.00003,0.06888,0.01093
20_0,drran4,late_avg3ms_g_per_g,1.95149,0.00523,2.09149,0.93203
20_0,drran4,tavg10ms_per_g,0.06714,0.00003,0.07131,0.00963
29_0,2dran4,late_avg3ms_g_per_g,2.02488,0.02735,2.09149,0.93203
29_0,2dran4,tavg10ms_per_g,0.07191,0.00009,0.07131,0.00963
21_0,drran5,late_avg3ms_g_per_g,0.67000,0.02241,0.61860,0.00595
21_0,drran5,tavg10ms_per_g,0.07935,0.00016,0.07980,0.00006
30_0,2dran5,late_avg3ms_g_per_g,0.42734,0.01711,0.61860,0.00595
30_0,2dran5,tavg10ms_per_g,0.07616,0.00010,0.07980,0.00006
22_0,drran6,late_avg3ms_g_per_g,1.17120,0.01257,1.10480,0.88017
22_0,drran6,tavg10ms_per_g,0.07853,0.00009,0.07323,0.01061
31_0,2dran6,late_avg3ms_g_per_g,0.40601,0.02073,1.10480,0.88017
31_0,2dran6,tavg10ms_per_g,0.07498,0.00065,0.07323,0.01061
23_0,drran7,late_avg3ms_g_per_g,2.42218,0.07901,2.08439,0.91514
23_0,drran7,tavg10ms_per_g,0.12316,0.00091,0.07365,0.01076
32_0,2dran7,late_avg3ms_g_per_g,1.82750,0.01796,2.08439,0.91514
32_0,2dran7,tavg10ms_per_g,0.07770,0.00005,0.07365,0.01076
24_0,drran8,late_avg3ms_g_per_g,1.84208,0.01149,2.15942,0.79366
24_0,drran8,tavg10ms_per_g,0.06676,0.00007,0.07040,0.01053
33_0,2dran8,late_avg3ms_g_per_g,3.18997,0.04740,2.15942,0.79366
33_0,2dran8,tavg10ms_per_g,0.06885,0.00004,0.07040,0.01053
25_0,drran9,late_avg3ms_g_per_g,0.71055,0.01975,0.56687,0.00622
25_0,drran9,tavg10ms_per_g,0.07791,0.00011,0.07953,0.00007
34_0,2dran9,late_avg3ms_g_per_g,0.72387,0.01381,0.56687,0.00622
34_0,2dran9,tavg10ms_per_g,0.07842,0.00012,0.07953,0.00007
2_0,9hhbkp,late_avg3ms_g_per_g,2.56193,0.00911,2.40036,1.00565
2_0,9hhbkp,tavg10ms_per_g,0.07052,0.00003,0.07153,0.01111
35_0,corny1,late_avg3ms_g_per_g,1.65106,0.05664,1.05406,0.30786
35_0,corny1,tavg10ms_per_g,0.06514,0.00026,0.07370,0.00720
36_0,corny2,late_avg3ms_g_per_g,1.17147,0.02157,1.63892,0.32206
36_0,corny2,tavg10ms_per_g,0.08055,0.00010,0.06706,0.00391
37_0,corny3,late_avg3ms_g_per_g,1.53569,0.03290,0.91316,0.41976
37_0,corny3,tavg10ms_per_g,0.06834,0.00017,0.07421,0.00955
38_0,corny4,late_avg3ms_g_per_g,1.20255,0.01795,1.35886,0.04136
38_0,corny4,tavg10ms_per_g,0.06761,0.00006,0.07533,0.00117
39_0,corny5,late_avg3ms_g_per_g,1.35725,0.04140,1.20289,0.01794
39_0,corny5,tavg10ms_per_g,0.07534,0.00118,0.06761,0.00011
3_0,autv5r,late_avg3ms_g_per_g,3.24937,0.00868,2.07940,1.00458
3_0,autv5r,tavg10ms_per_g,0.06206,0.00009,0.07398,0.01216
40_0,corny6,late_avg3ms_g_per_g,2.54890,0.13532,2.11232,0.06792
40_0,corny6,tavg10ms_per_g,0.06480,0.00151,0.06375,0.00195
41_0,corny7,late_avg3ms_g_per_g,2.02226,0.08463,2.23251,0.35048
41_0,corny7,tavg10ms_per_g,0.05915,0.00006,0.06442,0.00240
42_0,corny8,late_avg3ms_g_per_g,2.06577,0.00435,2.25139,0.16329
42_0,corny8,tavg10ms_per_g,0.06530,0.00013,0.06287,0.00209
43_0,corny9,late_avg3ms_g_per_g,1.87454,0.02523,1.58427,0.51581
43_0,corny9,tavg10ms_per_g,0.06135,0.00016,0.06871,0.00459
4_0,bag26v,late_avg3ms_g_per_g,1.90055,0.00553,2.29098,1.05508
4_0,bag26v,tavg10ms_per_g,0.06803,0.00006,0.06816,0.01043
5_0,bpx68c,late_avg3ms_g_per_g,2.42450,0.02128,1.99883,0.81285
5_0,bpx68c,tavg10ms_per_g,0.06413,0.00002,0.07377,0.00851
6_0,nvxsrv,late_avg3ms_g_per_g,1.85211,0.02360,2.33321,1.11517
6_0,nvxsrv,tavg10ms_per_g,0.06664,0.00005,0.07054,0.01052
7_0,ajhby6,late_avg3ms_g_per_g,2.96448,0.01241,1.79622,0.83476
7_0,ajhby6,tavg10ms_per_g,0.07515,0.00005,0.06966,0.00904
8_0,r2d2c1,late_avg3ms_g_per_g,3.44539,0.00882,2.14206,0.81096
8_0,r2d2c1,tavg10ms_per_g,0.07942,0.00011,0.06920,0.01140
9_0,r2d2c2,late_avg3ms_g_per_g,1.74693,0.03428,1.61163,0.90203
9_0,r2d2c2,tavg10ms_per_g,0.07744,0.00015,0.07296,0.00812
