arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
0_0,6lhxfy,e_reb_mJ_per_g,0.75289,0.01866,0.41967,0.19327
0_0,6lhxfy,t180_per_g,0.04827,0.00002,0.04803,0.00606
10_0,r2d2c3,e_reb_mJ_per_g,0.30014,0.00742,0.35933,0.19211
10_0,r2d2c3,t180_per_g,0.07159,0.00014,0.05501,0.00474
11_0,r2d2c4,e_reb_mJ_per_g,0.33332,0.00791,0.46165,0.17489
11_0,r2d2c4,t180_per_g,0.06129,0.00009,0.05548,0.00718
12_0,r2d2c5,e_reb_mJ_per_g,0.28573,0.00562,0.37472,0.18350
12_0,r2d2c5,t180_per_g,0.04906,0.00004,0.05230,0.00623
13_0,r2d2c6,e_reb_mJ_per_g,0.21279,0.00514,0.34453,0.15898
13_0,r2d2c6,t180_per_g,0.05520,0.00005,0.05686,0.00732
14_0,r2d2c7,e_reb_mJ_per_g,0.65729,0.01624,0.39010,0.18928
14_0,r2d2c7,t180_per_g,0.05124,0.00001,0.05404,0.00634
15_0,r2d2c8,e_reb_mJ_per_g,0.39503,0.00910,0.42153,0.15401
15_0,r2d2c8,t180_per_g,0.05358,0.00012,0.05367,0.00698
16_0,r2d2c9,e_reb_mJ_per_g,0.32615,0.00833,0.36777,0.14293
16_0,r2d2c9,t180_per_g,0.05879,0.00004,0.05777,0.00890
17_0,drran1,e_reb_mJ_per_g,0.93694,0.02225,0.44124,0.17497
17_0,drran1,t180_per_g,0.05347,0.00002,0.05184,0.00614
26_0,2dran1,e_reb_mJ_per_g,0.37702,0.00914,0.44124,0.17497
26_0,2dran1,t180_per_g,0.05540,0.00004,0.05184,0.00614
18_0,drran2,e_reb_mJ_per_g,0.60830,0.01446,0.28398,0.00410
18_0,drran2,t180_per_g,0.05352,0.00001,0.05293,0.00002
27_0,2dran2,e_reb_mJ_per_g,0.22781,0.01084,0.28398,0.00410
27_0,2dran2,t180_per_g,0.05547,0.00007,0.05293,0.00002
19_0,drran3,e_reb_mJ_per_g,0.21245,0.00553,0.41771,0.22156
19_0,drran3,t180_per_g,0.05215,0.00001,0.05321,0.00504
28_0,2dran3,e_reb_mJ_per_g,0.46794,0.07156,0.41771,0.22156
28_0,2dran3,t180_per_g,0.05227,0.00004,0.05321,0.00504
1_0,6nheas,e_reb_mJ_per_g,0.60149,0.01266,0.42348,0.23431
1_0,6nheas,t180_per_g,0.04588,0.00001,0.05094,0.00652
20_0,drran4,e_reb_mJ_per_g,0.45661,0.01049,0.42360,0.18820
