arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
0_0,6lhxfy,e_reb_mJ_per_g,0.75289,0.0186643,0.42020008,0.198941117
0_0,6lhxfy,t180_per_g,0.0482746,2.21622e-05,0.0537259587,0.00612233401
10_0,r2d2c3,e_reb_mJ_per_g,0.300136,0.007416,0.442711405,0.19744351
10_0,r2d2c3,t180_per_g,0.0715862,0.000136339,0.0520418322,0.00443689084
11_0,r2d2c4,e_reb_mJ_per_g,0.333316,0.00790636,0.435725989,0.2035886
11_0,r2d2c4,t180_per_g,0.0612871,8.58769e-05,0.0520305606,0.00539656773
12_0,r2d2c5,e_reb_mJ_per_g,0.285732,0.00561568,0.423622847,0.213280899
12_0,r2d2c5,t180_per_g,0.0490648,3.70686e-05,0.0527532745,0.00647043495
13_0,r2d2c6,e_reb_mJ_per_g,0.212791,0.0051439,0.434309709,0.217181837
13_0,r2d2c6,t180_per_g,0.0551988,4.81423e-05,0.0528892808,0.00692623209
14_0,r2d2c7,e_reb_mJ_per_g,0.657287,0.0162399,0.41739434,0.208600381
14_0,r2d2c7,t180_per_g,0.0512361,9.72447e-06,0.0541165733,0.00691158498
15_0,r2d2c8,e_reb_mJ_per_g,0.395025,0.0090971,0.431367011,0.212547152
15_0,r2d2c8,t180_per_g,0.0535751,0.000123624,0.0526892098,0.00646766031
16_0,r2d2c9,e_reb_mJ_per_g,0.326149,0.00833222,0.42281202,0.211448803
16_0,r2d2c9,t180_per_g,0.0587934,4.29927e-05,0.0523036741,0.00583524983
17_0,drran1,e_reb_mJ_per_g,0.936941,0.0222506,0.422006025,0.181109029
17_0,drran1,t180_per_g,0.0534744,1.91611e-05,0.0514630426,0.00536754529
26_0,2dran1,e_reb_mJ_per_g,0.377023,0.00914271,0.421098644,0.181175732
26_0,2dran1,t180_per_g,0.0553968,4.15811e-05,0.0514795852,0.00571905333
18_0,drran2,e_reb_mJ_per_g,0.608305,0.0144625,0.314735417,0.137647422
