arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
0_0,6lhxfy,e_reb_mJ_per_g,0.75289,0.01866,0.44234,0.20756
0_0,6lhxfy,t180_per_g,0.04827,0.00002,0.05511,0.00658
10_0,r2d2c3,e_reb_mJ_per_g,0.30014,0.00742,0.44888,0.21291
10_0,r2d2c3,t180_per_g,0.07159,0.00014,0.05182,0.00481
11_0,r2d2c4,e_reb_mJ_per_g,0.33332,0.00791,0.42514,0.20055
11_0,r2d2c4,t180_per_g,0.06129,0.00009,0.05262,0.00661
12_0,r2d2c5,e_reb_mJ_per_g,0.28573,0.00562,0.44704,0.22405
12_0,r2d2c5,t180_per_g,0.04906,0.00004,0.05233,0.00648
13_0,r2d2c6,e_reb_mJ_per_g,0.21279,0.00514,0.43385,0.20602
13_0,r2d2c6,t180_per_g,0.05520,0.00005,0.05674,0.00755
14_0,r2d2c7,e_reb_mJ_per_g,0.65729,0.01624,0.43326,0.22039
14_0,r2d2c7,t180_per_g,0.05124,0.00001,0.05215,0.00585
15_0,r2d2c8,e_reb_mJ_per_g,0.39503,0.00910,0.43558,0.20488
15_0,r2d2c8,t180_per_g,0.05358,0.00012,0.05201,0.00630
16_0,r2d2c9,e_reb_mJ_per_g,0.32615,0.00833,0.43857,0.21479
16_0,r2d2c9,t180_per_g,0.05879,0.00004,0.05393,0.00587
17_0,drran1,e_reb_mJ_per_g,0.93694,0.02225,0.41203,0.21100
17_0,drran1,t180_per_g,0.05347,0.00002,0.05167,0.00589
26_0,2dran1,e_reb_mJ_per_g,0.37702,0.00914,0.41203,0.21100
26_0,2dran1,t180_per_g,0.05540,0.00004,0.05179,0.00587
18_0,drran2,e_reb_mJ_per_g,0.60830,0.01446,0.39919,0.20039
18_0,drran2,t180_per_g,0.05352,0.00001,0.05375,0.00283
27_0,2dran2,e_reb_mJ_per_g,0.22781,0.01084,0.48199,0.21885
27_0,2dran2,t180_per_g,0.05547,0.00007,0.05316,0.00281
19_0,drran3,e_reb_mJ_per_g,0.21245,0.00553,0.43524,0.21060
19_0,drran3,t180_per_g,0.05215,0.00001,0.05442,0.00598
28_0,2dran3,e_reb_mJ_per_g,0.46794,0.07156,0.43524,0.21060
28_0,2dran3,t180_per_g,0.05227,0.00004,0.05348,0.00587
1_0,6nheas,e_reb_mJ_per_g,0.60149,0.01266,0.42598,0.21202
1_0,6nheas,t180_per_g,0.04588,0.00001,0.05074,0.00653
20_0,drran4,e_reb_mJ_per_g,0.45661,0.01049,0.42682,0.21309
20_0,drran4,t180_per_g,0.05193,0.00002,0.05308,0.00598
29_0,2dran4,e_reb_mJ_per_g,0.55415,0.01324,0.42683,0.21308
29_0,2dran4,t180_per_g,0.05168,0.00003,0.05265,0.00595
21_0,drran5,e_reb_mJ_per_g,0.24992,0.00689,0.44726,0.21569
21_0,drran5,t180_per_g,0.05218,0.00003,0.05303,0.00587
30_0,2dran5,e_reb_mJ_per_g,0.24614,0.00950,0.44741,0.21573
30_0,2dran5,t180_per_g,0.05244,0.00002,0.05238,0.00608
22_0,drran6,e_reb_mJ_per_g,0.24772,0.00624,0.44195,0.22631
22_0,drran6,t180_per_g,0.05442,0.00005,0.05159,0.00646
31_0,2dran6,e_reb_mJ_per_g,0.39603,0.03833,0.44195,0.22630
31_0,2dran6,t180_per_g,0.05557,0.00022,0.05149,0.00608
23_0,drran7,e_reb_mJ_per_g,0.40733,0.01004,0.43087,0.20827
23_0,drran7,t180_per_g,0.06238,0.00011,0.05176,0.00647
32_0,2dran7,e_reb_mJ_per_g,0.57245,0.01295,0.43087,0.20827
32_0,2dran7,t180_per_g,0.05062,0.00002,0.05179,0.00648
24_0,drran8,e_reb_mJ_per_g,0.58081,0.03345,0.44394,0.21597
24_0,drran8,t180_per_g,0.05075,0.00006,0.05231,0.00594
33_0,2dran8,e_reb_mJ_per_g,0.50749,0.01192,0.43964,0.21504
33_0,2dran8,t180_per_g,0.05181,0.00001,0.05279,0.00600
25_0,drran9,e_reb_mJ_per_g,0.26894,0.00643,0.48731,0.19672
25_0,drran9,t180_per_g,0.05390,0.00001,0.05334,0.00366
34_0,2dran9,e_reb_mJ_per_g,0.76977,0.01803,0.35928,0.19512
34_0,2dran9,t180_per_g,0.05319,0.00003,0.05469,0.00377
2_0,9hhbkp,e_reb_mJ_per_g,0.32134,0.00682,0.44983,0.19639
2_0,9hhbkp,t180_per_g,0.04710,0.00001,0.05112,0.00608
35_0,corny1,e_reb_mJ_per_g,0.42886,0.01136,0.44714,0.21289
35_0,corny1,t180_per_g,0.05178,0.00003,0.05344,0.00299
36_0,corny2,e_reb_mJ_per_g,0.45642,0.01068,0.41641,0.21249
36_0,corny2,t180_per_g,0.05367,0.00003,0.05195,0.00347
37_0,corny3,e_reb_mJ_per_g,0.43432,0.00998,0.44961,0.21756
37_0,corny3,t180_per_g,0.05312,0.00001,0.05370,0.00560
38_0,corny4,e_reb_mJ_per_g,0.20980,0.00477,0.42991,0.16040
38_0,corny4,t180_per_g,0.05095,0.00003,0.05285,0.00077
39_0,corny5,e_reb_mJ_per_g,0.41193,0.01272,0.37160,0.19262
39_0,corny5,t180_per_g,0.05285,0.00011,0.05094,0.00064
3_0,autv5r,e_reb_mJ_per_g,0.40068,0.00840,0.43245,0.21120
3_0,autv5r,t180_per_g,0.04721,0.00002,0.05170,0.00604
40_0,corny6,e_reb_mJ_per_g,0.29441,0.02836,0.44512,0.21295
40_0,corny6,t180_per_g,0.04682,0.00021,0.04741,0.00583
41_0,corny7,e_reb_mJ_per_g,0.47740,0.04390,0.42796,0.21382
41_0,corny7,t180_per_g,0.04093,0.00003,0.04910,0.00459
42_0,corny8,e_reb_mJ_per_g,0.89310,0.05907,0.42468,0.19840
42_0,corny8,t180_per_g,0.04855,0.00003,0.04504,0.00526
43_0,corny9,e_reb_mJ_per_g,0.92979,0.04580,0.43295,0.19229
43_0,corny9,t180_per_g,0.04505,0.00004,0.05029,0.00626
4_0,bag26v,e_reb_mJ_per_g,0.36016,0.00769,0.43382,0.21423
4_0,bag26v,t180_per_g,0.04956,0.00002,0.04999,0.00638
5_0,bpx68c,e_reb_mJ_per_g,0.30551,0.00692,0.42283,0.20869
5_0,bpx68c,t180_per_g,0.04998,0.00001,0.05105,0.00621
6_0,nvxsrv,e_reb_mJ_per_g,0.39700,0.00894,0.44590,0.21934
6_0,nvxsrv,t180_per_g,0.04974,0.00002,0.05155,0.00585
7_0,ajhby6,e_reb_mJ_per_g,0.29711,0.00668,0.44332,0.22083
7_0,ajhby6,t180_per_g,0.04933,0.00002,0.05155,0.00586
8_0,r2d2c1,e_reb_mJ_per_g,0.30780,0.00753,0.43306,0.20908
8_0,r2d2c1,t180_per_g,0.05130,0.00002,0.05194,0.00673
9_0,r2d2c2,e_reb_mJ_per_g,0.31317,0.00839,0.43452,0.20772
9_0,r2d2c2,t180_per_g,0.05797,0.00019,0.05388,0.00590
