arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
0_0,6lhxfy,late_avg3ms_g,78.01720,0.51461,36.45456,12.84499
0_0,6lhxfy,tavg10ms,1.12807,0.00189,1.46421,0.18660
10_0,r2d2c3,late_avg3ms_g,60.25130,0.86151,22.71523,12.05576
10_0,r2d2c3,tavg10ms,1.91396,0.00661,1.56445,0.19302
11_0,r2d2c4,late_avg3ms_g,34.19690,0.07344,48.93532,15.72911
11_0,r2d2c4,tavg10ms,1.71456,0.00147,1.65060,0.22557
12_0,r2d2c5,late_avg3ms_g,44.13540,0.40702,48.49790,20.68309
12_0,r2d2c5,tavg10ms,1.78833,0.00406,1.50139,0.23201
13_0,r2d2c6,late_avg3ms_g,16.36320,0.17716,33.42813,16.06780
13_0,r2d2c6,tavg10ms,1.40424,0.00278,1.54169,0.19554
14_0,r2d2c7,late_avg3ms_g,42.01820,0.07783,40.69055,18.92500
14_0,r2d2c7,tavg10ms,1.34505,0.00160,1.42716,0.19759
15_0,r2d2c8,late_avg3ms_g,53.72570,0.87303,38.21162,14.75965
15_0,r2d2c8,tavg10ms,1.60061,0.00165,1.45095,0.21550
16_0,r2d2c9,late_avg3ms_g,31.02610,0.17674,65.74022,11.81323
16_0,r2d2c9,tavg10ms,1.55639,0.00247,1.50219,0.24400
17_0,drran1,late_avg3ms_g,22.44640,0.28096,34.50917,16.37814
17_0,drran1,tavg10ms,1.28482,0.00063,1.43513,0.23193
26_0,2dran1,late_avg3ms_g,39.89930,0.99990,34.50917,16.37814
26_0,2dran1,tavg10ms,1.29359,0.00059,1.43513,0.23193
18_0,drran2,late_avg3ms_g,14.39090,0.12289,14.86512,6.18342
18_0,drran2,tavg10ms,1.60777,0.00103,1.47261,0.19033
27_0,2dran2,late_avg3ms_g,6.60628,0.21636,14.86512,6.18342
27_0,2dran2,tavg10ms,1.55121,0.00389,1.47261,0.19033
19_0,drran3,late_avg3ms_g,19.15390,0.31264,36.93031,15.84985
19_0,drran3,tavg10ms,1.48127,0.00325,1.46941,0.21532
28_0,2dran3,late_avg3ms_g,11.07230,0.79268,36.93031,15.84985
28_0,2dran3,tavg10ms,1.37220,0.00290,1.46941,0.21532
1_0,6nheas,late_avg3ms_g,49.86120,0.15004,58.08504,18.56790
1_0,6nheas,tavg10ms,1.69572,0.00075,1.42325,0.17764
20_0,drran4,late_avg3ms_g,38.87370,0.10421,42.83799,17.22049
20_0,drran4,tavg10ms,1.33738,0.00055,1.44054,0.19332
29_0,2dran4,late_avg3ms_g,40.88240,0.55212,42.83799,17.22049
29_0,2dran4,tavg10ms,1.45192,0.00183,1.44054,0.19332
21_0,drran5,late_avg3ms_g,13.31970,0.44549,18.81904,13.13672
21_0,drran5,tavg10ms,1.57749,0.00322,1.43562,0.23793
30_0,2dran5,late_avg3ms_g,8.64075,0.34591,18.81904,13.13672
30_0,2dran5,tavg10ms,1.53998,0.00209,1.43562,0.23793
22_0,drran6,late_avg3ms_g,22.53380,0.24192,20.94362,14.61565
22_0,drran6,tavg10ms,1.51093,0.00177,1.48711,0.20083
31_0,2dran6,late_avg3ms_g,7.93333,0.40513,20.94362,14.61565
31_0,2dran6,tavg10ms,1.46511,0.01275,1.48711,0.20083
23_0,drran7,late_avg3ms_g,48.58890,1.58499,41.74023,17.78138
23_0,drran7,tavg10ms,2.47064,0.01827,1.40600,0.22827
32_0,2dran7,late_avg3ms_g,37.13490,0.36498,41.74023,17.78138
32_0,2dran7,tavg10ms,1.57878,0.00097,1.40600,0.22827
24_0,drran8,late_avg3ms_g,35.58890,0.22203,38.87046,17.53311
24_0,drran8,tavg10ms,1.28984,0.00136,1.41892,0.22514
33_0,2dran8,late_avg3ms_g,62.23640,0.92478,38.87046,17.53311
33_0,2dran8,tavg10ms,1.34324,0.00082,1.41892,0.22514
25_0,drran9,late_avg3ms_g,13.74200,0.38200,12.65330,6.67037
25_0,drran9,tavg10ms,1.50671,0.00221,1.49168,0.19160
34_0,2dran9,late_avg3ms_g,14.22410,0.27131,12.65330,6.67037
34_0,2dran9,tavg10ms,1.54105,0.00232,1.49168,0.19160
2_0,9hhbkp,late_avg3ms_g,55.38900,0.19706,52.22053,18.87708
2_0,9hhbkp,tavg10ms,1.52470,0.00062,1.46816,0.21136
35_0,corny1,late_avg3ms_g,33.35150,1.14414,23.34529,6.02811
35_0,corny1,tavg10ms,1.31584,0.00527,1.57352,0.12260
36_0,corny2,late_avg3ms_g,23.67540,0.43591,30.79055,5.23461
36_0,corny2,tavg10ms,1.62795,0.00210,1.36792,0.09699
37_0,corny3,late_avg3ms_g,30.94420,0.66287,27.87587,12.82530
37_0,corny3,tavg10ms,1.37701,0.00336,1.46628,0.21449
38_0,corny4,late_avg3ms_g,24.72440,0.36900,27.45021,1.54168
38_0,corny4,tavg10ms,1.38998,0.00132,1.54838,0.02975
39_0,corny5,late_avg3ms_g,27.93220,0.85206,25.22476,1.96084
39_0,corny5,tavg10ms,1.55051,0.02432,1.39223,0.01565
3_0,autv5r,late_avg3ms_g,71.61620,0.19131,45.23829,18.05642
3_0,autv5r,tavg10ms,1.36777,0.00197,1.48811,0.19308
40_0,corny6,late_avg3ms_g,49.57610,2.63190,40.73141,12.15784
40_0,corny6,tavg10ms,1.26036,0.02937,1.43678,0.20959
41_0,corny7,late_avg3ms_g,39.67680,1.66046,47.71843,8.89875
41_0,corny7,tavg10ms,1.16060,0.00124,1.41032,0.19250
42_0,corny8,late_avg3ms_g,40.57170,0.08552,38.05820,11.06434
42_0,corny8,tavg10ms,1.28248,0.00247,1.36369,0.21229
43_0,corny9,late_avg3ms_g,36.47860,0.49093,41.40541,14.70427
43_0,corny9,tavg10ms,1.19382,0.00305,1.44621,0.21413
4_0,bag26v,late_avg3ms_g,40.70980,0.11849,49.65919,19.09951
4_0,bag26v,tavg10ms,1.45716,0.00137,1.33917,0.20549
5_0,bpx68c,late_avg3ms_g,49.04770,0.43048,48.44485,16.21406
5_0,bpx68c,tavg10ms,1.29730,0.00048,1.50373,0.17628
6_0,nvxsrv,late_avg3ms_g,38.26450,0.48759,49.11376,18.47239
6_0,nvxsrv,tavg10ms,1.37688,0.00107,1.50030,0.19136
7_0,ajhby6,late_avg3ms_g,60.86070,0.25474,36.36199,14.68027
7_0,ajhby6,tavg10ms,1.54285,0.00112,1.45929,0.20046
8_0,r2d2c1,late_avg3ms_g,66.77160,0.17089,43.33093,13.68465
8_0,r2d2c1,tavg10ms,1.53925,0.00221,1.48694,0.21456
9_0,r2d2c2,late_avg3ms_g,31.37480,0.61564,27.01985,20.63185
9_0,r2d2c2,tavg10ms,1.39074,0.00273,1.41991,0.20376
