print_id,batch,tavg10ms_mean,tavg10ms_sem,n_drops,late_avg3ms_g_mean,late_avg3ms_g_sem
2dran1,2dran,1.29359,0.000593645,18,39.8993,0.999901
2dran2,2dran,1.55121,0.00388542,18,6.60628,0.216359
2dran3,2dran,1.3722,0.00290071,18,11.0723,0.792679
2dran4,2dran,1.45192,0.00183143,18,40.8824,0.552123
2dran5,2dran,1.53998,0.00208574,18,8.64075,0.345913
2dran6,2dran,1.46511,0.0127513,18,7.93333,0.405131
2dran7,2dran,1.57878,0.000969307,18,37.1349,0.364979
2dran8,2dran,1.34324,0.000824352,18,62.2364,0.924778
2dran9,2dran,1.54105,0.00232194,18,14.2241,0.271306
corny1,corny,1.31584,0.00527464,18,33.3515,1.14414
corny2,corny,1.62795,0.002096,18,23.6754,0.435915
corny3,corny,1.37701,0.00336231,18,30.9442,0.662865
corny4,corny,1.38998,0.00132449,18,24.7244,0.369001
corny5,corny,1.55051,0.02432,18,27.9322,0.852065
corny6,corny,1.26036,0.0293734,18,49.5761,2.6319
corny7,corny,1.1606,0.00124019,18,39.6768,1.66046
corny8,corny,1.28248,0.00247059,18,40.5717,0.0855221
corny9,corny,1.19382,0.00304576,18,36.4786,0.490926
drran1,drran,1.28482,0.000634992,18,22.4464,0.280957
drran2,drran,1.60777,0.00103209,18,14.3909,0.122893
drran3,drran,1.48127,0.0032535,18,19.1539,0.312643
drran4,drran,1.33738,0.000552093,18,38.8737,0.104214
drran5,drran,1.57749,0.00322159,18,13.3197,0.445487
drran6,drran,1.51093,0.00176844,18,22.5338,0.241922
drran7,drran,2.47064,0.0182742,18,48.5889,1.58499
drran8,drran,1.28984,0.00135928,18,35.5889,0.222028
drran9,drran,1.50671,0.00221346,18,13.742,0.381997
r2d2c1,r2d2c,1.53925,0.0022092,19,66.7716,0.170892
r2d2c2,r2d2c,1.39074,0.00273254,19,31.3748,0.615643
r2d2c3,r2d2c,1.91396,0.00660615,19,60.2513,0.861508
r2d2c4,r2d2c,1.71456,0.00146933,19,34.1969,0.0734378
r2d2c5,r2d2c,1.78833,0.00405675,19,44.1354,0.407019
r2d2c6,r2d2c,1.40424,0.00277632,19,16.3632,0.17716
r2d2c7,r2d2c,1.34505,0.00159583,19,42.0182,0.0778279
r2d2c8,r2d2c,1.60061,0.00165336,20,53.7257,0.873032
r2d2c9,r2d2c,1.55639,0.00246895,19,31.0261,0.176743
6lhxfy,seed,1.12807,0.00188738,99,78.0172,0.514607
6nheas,seed,1.69572,0.000750291,99,49.8612,0.150041
9hhbkp,seed,1.5247,0.000617692,99,55.389,0.19706
ajhby6,seed,1.54285,0.00111805,99,60.8607,0.25474
amdjwm,seed,1.23004,0.000819581,99,28.4023,0.189141
autv5r,seed,1.36777,0.00197367,101,71.6162,0.191305
bag26v,seed,1.45716,0.00136728,99,40.7098,0.118492
bpx68c,seed,1.2973,0.000480613,99,49.0477,0.430479
nvxsrv,seed,1.37688,0.0010737,99,38.2645,0.487586
