design_key,e_rebound_mean,fn_hz_mean,hic15_in_mean,hic15_out_mean,hic15_ratio_mean,hic36_in_mean,hic36_out_mean,in_1000_g_mean,in_180_g_mean,in_avg10ms_g_mean,in_avg15ms_g_mean,in_avg1ms_g_mean,in_avg36ms_g_mean,in_avg3ms_g_mean,in_avg5ms_g_mean,in_cfc60_g_mean,in_clip3ms_g_mean,in_dv_ms_mean,in_raw_g_mean,in_width_ms_mean,late_avg10ms_g_mean,late_avg3ms_g_mean,out_1000_g_mean,out_180_g_mean,out_avg10ms_g_mean,out_avg15ms_g_mean,out_avg1ms_g_mean,out_avg36ms_g_mean,out_avg3ms_g_mean,out_avg5ms_g_mean,out_cfc60_g_mean,out_clip3ms_g_mean,out_raw_g_mean,ring_r2_mean,second_rel_db_mean,srs1000_in_g_mean,srs1000_out_g_mean,srs1000_ratio_mean,srs120_in_g_mean,srs120_out_g_mean,srs120_ratio_mean,srs250_in_g_mean,srs250_out_g_mean,srs250_ratio_mean,srs30_in_g_mean,srs30_out_g_mean,srs30_ratio_mean,srs520_in_g_mean,srs520_out_g_mean,srs520_ratio_mean,srs60_in_g_mean,srs60_out_g_mean,srs60_ratio_mean,t1000_mean,t180_mean,t60_mean,t_at_out_avg10_ms_mean,t_late_ms_mean,t_second_ms_mean,tavg10ms_mean,tavg15ms_mean,tavg1ms_mean,tavg36ms_mean,tavg3ms_mean,tavg5ms_mean,zeta_pct_mean,batch,mass_g,nom_R_mm,nom_H_mm,nom_twist_deg,nom_strut_d_mm,nom_cable_d_mm,tierB_t180,tierC_t180,n_prints
6lhxfy,0.050376221548244775,366.8686038610179,1327.724965878725,998.642027790863,0.7523131551248703,1327.724965878725,998.642027790863,275.86076759219105,224.01245885825833,56.855042623727925,38.531845975202025,254.80190839656646,16.439871564411376,169.97532460067364,111.09965481831412,112.4277051721793,47.259795720999136,5.3720484060381635,284.3965575887879,2.4204363636363637,34.13141261607023,78.01724109754292,251.64234009577655,200.0408277395844,64.13890570585352,50.86415359644964,228.86596313883186,30.8029688046588,153.85433757060696,102.4620867162085,100.10211111528322,54.766116759795764,258.2526284231356,0.8592731151777678,-9.361037579158838,314.65942122785117,375.49265779708725,1.195479324087252,317.5379271299135,273.58051439561234,0.8615869294413727,401.7597923679712,345.10376252188973,0.859145662545269,97.72863284098239,85.02562733696917,0.8700204069369837,309.59624370225373,275.91823216851344,0.8918553140141815,186.62470159297027,160.4711505344081,0.8598467909629766,0.9126730324377276,0.893077787784386,0.8903669443430934,3.452929292929376,80.31797979798174,55.17858585858719,1.1280740034196355,1.3200265838888878,0.8983765893205011,1.8738703846928209,0.905161729888915,0.9222300202172338,10.300542628818008,seed,18.5,33.7842,80.0836,77.408,10.8717,3.0003,0.5118104558928994,0.7515981425516903,1
6nheas,0.04024595001913866,321.99195771799134,1370.4706214846753,1413.409942904371,1.0313940558574435,1370.4706214846753,1413.409942904371,279.94478786360463,227.02267034032064,56.14688730496992,38.17688365733183,258.7152185840461,16.267902553127875,171.77782142817043,110.83669578269642,112.3170432447097,46.97644394607587,5.259208770534627,284.0772555818182,2.4029898989898992,31.11122952069771,49.86124976802652,278.8976341699586,226.34077340065016,95.20992134223715,75.76388553958544,263.4748552270177,38.16252616567526,171.9891450207947,136.2726592775364,108.92105471484487,51.90379903820049,284.23126678221894,0.9018539842206076,1.8101173603607679,330.25567922713674,323.30283391859444,0.9790358436651476,320.98612601664416,305.4135608213784,0.9514914439560318,405.05030319846213,397.5852847093617,0.9815997160668974,96.45647542934665,103.75292563180481,1.0756478536233798,312.37836022552597,307.8177346686789,0.9854650711852956,186.12938267722683,178.66139977613392,0.9598793069864027,0.9963143640828661,0.9970082901461371,0.9697655104613883,3.488686868686953,43.97757575757682,43.16525252525357,1.6957234220171569,1.9845421083122696,1.018429044406129,2.3459059580561963,1.00123517643831,1.2294879970343917,19.309100372688224,seed,21.73,36.3001,63.2297,52.994,6.4571,4.055,0.4312019049536192,0.8151722513481122,1
9hhbkp,0.02150119156483103,345.49308742632525,1434.3455198021018,1621.9740879421165,1.1307803109000636,1434.3455198021018,1621.9740879421165,291.9200613950437,231.8301559254594,57.152285009822975,38.651970996077694,267.60136862055487,16.480065445546735,173.34099815914954,111.7168332902564,113.81537976524288,43.50734165257009,5.450579779777187,296.6958173360606,2.3628444444444447,25.132626543454577,55.38896731213143,300.21194535000683,236.08335351096358,87.1407596198867,64.56863275225973,276.30285963163453,37.00919137179009,190.341781668446,132.54085518544423,116.99831479430146,73.39153181381,319.3232522763213,0.8710130849598979,2.711932524473215,345.104203930519,364.6817233451755,1.0572587331890937,324.81539849631616,327.89038631976183,1.0094688853950675,418.5771794188648,426.1023011227746,1.0179807469574438,98.4813627899126,102.62251621362884,1.0420538851770957,335.81118577660055,349.9923845593487,1.0420684693916586,188.3936456765574,192.76112210369348,1.0231867724411527,1.0282110110242726,1.0183360091957674,1.0279691378209481,3.443838383838467,24.951717171717775,23.898181818182394,1.5247004775165451,1.6704985811843902,1.0325001281976434,2.2456928868604704,1.098062452375889,1.1863926110072065,9.508006688920442,seed,21.62,32.1266,89.6262,59.7792,7.8831,5.3902,0.7651974925314707,0.8315948648226167,1
ajhby6,0.019880027970641923,360.9505751596749,1425.5159998372383,1546.8338185524162,1.08518010567311,1425.5159998372383,1546.8338185524162,281.98555508235364,230.15795342146197,56.65692131490728,38.72116602422189,261.6792451183144,16.865590660682923,173.74671531184555,111.32404503822853,113.22808890653823,43.63663705947267,5.233509642825022,292.25419716262627,2.386408080808081,28.539544234391695,60.8607185690137,291.55373468595343,233.06836628279657,87.41343436791847,63.81382025918642,268.4017931479483,38.04512121719797,184.79407070778197,129.39400516383523,116.70053298426035,76.11491082221234,308.62308068314314,0.15121684067792482,5.170367718917405,336.7045127725572,374.05909098575194,1.111234137806231,324.5855646218013,327.6898570987718,1.0095771984160737,414.3566902311805,417.9667060132301,1.0087265082899346,96.8235268852532,99.92908327870559,1.0320766389622407,321.9289241967423,321.72271003728747,0.9992948771253307,187.34988473305907,192.77485439623578,1.0289584121727815,1.033838441295097,1.0126577598225033,1.030671447707308,3.2456565656566436,22.198383838384373,21.214545454545966,1.5428539353137392,1.648011126834151,1.0257122238786116,2.255760187458849,1.0635942077211555,1.1623140827496459,2.048954541464139,seed,20.53,30.1066,74.8199,44.4573,8.5803,4.9377,0.4824977211382616,0.8541811680487453,1
autv5r,0.026809568094695816,389.3449163827166,1296.9980063067492,1459.7944547743982,1.1254656985617018,1296.9980063067492,1459.7944547743982,270.1465379149105,221.94400554421162,56.14710729650821,38.083657016093184,250.30335789189797,16.4009498145357,170.19236649183102,109.85732893380884,111.39609139251391,48.32108866258094,5.337817923461658,294.7269976965346,2.4409346534653467,36.92368559712564,71.61618153528632,306.95279275938725,230.91710475353838,76.79711646428572,58.50099919001861,266.9088141124423,41.21515368109394,175.78810363895226,117.74495177696117,109.80669227241478,51.1944577618371,355.93003838273444,0.7533049493973837,4.759013729814595,324.99658358525255,392.87682561520063,1.2107638723099468,316.4490947769534,310.4585786668855,0.981094747099545,396.83679035915185,399.09325240501283,1.0056829940972682,96.77772770579739,95.33754488562147,0.9851460534270998,292.16438292352564,294.34157210172816,1.007397238404908,184.78561927942266,175.81988662341942,0.9515059183708539,1.1362007153698894,1.0404303364999212,0.985753035616388,3.2920792079208714,30.167524752475977,29.166138613862092,1.3677701123909396,1.536111460358145,1.0663448757173235,2.513263710846271,1.0328827805412863,1.0717325431287892,6.233488870012243,seed,22.04,38.9665,99.995,47.6915,7.0737,3.9241,0.6598318193002279,0.7976288517623484,1
bag26v,0.02409812693945123,339.73285397369284,1113.3474589157015,1373.5060453618273,1.2338828257618328,1113.3474589157015,1373.5060453618273,233.05047739078293,204.84807282912294,53.17713613579752,36.197018087626105,222.39619097262693,15.73873368413977,164.07319559485114,104.96177789978799,105.68845171046628,52.792202957303765,5.030191859399339,274.5487883542626,2.556848484848485,26.234056238218788,40.70976985642681,289.2437495810515,217.46175225391914,77.485740377319,57.09618680532612,249.4519684099436,37.497728228992315,178.87753525133368,126.44628331281098,105.80204989510952,72.99244443216436,400.43811519505726,0.5624079531865414,0.8664259008694292,291.71643995558463,454.62494524664027,1.559128853837263,299.83628182833246,301.79267359402786,1.0065517907332635,365.3489660289864,384.65831453262496,1.0529106509816606,91.56476678580185,89.83152752493866,0.981087848674205,270.33966612241767,318.2727338932377,1.1773504681431983,175.56978685301522,172.09394639502156,0.9802145257259677,1.24170361731896,1.0616197738255833,1.0010886104189316,3.6943434343435233,25.501010101010717,24.72181818181878,1.4571591148509422,1.5774082545418164,1.1217996340964456,2.382546203188827,1.0902552561621388,1.2047191655234313,7.96983170692144,seed,21.42,29.0207,100.8663,63.7624,6.199,3.1969,0.9491557462897928,0.6817532527219047,1
bpx68c,0.020441750968265678,423.3708179972863,1129.577077160331,1183.2498308816168,1.0474342569964514,1129.577077160331,1183.2498308816168,242.964457012833,208.24516282501168,56.152184069461896,38.159221822266154,228.40781704604083,16.503166903346997,164.8314500542329,109.42732068858406,109.29951059615867,56.9365736727643,5.301694173138132,252.6094378069697,2.5694949494949495,27.177610850074327,49.04769728956104,259.13248928628576,210.55288594060693,72.84619493867767,60.80057878582257,233.17038578375715,37.99863157711778,168.14291392677217,114.05637646793095,108.331893156509,62.43483656365738,282.35988092523604,0.366023772092599,6.301013829653036,282.85380850095834,332.4207455137715,1.1769483506640086,303.5900838210276,295.5175979092267,0.9734041950472304,367.3855943111962,361.93553976552107,0.9851516966621982,96.36369612341512,97.56465249429031,1.012464088043335,267.11076418745074,265.7625028029478,0.9949151332401693,182.4809161276368,177.501576376435,0.9727132726274919,1.0665486364173138,1.0110716632234338,0.9911462854536346,3.364444444444526,23.195555555556115,22.101212121212654,1.2973043204353025,1.5933639507321256,1.0208237853363895,2.302442310954059,1.0200753507815943,1.0423021014987217,4.510599508711399,seed,20.23,25.0,70.0,60.0,6.0,3.0,0.7497310393140127,0.7677911098681615,1
nvxsrv,0.026563564438830036,292.6481271358793,1391.6983697831047,1764.3871262130567,1.2678660249116676,1391.6983697831047,1764.3871262130567,286.2569090034526,229.0532904567841,56.236406659378375,38.122557010110874,262.90710623428566,16.316547970357234,172.4274620187652,110.86077691234973,112.65456462181011,44.017015267123156,5.326888620354981,290.7327290646465,2.3809535353535356,21.744558719389016,38.264450148349674,352.05436099875055,235.36182942592066,77.43002723854707,61.770949597318676,270.05113005984924,35.33067894788478,182.1101601228279,121.94470470356559,113.58519570649356,40.736176199307806,611.9566453510587,0.9307106118349959,-2.336586468053865,341.9456665581539,677.2395148095884,1.9806964277691208,322.4331813994142,326.3900240370559,1.0122793527827583,410.0622636487732,433.4981277241796,1.0571631867957854,96.982913874566,101.05348791811186,1.0419714206740591,319.30189146228025,355.85911587222563,1.114615078926731,186.52033184033974,186.44176039596383,0.9995787246515345,1.2299125486643816,1.0275491969473938,1.0082610719883478,3.857777777777871,28.23111111111179,28.857979797980498,1.376883678704102,1.6203278161109302,1.02719152394271,2.1653673046076505,1.0561642682471377,1.0999790814317516,31.29566343980318,seed,20.66,27.6114,104.1304,70.4432,9.2816,4.4922,0.800516085649931,0.7669506566107824,1
trial10,0.02182276354528513,363.77304869317794,1409.3624230176226,1904.5037093889596,1.35139996903308,1409.3624230176226,1904.5037093889596,283.6731388448904,229.2964021305209,56.10205455703667,37.911417322390754,261.7357253182188,16.196731849615855,172.3580344173955,110.81510074363128,112.57956216058756,44.45106734330454,5.311016525959895,303.4341088631579,2.3768000000000002,17.96111951339419,31.026134723834318,418.102538532778,241.4447799613849,87.31625458732496,69.43305611008034,280.91941455213725,36.68968732165316,191.09577559899685,129.65775607171523,115.3652260648965,48.05584118669487,2787.9184992415308,0.004399698195844323,-2.8699489498690682,330.44604744168237,652.5499849703285,1.9747152969900348,322.4236983755902,326.79372092804334,1.0135577964479687,411.7702070888986,457.8006679077772,1.1118011561115617,96.48747619971061,105.80203193772581,1.0965383153453843,328.500306410055,461.24954611013095,1.4042383783080201,186.33517369800813,186.82941653442126,1.002653715901618,1.4740783385057086,1.0529880594869703,1.024745450790477,4.032631578947466,24.321052631579533,23.636842105263728,1.5563890649243008,1.8314822407680291,1.0733101176204387,2.265302692409026,1.1087150010911513,1.1700373225516107,-0.02279836666010212,r2d2c,17.91,25.0,60.0,80.0,12.0,3.0,0.5012080514123098,0.8042901083278674,1
trial11,0.022302345673908344,362.6760368634202,1379.716439460365,2721.3308870949445,1.9724776953234318,1379.716439460365,2721.3308870949445,278.675197245628,226.79126537114365,56.17646639965765,38.010845242164045,257.253756307844,16.17955495953392,171.52022783625824,110.61240811496363,112.32116487881754,45.833721709980516,5.315968425846938,297.06781424736846,2.3998736842105264,15.776210539178928,34.19686680736324,340.35039884689184,268.67388065941367,96.31829930836707,68.11486828331063,303.69301116581374,34.89522928875716,225.73786996559213,159.89761593723304,124.36796810338616,32.169126440733685,931.0248303962351,0.9427153041468866,-5.835840323095382,332.6681240836869,524.8136645902962,1.5775329845115476,320.31959292926706,371.07930468157264,1.1584680732515722,404.7742580622228,503.4772607018613,1.2438569551244774,96.68202730069393,100.45088281885084,1.038982985946953,315.35134497209384,475.9272508456332,1.509382067939417,186.0643409026177,200.67441970988443,1.0785227457568458,1.2212818086047035,1.1846829019127807,1.1072541659788697,3.850526315789567,25.565263157895355,24.17894736842164,1.7145627914801786,1.791984091984293,1.1805389606591097,2.1567544491103847,1.3161010883789863,1.4455641027390957,12.324696728118749,r2d2c,19.33,40.0,60.0,80.0,12.0,5.5,0.3236396470250777,0.907682035677232,1
