design_key,batch,t180_mean,tavg3ms_mean,tavg10ms_mean,tavg36ms_mean,hic15_ratio_mean,out_avg10ms_g_mean,out_avg36ms_g_mean,hic15_out_mean,srs60_ratio_mean,srs520_ratio_mean,rank_t180_mean,rank_tavg3ms_mean,rank_tavg10ms_mean,rank_tavg36ms_mean,rank_hic15_ratio_mean,rank_out_avg10ms_g_mean,rank_out_avg36ms_g_mean,rank_hic15_out_mean,rank_srs60_ratio_mean,rank_srs520_ratio_mean
trial37,corny,0.8031138203968776,0.8645090007585658,1.1606047545281946,1.8060952544120847,0.6035891970204026,64.47107363149246,28.74482672202469,765.8009471530293,0.8161551549467423,0.7198280527110403,1.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0
trial43,corny,0.8765806710880137,0.9068451242459873,1.1938202021861914,2.0777399616695167,0.7512067047200116,66.67527966618466,33.20284853446302,940.9333214268095,0.8540710996972115,0.8702759267938709,2.0,3.0,3.0,18.0,3.0,3.0,16.0,2.0,2.0,2.0
6lhxfy,seed,0.8906062287652482,0.901222987954147,1.137213836904412,1.8884399105102274,0.7439478979664554,64.34901365377813,30.85205539745692,1001.7104059195153,0.8553340906983319,0.8936961425950388,3.0,2.0,1.0,9.0,2.0,1.0,10.0,3.0,3.0,4.0
trial41,corny,0.9105953945413615,0.9789481427235328,1.2603622038292461,2.0320020844982096,0.8743140600396219,70.06972862950809,32.74880579619282,1110.8174874855047,0.9105613623302238,0.9027612423233433,4.0,4.0,4.0,16.0,4.0,4.0,15.0,4.0,6.0,5.0
trial15,r2d2c,0.9483789100007616,0.9812573431708005,1.3450483082864886,2.2520136006527793,0.9730648582321958,75.59364680789703,36.32843491486413,1367.5814982390602,0.8771099931382677,0.8928804255481746,5.0,5.0,10.0,23.0,5.0,10.0,22.0,7.0,4.0,3.0
trial39,corny,0.9535275915651015,1.045622381622062,1.2824776722903093,1.9209770590553912,1.0926895122541103,71.55596600497451,30.69527946611814,1397.745902705242,0.8928642353298445,0.9801830427430149,6.0,14.0,5.0,11.0,11.0,5.0,9.0,9.0,5.0,9.0
trial13,r2d2c,0.9941502089448191,1.0407168261586268,1.5392549239639886,2.5713654683957743,1.0728903834374983,86.35125017039522,41.919693238971085,1511.8177772844251,0.9777269339388279,0.9890586737935986,7.0,13.0,24.0,34.0,9.0,22.0,35.0,17.0,10.0,10.0
6nheas,seed,0.9947009920312936,0.9995481262953406,1.7012299553603167,2.3594331153767083,1.0261738194613401,95.67568480934248,38.28713042334681,1438.8459734595228,0.9589720876038569,0.9789698277489705,8.0,6.0,31.0,28.0,7.0,31.0,29.0,10.0,8.0,8.0
trial35,round3,0.9956439427376595,1.0040816549202143,1.3165419298000138,2.0212276782972585,1.0038725838975566,74.34793482345088,33.440187056679584,1286.853606294359,0.9911073011401277,0.9573525796737916,9.0,7.0,9.0,15.0,6.0,8.0,17.0,6.0,12.0,6.0
bpx68c,seed,1.0133804048587967,1.0241302689558982,1.3028436755846318,2.2802336685982847,1.053352887865653,72.99112111721547,37.35338852855174,1210.5628274856663,0.9729411000348626,0.9948695244608854,10.0,8.0,7.0,27.0,8.0,7.0,25.0,5.0,9.0,11.0
ajhby6,seed,1.0137744106795645,1.0656496075048463,1.5342223050339125,2.2485862045043477,1.0881814409795967,87.12860840181754,37.777844056383366,1566.7502133154928,1.0296801004440794,1.0072027152153384,11.0,18.0,23.0,22.0,10.0,24.0,28.0,20.0,24.0,12.0
9hhbkp,seed,1.0207813750099481,1.1021002497622623,1.5265035220826206,2.254006473300626,1.1362916151850009,87.7368878359408,37.33482900449311,1673.9536959968652,1.0217650828262086,1.0540375412549159,12.0,24.0,22.0,24.0,14.0,26.0,24.0,26.0,19.0,20.0
nvxsrv,seed,1.0298883961933758,1.0572348889058358,1.3704523995275786,2.144611989526834,1.272963605706777,77.34670428665929,35.006285901280144,1779.4345841591246,1.0005868261237865,1.1077173244155236,13.0,17.0,11.0,19.0,27.0,12.0,20.0,29.0,13.0,26.0
trial29,round3,1.038840686750271,1.0369668071732758,1.3946493711902161,2.0630903933282756,1.1223803252787583,78.90258887807671,33.98129954794963,1451.737843992336,1.0186202606025136,1.0498014083758291,14.0,10.0,16.0,17.0,12.0,17.0,18.0,11.0,18.0,19.0
trial12,r2d2c,1.0410720834858893,1.0355184612496053,1.3907386397347445,1.9826175208451748,1.1404617000529746,78.07474377332419,32.48332825049343,1603.2074149135076,1.0129512269959153,1.1449149998575354,15.0,9.0,15.0,14.0,15.0,14.0,12.0,23.0,16.0,28.0
trial30,round3,1.0437981300369126,1.1107617820716713,1.5238794515773835,1.755992652152557,1.1793961396775416,85.98628259993919,28.983827336627577,1474.6981984244378,1.037621858043852,1.0342327147270616,16.0,26.0,21.0,3.0,20.0,21.0,4.0,12.0,25.0,16.0
autv5r,seed,1.0440801333087728,1.037730856814784,1.3906206887306565,2.523146689222003,1.1348811606978055,77.92288852843333,41.41590627778819,1506.7814763223957,0.9536951614474355,1.0154996915040961,17.0,12.0,14.0,33.0,13.0,13.0,33.0,16.0,7.0,13.0
trial42,corny,1.0459449135339933,1.0506933005540828,1.3158447951851768,1.8590491498314359,1.1413556241788543,74.6679519066918,30.541189920232537,1476.3785681132122,1.024226427020174,1.0976924665272103,18.0,15.0,8.0,8.0,16.0,9.0,8.0,13.0,20.0,25.0
trial31,round3,1.0461144978844388,1.0733248927946382,1.4267331476369365,1.8130832891988955,1.157897764317867,79.73875939870395,29.67414534362026,1480.3034153675221,1.0465031999995442,1.0923445122223372,19.0,19.0,18.0,5.0,19.0,18.0,5.0,14.0,29.0,24.0
trial44,corny,1.0474956471197776,1.0539100800764205,1.3899757561688355,1.9190814335565642,1.1426072510454248,78.42820000591038,31.357167754975787,1552.640276734366,1.027341497076044,1.0458231330204526,20.0,16.0,13.0,10.0,17.0,16.0,11.0,18.0,22.0,18.0
trial28,round3,1.0488800700136784,1.1157857213809186,1.5587365822193975,1.8420906076962313,1.1835564163349956,88.2527530755583,30.285598033114965,1503.620913335982,1.0414943269490138,1.0281905744586175,21.0,27.0,27.0,6.0,21.0,27.0,6.0,15.0,26.0,15.0
trial10,r2d2c,1.0529880594869703,1.1087150010911513,1.5563890649243008,2.265302692409026,1.35139996903308,87.31625458732496,36.68968732165316,1904.5037093889596,1.002653715901618,1.4042383783080201,22.0,25.0,26.0,26.0,30.0,25.0,23.0,30.0,14.0,31.0
trial14,r2d2c,1.0548487061828669,1.1213774652387563,1.4042366965006967,1.7358362235389255,1.1918944972619312,79.7550882380558,28.2398177449867,1685.6430767276152,1.025169739016662,0.9658572007210973,23.0,28.0,17.0,1.0,22.0,19.0,2.0,27.0,21.0,7.0
trial36,round3,1.05585836674274,1.0374726656360593,1.2892058289299033,1.9777288865692002,1.149569541477763,72.81273607608253,32.716422123578596,1553.0956938476643,1.01026371562393,1.0782953753566114,24.0,11.0,6.0,13.0,18.0,6.0,14.0,19.0,15.0,23.0
trial33,round3,1.062253699514332,1.1399908705653083,1.5794915049867386,1.842999214806696,1.2564448709330402,88.63228931077896,30.304171032004596,1643.0749205782731,1.0574037898768163,1.1366580017730779,25.0,31.0,28.0,7.0,25.0,28.0,7.0,25.0,31.0,27.0
trial34,round3,1.0664898081575815,1.1294499952078199,1.4880201281784042,1.7359532146073948,1.2345813954184321,83.50883884132699,28.177261865376423,1572.2512866328339,1.0512609621392883,1.0634162805970981,26.0,30.0,20.0,2.0,23.0,20.0,1.0,21.0,30.0,21.0
bag26v,seed,1.068840988521833,1.098061306428234,1.4665163136888006,2.3942862195364385,1.2607459949908089,77.30371043189318,37.41419365219425,1375.816837899227,0.9828679973634723,1.1783675596855632,27.0,22.0,19.0,29.0,26.0,11.0,27.0,8.0,11.0,29.0
trial17,r2d2c,1.070425403666691,1.125836269694504,1.6006088513473606,2.495061568487794,1.482141414957255,89.58621110722913,40.393374990159415,2068.038766309369,1.0416578204176792,1.370227543966574,28.0,29.0,29.0,32.0,31.0,29.0,32.0,31.0,27.0,30.0
trial45,corny,1.0704557214791615,1.0765849361537412,1.3770057208119415,1.9610577301535004,1.2528765281833343,78.41857068333994,32.682691721663744,1601.4434307523231,1.018466343443277,1.0414317069402281,29.0,20.0,12.0,12.0,24.0,15.0,13.0,22.0,17.0,17.0
trial38,corny,1.084622687062623,1.0983358916203132,1.6279467433257067,2.255716153654977,1.2869750802832867,91.62255193431697,37.37014556381572,1605.9595582353622,1.0434816364703865,1.019841189835737,30.0,23.0,30.0,25.0,28.0,30.0,26.0,24.0,28.0,14.0
trial40,corny,1.087555924669342,1.0857504405987985,1.5505099694041444,2.17274489888386,1.3230559804649036,87.12648043706764,35.305443216880285,1738.6248997148139,1.0273420024655378,1.069059176620451,31.0,21.0,25.0,21.0,29.0,23.0,21.0,28.0,23.0,22.0
trial32,round3,1.139951341383271,1.3081329643192798,2.0247122980469396,2.461125492767005,2.3497044060150443,114.06413132334946,39.93843638048796,3063.8408736519614,1.066413400116522,1.67844102768455,32.0,33.0,35.0,31.0,34.0,35.0,31.0,34.0,32.0,34.0
trial18,r2d2c,1.1515512545785227,1.2795383579931179,1.7883321947715891,2.429645991025009,1.8886804640113806,101.141107030795,39.563291729847364,2659.3126129636275,1.080670948064705,1.5225558129176313,33.0,32.0,33.0,30.0,32.0,33.0,30.0,32.0,34.0,33.0
trial11,r2d2c,1.1846829019127807,1.3161010883789863,1.7145627914801786,2.1567544491103847,1.9724776953234318,96.31829930836707,34.89522928875716,2721.3308870949445,1.0785227457568458,1.509382067939417,34.0,34.0,32.0,20.0,33.0,32.0,19.0,33.0,33.0,32.0
trial16,r2d2c,1.3336523122690265,1.5190852692717884,1.913959133165252,2.589153671544477,3.209646540949421,107.18779843947554,41.573199613643716,4403.149881292961,1.087505556738583,2.6219745715050395,35.0,35.0,34.0,35.0,35.0,34.0,34.0,35.0,35.0,35.0
