metric,design_span_pct,median_within_cv_pct,span_over_cv,reprint_rho_9pairs,rho_vs_t180,p_vs_t180,rho_vs_cable_d,rho_vs_tierB_t180
out_raw_g,494.79,2.454,201.6,0.2,0.56,0.001,0.15,0.152
out_1000_g,150.7,1.626,92.7,0.267,0.708,0.0005,0.421,0.213
out_180_g,54.4,0.822,66.2,0.033,0.783,0.0005,0.549,0.302
out_cfc60_g,25.2,0.444,56.8,0.083,0.813,0.0005,0.761,0.225
out_avg1ms_g,91.11,1.253,72.7,0.117,0.684,0.0005,0.403,0.243
out_avg3ms_g,62.89,0.598,105.1,0.417,0.803,0.0005,0.686,0.293
out_avg5ms_g,60.8,0.684,88.8,0.733,0.813,0.0005,0.752,0.183
out_avg10ms_g,60.19,0.766,78.6,0.867,0.682,0.0005,0.645,0.043
out_avg15ms_g,50.62,0.927,54.6,0.117,0.524,0.002,0.389,-0.011
out_avg36ms_g,39.83,1.183,33.7,0.283,0.187,0.2799,-0.11,0.043
out_clip3ms_g,118.35,2.98,39.7,0.717,0.007,0.9695,0.226,0.024
hic15_out,216.88,2.156,100.6,0.2,0.795,0.0005,0.56,0.323
hic36_out,216.88,2.156,100.6,0.2,0.795,0.0005,0.56,0.323
late_avg3ms_g,177.26,6.304,28.1,0.583,-0.36,0.0415,-0.425,-0.17
late_avg10ms_g,143.82,4.142,34.7,0.65,-0.446,0.009,-0.521,-0.175
srs30_out_g,24.08,0.402,59.9,0.333,0.4,0.0205,0.288,0.059
srs60_out_g,28.69,0.378,75.9,0.083,0.767,0.0005,0.804,0.193
srs120_out_g,46.25,0.519,89.2,0.233,0.723,0.0005,0.68,0.24
srs250_out_g,80.25,1.191,67.4,0.1,0.638,0.0005,0.451,0.181
srs520_out_g,170.58,2.307,73.9,0.3,0.67,0.0005,0.45,0.206
srs1000_out_g,168.58,2.908,58.0,0.017,0.581,0.0005,0.249,-0.011
t1000,142.12,1.294,109.8,0.533,0.828,0.0005,0.47,0.287
t180,51.17,0.319,160.4,0.083,1.0,0.0005,0.716,0.369
t60,23.79,0.229,103.8,0.683,0.893,0.0005,0.849,0.237
tavg1ms,86.74,0.51,170.2,0.05,0.944,0.0005,0.603,0.334
tavg3ms,60.4,0.342,176.8,0.717,0.85,0.0005,0.733,0.279
tavg5ms,61.03,0.497,122.8,0.8,0.826,0.0005,0.744,0.205
tavg10ms,60.38,0.639,94.5,0.933,0.698,0.0005,0.592,0.043
tavg15ms,50.78,0.812,62.5,0.1,0.535,0.001,0.364,0.015
tavg36ms,40.31,1.248,32.3,0.117,0.192,0.2729,-0.152,0.049
hic15_ratio,206.81,0.882,234.5,0.4,0.936,0.0005,0.663,0.363
srs30_ratio,23.47,0.315,74.5,0.517,0.402,0.0155,0.272,-0.012
srs60_ratio,27.22,0.239,113.8,0.883,0.825,0.0005,0.835,0.169
srs120_ratio,43.82,0.266,164.8,0.5,0.85,0.0005,0.806,0.275
srs250_ratio,75.18,0.334,224.8,0.033,0.868,0.0005,0.643,0.277
srs520_ratio,168.47,1.04,162.0,-0.1,0.796,0.0005,0.498,0.282
srs1000_ratio,154.16,2.925,52.7,-0.033,0.649,0.0005,0.321,0.035
e_rebound,166.71,2.746,60.7,-0.183,-0.307,0.0715,-0.258,-0.461
t_second_ms,164.03,1.821,90.1,-0.133,-0.29,0.0875,-0.248,-0.44
