design,batch,geom_cell_mass_g,geom_envelope_cm3,geom_footprint_mm2,crutch_F_peak_N,crutch_SEA_J_per_g,crutch_SEA_J_per_cm3,crutch_eta,crutch_cell_mass_g,crutch_envelope_cm3,crutch_footprint_mm2,crutch_F_base_peak_N,lander_F_peak_N,lander_SEA_J_per_g,lander_SEA_J_per_cm3,lander_eta,lander_cell_mass_g,lander_envelope_cm3,lander_footprint_mm2,lander_F_base_peak_N
1zm8rv,seed,24.746616587247576,182.4275520604142,192.33904257265158,737.265040855848,0.0004043283466056823,5.4847847574542776e-05,0.9702155614672915,24.746616587247576,182.4275520604142,192.33904257265158,35.74614200875908,4742.279484648449,0.0010293226832304562,0.00013962942274216007,0.73244203786252,24.746616587247576,182.4275520604142,192.33904257265158,4816.555144778162
6lhxfy,seed,22.667985107107885,176.45106804953568,201.29687933413268,737.0333059616848,0.0005507674905725164,7.075496573515831e-05,0.9716641157345257,22.667985107107885,176.45106804953568,201.29687933413268,32.46883353147637,4738.975365966003,0.0017606544746944775,0.00022618445925151934,0.7331309220656955,22.667985107107885,176.45106804953568,201.29687933413268,4819.8603477983615
6nheas,seed,25.614393117707174,297.55180165237704,107.00450167712846,736.4963578787518,0.0007075155624742294,6.0905636105953813e-05,0.9835663647779824,25.614393117707174,297.55180165237704,107.00450167712846,23.21010079522453,4777.633119203745,0.004084280695036026,0.00035159044826734397,0.7329916784579883,25.614393117707174,297.55180165237704,107.00450167712846,4861.101160463483
9hhbkp,seed,27.281271416801278,178.30075312579825,105.7064340771752,736.8618568489832,0.0001882978225009082,2.8810893463896855e-05,0.9828776146352909,27.281271416801278,178.30075312579825,105.7064340771752,24.52339561415541,4775.387083409572,0.0010234309926004186,0.00015659215228215745,0.7324539900482029,27.281271416801278,178.30075312579825,105.7064340771752,4836.705269480852
ajhby6,seed,26.533000530892892,149.79699869780265,137.1703390160787,736.9641973866796,0.0003429823527969981,6.075122350888019e-05,0.9798953903566993,26.533000530892892,149.79699869780265,137.1703390160787,28.53113634783703,4758.921360151697,0.0019230576097378908,0.0003406242382936444,0.7330617839929813,26.533000530892892,149.79699869780265,137.1703390160787,4815.49495259727
autv5r,seed,26.659741398547744,389.97086338851256,103.07171854868616,736.8167653767376,0.00020538561884362658,1.4040863047495751e-05,0.9809528980396502,26.659741398547744,389.97086338851256,103.07171854868616,24.5513658070043,4773.289510294609,0.0007979379206281413,5.4549764131603576e-05,0.7327017280087966,26.659741398547744,389.97086338851256,103.07171854868616,4825.172966647018
bag26v,seed,24.523474624815695,299.88566209064527,97.87166563847188,736.9732948595151,0.0001054362874123376,8.622166531288438e-06,0.9799884626123815,24.523474624815695,299.88566209064527,97.87166563847188,26.33508151316398,4777.062253961227,0.00030901498322385176,2.5270034742399147e-05,0.7325757782483192,24.523474624815695,299.88566209064527,97.87166563847188,4840.535184009874
bpx68c,seed,22.100656167999666,211.13769545567573,112.9275222361299,736.8177246711106,0.00021219404285004336,2.2211228420417673e-05,0.9815715932118264,22.100656167999666,211.13769545567573,112.9275222361299,24.258802770020758,4769.906565975084,0.0008702942936815602,9.109730457234297e-05,0.7326763010034412,22.100656167999666,211.13769545567573,112.9275222361299,4822.652710853445
ebdna8,seed,25.21962643717413,92.11614311447717,182.21497200533258,737.1794287388698,0.0003152823835200093,8.631824635465938e-05,0.9749084732448858,25.21962643717413,92.11614311447717,182.21497200533258,32.51979427805916,4747.371098544167,0.0017279675105037464,0.00047308423515214816,0.7330103642739944,25.21962643717413,92.11614311447717,182.21497200533258,4821.43514282064
nvxsrv,seed,26.182322443698315,138.91341123212558,137.42214316505107,737.1493614256218,0.0001409210238989206,2.656071616189911e-05,0.9762590318605371,26.182322443698315,138.91341123212558,137.42214316505107,31.888219494737328,4759.979925272496,0.00045943124127110607,8.659334468122826e-05,0.7324998517633482,26.182322443698315,138.91341123212558,137.42214316505107,4826.00525872501
