print_id,batch,spec,measured,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,mass_g,ok,t180,t1000,in_180_g,out_180_g,e_rebound,e_reb_mJ,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,fn_hz,zeta_pct,ringdown_r2,ringdown_dominant_frac,fn_flex_hz,zeta_flex_pct,ringdown_flex_r2,flex_dominant_frac
9hhbkp,1,0,True,27.299,76.157,59.7792,6.698,4.58,21.62,True,0.7651974925314454,0.7911691037305238,207.4977314451347,158.77674380778032,0.6151334574766458,198.7607749728091,0.1014598708120079,83.1746082052173,43.926238091009054,237.57299689779623,1.5824242399157449,0.8741462399931899,0.944456343931213,237.59575090194184,1.5625782008578517,0.8764519559746677,0.9997060221960336
6lhxfy,1,1,True,28.722,68.084,77.408,9.243,2.551,18.5,True,0.5118104558928949,0.5666383988321049,208.2170887121632,106.56768309846358,0.6163070857735466,170.40193884487627,0.23343415347765825,151.70397684965022,72.23305137765418,28.569958273915724,10.365027053877771,0.4934318622190137,0.723183377704367,441.32884192072817,0.3735181296678133,0.27848089388331954,0.8282163233959619
autv5r,1,2,True,36.436,93.502,47.6915,6.614,3.669,22.04,True,0.6598318193002319,0.673417741633031,207.87406230548936,137.1619207163608,0.6168119692661125,203.17488630191195,0.12005700258018716,104.52818664408818,57.124076666389065,161.689553379332,1.4673210534532601,0.7973535561584009,0.9838913041592967,162.52131644967858,1.5391486152218878,0.773875842573386,0.9998806602371071
ebdna8,1,3,False,21.703,62.251,65.1213,8.794,4.029,19.61,True,0.5145030594070384,0.5621448065699136,208.13795336014502,107.08761378251408,0.6144253381574267,180.07455632608026,0.1436472472367783,94.93881203041157,38.05669960998024,21.120465025747464,32.30945493217541,0.9006617605851964,0.4440237115625689,151.5065192555222,12.1697386627815,0.770472117962084,0.42070955787457676
nvxsrv,1,4,True,22.718,85.675,70.4432,7.637,3.696,20.66,True,0.8005160856499137,0.8594230695536121,207.66862311547715,166.24207328870895,0.6162266093653747,190.2726678195971,0.16582074806510513,64.67883405038843,32.56568892028722,323.4174278627127,1.108711586755904,0.8116493459054943,0.7007314284409766,323.4174278627127,1.108711586755904,0.8116493459054943,0.9945994262482982
6nheas,1,5,True,37.885,65.99,52.994,6.739,4.232,21.73,True,0.43120190495362065,0.4510098672352239,208.0113200592091,89.69487746144826,0.6148169372442369,199.66925247885825,0.105064731620288,112.43329227726569,92.25986007264773,199.44401914032278,1.3626485631830145,0.49332171053526197,0.7704406358073341,199.4627850988168,1.3656416116822465,0.50359377379541,0.9989419267117484
1zm8rv,1,6,False,27.877,74.722,62.1055,9.035,2.708,18.5,True,0.510756480994368,0.5605387629235199,208.2179312545944,106.34865784752387,0.616022777348138,170.32333078075064,0.24678381293339405,125.05989750310285,56.83193115239223,37.309311985466614,24.841327529459516,0.7974776596022655,0.6480905883591056,405.17080785615116,0.5867959076635361,0.20675612540704358,0.8882775331005576
ajhby6,1,7,False,26.771,66.531,44.4573,7.63,4.391,20.53,True,0.48249772113826034,0.5238581935190276,208.14716978088907,100.43053508065755,0.6128548456888119,188.0408545879401,0.10983051698892479,103.2669648970344,43.19852975303504,334.51041377843086,1.014116772039105,0.6792898673775709,0.8214099867785433,334.51041377843086,1.014116772039105,0.6792898673775709,0.9991730548625465
dea4ls,1,8,False,30.171,104.864,63.7624,6.445,3.324,22.29,True,0.9526617651147924,0.9592011201967015,207.5550366540737,197.72974757733527,0.6180293918102738,205.88506342669822,0.1615413330034492,77.91041354987804,40.870880130990436,165.53721525665213,1.6702311085967596,0.8940688049949101,0.9738860860237656,165.78930745503743,1.661567170545534,0.917452744627156,0.9998140719340459
bag26v,1,8,True,30.171,104.864,63.7624,6.445,3.324,21.42,True,0.9491557462898006,0.9563053844534155,207.59010615596128,197.03534213084035,0.6178277682660168,197.78462710324547,0.1581601844707035,73.2222706851794,41.12110405224445,167.28332781351529,1.3706149420936926,0.9310788770270977,0.9796664292011451,167.40588714858964,1.3646365839130412,0.9546742401085936,0.9998558966606894
