observable,n,spearman_rho,spearman_p
fn_hz,7,-0.6071428571428572,0.14823116148116164
R_mm,6,-0.5428571428571429,0.26570262390670546
cable_d_mm,6,0.3142857142857143,0.5440932944606415
e_rebound,7,-0.25,0.5887244480896832
twist_deg,6,0.2571428571428572,0.6227871720116619
t1000,7,0.1785714285714286,0.7016579425162727
mass_g,6,-0.14285714285714288,0.7871720116618076
strut_d_mm,6,-0.14285714285714288,0.7871720116618076
H_mm,6,-0.08571428571428573,0.8717434402332361
t180,7,0.07142857142857144,0.879048193148154
