,t180,t1000,out_180_g,in_180_g,in_dv_ms,t_second_ms,e_rebound,e_reb_mJ,fn_hz,zeta_pct,mass_g
t180,,4.999750012499375e-05,4.999750012499375e-05,0.9293535323233838,0.9706514674266287,0.005949702514874256,0.005399730013499325,0.005699715014249288,0.010099495025248737,0.018899055047247638,0.3533323333833308
t1000,4.999750012499375e-05,,4.999750012499375e-05,0.35258237088145594,0.48887555622218887,0.1031948402579871,0.09874506274686266,0.09794510274486276,0.030698465076746163,0.2313384330783461,0.4934253287335633
out_180_g,4.999750012499375e-05,4.999750012499375e-05,,0.000199990000499975,0.008499575021248937,0.0014499275036248187,0.0010999450027498626,0.0010999450027498626,0.0031998400079996,0.09489525523723814,0.6859157042147893
in_180_g,0.9293535323233838,0.35258237088145594,0.000199990000499975,,4.999750012499375e-05,0.2353382330883456,0.19134043297835107,0.1872406379681016,0.08254587270636468,0.8004599770011499,0.2328883555822209
in_dv_ms,0.9706514674266287,0.48887555622218887,0.008499575021248937,4.999750012499375e-05,,0.3652317384130793,0.28998550072496376,0.3077846107694615,0.30513474326283685,0.495875206239688,0.2273386330683466
t_second_ms,0.005949702514874256,0.1031948402579871,0.0014499275036248187,0.2353382330883456,0.3652317384130793,,4.999750012499375e-05,4.999750012499375e-05,0.019649017549122544,0.5800209989500525,0.5903704814759262
e_rebound,0.005399730013499325,0.09874506274686266,0.0010999450027498626,0.19134043297835107,0.28998550072496376,4.999750012499375e-05,,4.999750012499375e-05,0.019399030048497575,0.5463726813659318,0.5606219689015549
e_reb_mJ,0.005699715014249288,0.09794510274486276,0.0010999450027498626,0.1872406379681016,0.3077846107694615,4.999750012499375e-05,4.999750012499375e-05,,0.01749912504374781,0.6580170991450427,0.8273086345682716
fn_hz,0.010099495025248737,0.030698465076746163,0.0031998400079996,0.08254587270636468,0.30513474326283685,0.019649017549122544,0.019399030048497575,0.01749912504374781,,0.4523273836308185,0.9330033498325083
zeta_pct,0.018899055047247638,0.2313384330783461,0.09489525523723814,0.8004599770011499,0.495875206239688,0.5800209989500525,0.5463726813659318,0.6580170991450427,0.4523273836308185,,0.5342232888355583
mass_g,0.3533323333833308,0.4934253287335633,0.6859157042147893,0.2328883555822209,0.2273386330683466,0.5903704814759262,0.5606219689015549,0.8273086345682716,0.9330033498325083,0.5342232888355583,
