,t180,t1000,out_180_g,in_180_g,in_dv_ms,t_second_ms,e_rebound,e_reb_mJ,fn_hz,zeta_pct,mass_g
t180,,4.999750012499375e-05,4.999750012499375e-05,0.7782110894455277,0.6196690165491725,0.07799610019499024,0.07169641517924104,0.04999750012499375,0.00759962001899905,0.03334833258337083,0.5231738413079347
t1000,4.999750012499375e-05,,4.999750012499375e-05,0.6738163091845407,0.3419329033548323,0.384280785960702,0.37328133593320334,0.2449377531123444,0.02359882005899705,0.3319334033298335,0.7047147642617869
out_180_g,4.999750012499375e-05,4.999750012499375e-05,,0.0071996400179991,0.004699765011749413,0.01949902504874756,0.014499275036248187,0.008949552522373882,0.004649767511624419,0.1583920803959802,0.9196040197990101
in_180_g,0.7782110894455277,0.6738163091845407,0.0071996400179991,,4.999750012499375e-05,0.10224488775561222,0.08779561021948902,0.09114544272786361,0.3024848757562122,0.6708664566771662,0.3582820858957052
in_dv_ms,0.6196690165491725,0.3419329033548323,0.004699765011749413,4.999750012499375e-05,,0.1456427178641068,0.1136443177841108,0.17159142042897854,0.5207739613019349,0.16834158292085397,0.5168241587920605
t_second_ms,0.07799610019499024,0.384280785960702,0.01949902504874756,0.10224488775561222,0.1456427178641068,,4.999750012499375e-05,4.999750012499375e-05,0.029248537573121344,0.5784210789460527,0.67991600419979
e_rebound,0.07169641517924104,0.37328133593320334,0.014499275036248187,0.08779561021948902,0.1136443177841108,4.999750012499375e-05,,4.999750012499375e-05,0.027848607569621518,0.5501224938753062,0.5942702864856757
e_reb_mJ,0.04999750012499375,0.2449377531123444,0.008949552522373882,0.09114544272786361,0.17159142042897854,4.999750012499375e-05,4.999750012499375e-05,,0.021948902554872255,0.6309184540772962,0.5843707814609269
fn_hz,0.00759962001899905,0.02359882005899705,0.004649767511624419,0.3024848757562122,0.5207739613019349,0.029248537573121344,0.027848607569621518,0.021948902554872255,,0.816359182040898,0.8969051547422628
zeta_pct,0.03334833258337083,0.3319334033298335,0.1583920803959802,0.6708664566771662,0.16834158292085397,0.5784210789460527,0.5501224938753062,0.6309184540772962,0.816359182040898,,0.9594020298985051
mass_g,0.5231738413079347,0.7047147642617869,0.9196040197990101,0.3582820858957052,0.5168241587920605,0.67991600419979,0.5942702864856757,0.5843707814609269,0.8969051547422628,0.9594020298985051,
