,t180,t1000,out_180_g,in_180_g,in_dv_ms,t_second_ms,e_rebound,e_reb_mJ,fn_hz,zeta_pct,mass_g
t180,,0.826482213438735,0.812911725955204,0.013702239789196309,0.005533596837944664,-0.4122529644268774,-0.41607378129117256,-0.4159267089499647,-0.42187902187902193,-0.38404118404118404,0.14314914154066136
t1000,0.826482213438735,,0.7341238471673254,0.14163372859025034,0.10540184453227931,-0.24347826086956517,-0.24874835309617915,-0.2536997885835095,-0.3647361647361648,-0.2056628056628057,0.10565266527299426
out_180_g,0.812911725955204,0.7341238471673254,,0.5295125164690382,0.3841897233201581,-0.4627140974967062,-0.4728590250329381,-0.485553206483439,-0.4936936936936937,-0.2790218790218791,0.062306174850785156
in_180_g,0.013702239789196309,0.14163372859025034,0.5295125164690382,,0.6945981554677206,-0.18326745718050064,-0.19947299077733857,-0.2007047216349542,-0.29369369369369375,-0.043243243243243246,-0.1809980282995659
in_dv_ms,0.005533596837944664,0.10540184453227931,0.3841897233201581,0.6945981554677206,,-0.13715415019762844,-0.16245059288537547,-0.15856236786469344,-0.174002574002574,-0.11891891891891891,-0.18586129307864305
t_second_ms,-0.4122529644268774,-0.24347826086956517,-0.4627140974967062,-0.18326745718050064,-0.13715415019762844,,0.9988142292490118,0.986892177589852,0.39279279279279283,0.09472329472329473,-0.08380321481627098
e_rebound,-0.41607378129117256,-0.24874835309617915,-0.4728590250329381,-0.19947299077733857,-0.16245059288537547,0.9988142292490118,,0.9857646229739253,0.39202059202059203,0.10193050193050193,-0.08908937218483307
e_reb_mJ,-0.4159267089499647,-0.2536997885835095,-0.485553206483439,-0.2007047216349542,-0.15856236786469344,0.986892177589852,0.9857646229739253,,0.4011204481792717,0.07759103641456583,0.0334085145693124
fn_hz,-0.42187902187902193,-0.3647361647361648,-0.4936936936936937,-0.29369369369369375,-0.174002574002574,0.39279279279279283,0.39202059202059203,0.4011204481792717,,-0.12921492921492922,-0.014848018075349887
zeta_pct,-0.38404118404118404,-0.2056628056628057,-0.2790218790218791,-0.043243243243243246,-0.11891891891891891,0.09472329472329473,0.10193050193050193,0.07759103641456583,-0.12921492921492922,,-0.10995937914292131
mass_g,0.14314914154066136,0.10565266527299426,0.062306174850785156,-0.1809980282995659,-0.18586129307864305,-0.08380321481627098,-0.08908937218483307,0.0334085145693124,-0.014848018075349887,-0.10995937914292131,
