,t180,t1000,out_180_g,in_180_g,in_dv_ms,t_second_ms,e_rebound,e_reb_mJ,fn_hz,zeta_pct,mass_g
t180,,0.8168067226890758,0.8268907563025212,-0.04985994397759104,0.08683473389355742,-0.29971988795518206,-0.3103641456582633,-0.3336134453781513,-0.4810483870967742,-0.38709677419354843,0.11036414565826332
t1000,0.8168067226890758,,0.7504201680672269,0.073109243697479,0.16526610644257703,-0.15210084033613447,-0.15434173669467788,-0.2016806722689076,-0.4028225806451613,-0.17903225806451614,0.06666666666666668
out_180_g,0.8268907563025212,0.7504201680672269,,0.4504201680672269,0.461344537815126,-0.39859943977591034,-0.41820728291316533,-0.4380952380952381,-0.4991935483870968,-0.26008064516129037,0.018207282913165267
in_180_g,-0.04985994397759104,0.073109243697479,0.4504201680672269,,0.6795518207282913,-0.2798319327731093,-0.2941176470588236,-0.28991596638655465,-0.1923387096774194,-0.07903225806451614,-0.157703081232493
in_dv_ms,0.08683473389355742,0.16526610644257703,0.461344537815126,0.6795518207282913,,-0.24789915966386555,-0.2705882352941177,-0.23389355742296922,-0.11895161290322583,-0.2532258064516129,-0.1112044817927171
t_second_ms,-0.29971988795518206,-0.15210084033613447,-0.39859943977591034,-0.2798319327731093,-0.24789915966386555,,0.9983193277310926,0.9733893557422969,0.3935483870967742,0.10443548387096775,-0.07170868347338935
e_rebound,-0.3103641456582633,-0.15434173669467788,-0.41820728291316533,-0.2941176470588236,-0.2705882352941177,0.9983193277310926,,0.9683473389355742,0.39637096774193553,0.11088709677419356,-0.09159663865546218
e_reb_mJ,-0.3336134453781513,-0.2016806722689076,-0.4380952380952381,-0.28991596638655465,-0.23389355742296922,0.9733893557422969,0.9683473389355742,,0.4145161290322581,0.08830645161290324,0.0946778711484594
fn_hz,-0.4810483870967742,-0.4028225806451613,-0.4991935483870968,-0.1923387096774194,-0.11895161290322583,0.3935483870967742,0.39637096774193553,0.4145161290322581,,-0.0435483870967742,-0.024193548387096777
zeta_pct,-0.38709677419354843,-0.17903225806451614,-0.26008064516129037,-0.07903225806451614,-0.2532258064516129,0.10443548387096775,0.11088709677419356,0.08830645161290324,-0.0435483870967742,,-0.009274193548387096
mass_g,0.11036414565826332,0.06666666666666668,0.018207282913165267,-0.157703081232493,-0.1112044817927171,-0.07170868347338935,-0.09159663865546218,0.0946778711484594,-0.024193548387096777,-0.009274193548387096,
