channel,n_pairs,pair_rho,median_abs_rel_diff
t180,9,0.08333333333333334,0.030545244411397752
t1000,9,0.5333333333333333,0.05249725780849902
out_180_g,9,0.03333333333333333,0.028935142080266603
in_180_g,9,-0.31666666666666665,0.02725391496568701
in_dv_ms,9,-0.5,0.0359855647749007
t_second_ms,9,-0.13333333333333333,0.410796195258558
e_rebound,9,-0.18333333333333335,0.46077214911749476
e_reb_mJ,9,-0.18333333333333335,0.47539676391149555
fn_hz,4,0.39999999999999997,0.08152743138823236
zeta_pct,4,0.39999999999999997,0.2764041040918859
mass_g,9,0.8907563025210086,0.013462976813762134
tierB_t180,9,1.0,0.001588998265172627
tierC_t180,9,1.0,0.003878689274397378
