n_articles,model_time_s,total_time_s,per_article_s,sequential_total_s,savings_pct,prime_tower_s,flush_s,travel_s,undefined_s,support_s,pla_total_g,tpu_total_g,pla_main_g,tpu_main_g
1,29349,29667,29667,29667,0.0,14816,1785,8237,8233,1165,57.11,24.99,31.28,6.96
2,35412,35730,17865,59334,39.8,14816,1785,9907,9903,2331,88.36,31.95,62.53,13.92
3,41537,41854,13951,89001,53.0,14816,1785,11596,11592,3498,119.61,38.91,93.79,20.87
4,47612,47929,11982,118668,59.6,14816,1785,13250,13246,4660,150.87,45.87,125.04,27.83
5,53655,53972,10794,148335,63.6,14816,1785,14874,14869,5826,182.12,52.82,156.29,34.79
6,59692,60010,10002,178002,66.3,14816,1785,16479,16475,6987,213.37,59.78,187.54,41.75
7,65831,66148,9450,207669,68.1,14816,1785,18190,18185,8149,244.62,66.74,218.79,48.7
8,71809,72127,9016,237336,69.6,14816,1785,19742,19738,9315,275.87,73.7,250.04,55.66
9,77853,78170,8686,267003,70.7,14816,1785,21366,21361,10480,307.12,80.66,281.3,62.62
real-batch-plateA,59359,59677,,,,17982,2154,15931,15927,6360,190.41,59.64,159.12,37.75
real-batch-plateB,47308,47625,,,,14814,1785,12552,12547,4646,146.45,48.53,120.62,30.49
asprinted-plate-1,34813,35130,,,,,,,,,67.29,29.34,,
asprinted-plate-2,25040,25357,,,,,,,,,54.16,19.9,,
asprinted-plate-3,22550,22868,,,,,,,,,45.22,20.12,,
asprinted-plate-4,32534,32851,,,,,,,,,63.99,28.84,,
asprinted-plate-5,27992,28309,,,,,,,,,54.17,26.72,,
asprinted-plate-6,29196,29513,,,,,,,,,57.11,24.99,,
asprinted-plate-7,25447,25764,,,,,,,,,52.59,24.78,,
asprinted-plate-8,23172,23489,,,,,,,,,51.09,18.28,,
asprinted-plate-9,24767,25085,,,,,,,,,48.53,23.4,,
asprinted-plate-10,63646,63964,,,,,,,,,215.04,69.62,,
