print_id,round,metric,measured,measured_sem,pred_init,pred_init_sd,pred_all,pred_all_sd
6lhxfy,1,t180,0.89308,0.00041,1.00734,0.03520,1.00407,0.06214
6lhxfy,1,e_reb_mJ,13.92846,0.34529,8.28287,5.55214,8.11843,3.07931
6nheas,1,t180,0.99701,0.00032,1.00905,0.05275,1.00808,0.08121
6nheas,1,e_reb_mJ,13.07036,0.27512,7.73300,1.63455,8.32985,1.37165
9hhbkp,1,t180,1.01834,0.00017,1.03206,0.02855,1.05413,0.05755
9hhbkp,1,e_reb_mJ,6.94742,0.14748,8.07069,2.82931,8.06569,2.29588
autv5r,1,t180,1.04043,0.00034,1.02922,0.04833,1.00411,0.05889
autv5r,1,e_reb_mJ,8.83094,0.18508,12.19583,4.12353,11.87375,2.59491
bag26v,1,t180,1.06162,0.00051,1.03680,0.03434,0.99135,0.05312
bag26v,1,e_reb_mJ,7.71451,0.16466,7.44649,2.85166,9.42031,1.89560
bpx68c,1,t180,1.01107,0.00023,1.00832,0.03719,1.02794,0.06815
bpx68c,1,e_reb_mJ,6.18044,0.13997,9.72512,3.56195,6.23868,1.46374
nvxsrv,1,t180,1.02755,0.00044,1.01058,0.04379,1.08977,0.09897
nvxsrv,1,e_reb_mJ,8.20205,0.18474,6.82736,2.69377,6.35679,2.65444
ajhby6,1,t180,1.01266,0.00038,0.98981,0.03238,0.99980,0.06077
ajhby6,1,e_reb_mJ,6.09974,0.13724,7.40423,3.60820,6.89475,2.32250
r2d2c1,2,t180,0.99415,0.00045,,,0.99575,0.08030
r2d2c1,2,e_reb_mJ,5.96517,0.14590,,,6.25801,0.87215
r2d2c2,2,t180,1.04107,0.00336,,,0.99619,0.08757
r2d2c2,2,e_reb_mJ,5.62455,0.15060,,,5.32800,1.58641
r2d2c3,2,t180,1.33365,0.00254,,,1.10188,0.08517
r2d2c3,2,e_reb_mJ,5.59153,0.13816,,,4.62666,1.04488
r2d2c4,2,t180,1.18468,0.00166,,,1.20402,0.08127
r2d2c4,2,e_reb_mJ,6.44300,0.15283,,,11.34934,3.32991
r2d2c5,2,t180,1.15155,0.00087,,,1.11883,0.14019
r2d2c5,2,e_reb_mJ,6.70613,0.13180,,,5.86073,2.42651
r2d2c6,2,t180,1.05485,0.00092,,,1.26152,0.08541
r2d2c6,2,e_reb_mJ,4.06643,0.09830,,,5.56102,1.63533
r2d2c7,2,t180,0.94838,0.00018,,,0.96810,0.09803
r2d2c7,2,e_reb_mJ,12.16638,0.30060,,,8.21034,2.77467
r2d2c8,2,t180,1.07043,0.00247,,,1.03599,0.10219
r2d2c8,2,e_reb_mJ,7.89260,0.18176,,,5.93785,2.78056
r2d2c9,2,t180,1.05299,0.00077,,,1.00998,0.07397
r2d2c9,2,e_reb_mJ,5.84132,0.14923,,,6.07369,1.09090
