specimen,spec,round,mass_g,t180_mean,e_rebound_mean,e_reb_mJ,e_reb_mJ_per_g,pareto_abs,pareto_per_g
ajhby6,07,1,20.53,1.0126577598225033,0.0198800279706419,6.1,0.2971,False,True
bpx68c,S0,1,20.23,1.011071663223434,0.0204417509682657,6.18,0.3055,False,True
9hhbkp,00,1,21.62,1.0183360091957676,0.021501191564831,6.947,0.3213,False,False
bag26v,08,1,21.42,1.0616197738255833,0.0240981269394512,7.715,0.3602,False,False
nvxsrv,04,1,20.66,1.0275491969473938,0.02656356443883,8.202,0.397,False,False
autv5r,02,1,22.04,1.0404303364999212,0.0268095680946958,8.831,0.4007,False,False
6nheas,05,1,21.73,0.9970082901461372,0.0402459500191387,13.07,0.6015,False,False
6lhxfy,01,1,18.5,0.8930777877843858,0.0503762215482448,13.928,0.7529,True,True
r2d2c3,6,2,18.63,1.3336523122690265,0.0200822272582903,5.592,0.3002,True,False
r2d2c1,3,2,19.38,0.9941502089448192,0.0205950647274666,5.965,0.3078,True,True
r2d2c2,2,2,17.96,1.0410720834858893,0.0209544145122387,5.625,0.3132,True,False
