parameter,value,t180,t180__sd,e_reb_mJ,e_reb_mJ__sd
H_mm,60.00000,0.94382,0.04540,10.87782,3.58748
H_mm,66.25000,0.95063,0.04299,10.54248,3.37780
H_mm,72.50000,0.95857,0.04114,10.20231,3.24293
H_mm,78.75000,0.96757,0.03968,9.97219,3.15473
H_mm,85.00000,0.97747,0.03856,9.59975,3.07065
H_mm,91.25000,0.98800,0.03789,9.21480,3.05340
H_mm,97.50000,0.99880,0.03790,8.98977,3.05835
H_mm,103.75000,1.00945,0.03886,8.81509,3.09779
H_mm,110.00000,1.01958,0.04100,8.67551,3.25618
R_mm,25.00000,1.00146,0.04222,7.88609,3.39866
R_mm,26.87500,0.99759,0.04057,8.25573,3.16852
R_mm,28.75000,0.99358,0.03950,8.63521,3.06094
R_mm,30.62500,0.98947,0.03901,9.02899,3.06541
R_mm,32.50000,0.98536,0.03906,9.61161,3.03257
R_mm,34.37500,0.98131,0.03962,10.27595,3.18489
R_mm,36.25000,0.97739,0.04067,10.61051,3.31911
R_mm,38.12500,0.97365,0.04218,10.54135,3.39426
R_mm,40.00000,0.97014,0.04418,10.38589,3.68626
cable_d_mm,3.00000,0.98409,0.04014,10.33691,3.13357
cable_d_mm,3.31250,0.98466,0.03890,10.22335,3.08453
cable_d_mm,3.62500,0.98515,0.03823,10.07327,3.09611
cable_d_mm,3.93750,0.98553,0.03805,9.89730,3.09192
cable_d_mm,4.25000,0.98576,0.03829,9.67114,3.09069
cable_d_mm,4.56250,0.98583,0.03890,9.38421,3.12968
cable_d_mm,4.87500,0.98572,0.03984,9.07429,3.22800
cable_d_mm,5.18750,0.98545,0.04113,8.77425,3.30787
cable_d_mm,5.50000,0.98506,0.04283,8.52104,3.42574
mass_printed_g,18.00000,0.95348,0.05540,9.92712,3.73921
mass_printed_g,18.62500,0.96241,0.04744,9.82006,3.49861
mass_printed_g,19.25000,0.97191,0.04070,9.67232,3.27872
mass_printed_g,19.87500,0.98139,0.03594,9.50180,3.07848
mass_printed_g,20.50000,0.99027,0.03357,9.33145,2.92364
mass_printed_g,21.12500,0.99818,0.03355,9.17919,2.86982
mass_printed_g,21.75000,1.00498,0.03588,9.05631,2.95440
mass_printed_g,22.37500,1.01073,0.04052,8.96698,3.16799
mass_printed_g,23.00000,1.01554,0.04699,8.90949,3.45317
strut_d_mm,6.00000,1.01649,0.04159,8.84018,3.17586
strut_d_mm,6.75000,1.01035,0.03870,8.92655,3.03499
strut_d_mm,7.50000,1.00345,0.03707,9.04255,2.97175
strut_d_mm,8.25000,0.99593,0.03658,9.19588,2.97365
strut_d_mm,9.00000,0.98795,0.03724,9.38432,3.03210
strut_d_mm,9.75000,0.97972,0.03917,9.59345,3.14866
strut_d_mm,10.50000,0.97162,0.04247,9.80258,3.32149
strut_d_mm,11.25000,0.96416,0.04682,9.99300,3.53786
strut_d_mm,12.00000,0.95768,0.05171,10.15355,3.78071
twist_deg,40.00000,0.99948,0.05239,8.73473,3.81185
twist_deg,45.00000,0.99749,0.04628,8.83048,3.49750
twist_deg,50.00000,0.99513,0.04226,9.03310,3.28912
twist_deg,55.00000,0.99246,0.03941,9.14576,3.11715
twist_deg,60.00000,0.98955,0.03746,9.17444,3.02530
twist_deg,65.00000,0.98594,0.03669,9.39284,3.00834
twist_deg,70.00000,0.98069,0.03675,9.65731,3.02489
twist_deg,75.00000,0.97389,0.03986,10.01892,3.16497
twist_deg,80.00000,0.96688,0.04761,10.33193,3.47216
