metric,parameter,importance,q25,q75,median_per_draw
t180,R_mm,0.1349,0.1056,0.1500,0.1220
t180,H_mm,0.1684,0.1284,0.1995,0.1729
t180,twist_deg,0.2183,0.1407,0.2494,0.1994
t180,strut_d_mm,0.1393,0.0782,0.1626,0.1331
t180,cable_d_mm,0.1789,0.1240,0.2282,0.1705
t180,mass_printed_g,0.1602,0.1455,0.1982,0.1664
e_reb_mJ,R_mm,0.4787,0.2836,0.6117,0.4630
e_reb_mJ,H_mm,0.1683,0.0842,0.2416,0.1455
e_reb_mJ,twist_deg,0.0814,0.0692,0.0977,0.0748
e_reb_mJ,strut_d_mm,0.0663,0.0436,0.0773,0.0563
e_reb_mJ,cable_d_mm,0.1248,0.0678,0.1488,0.1014
e_reb_mJ,mass_printed_g,0.0805,0.0454,0.1449,0.0695
