arm_name,print_id,metric,observed,observed_sem,predicted,predicted_sem
0_0,6lhxfy,e_reb_mJ,13.92846,0.34529,7.95994,3.89619
0_0,6lhxfy,t180,0.89308,0.00041,1.07780,0.10907
10_0,r2d2c3,e_reb_mJ,5.59153,0.13816,8.61318,3.80825
10_0,r2d2c3,t180,1.33365,0.00254,1.02548,0.08361
11_0,r2d2c4,e_reb_mJ,6.44300,0.15283,9.03580,3.94933
11_0,r2d2c4,t180,1.18468,0.00166,1.03326,0.09833
12_0,r2d2c5,e_reb_mJ,6.70613,0.13180,8.81452,4.05290
12_0,r2d2c5,t180,1.15155,0.00087,1.02021,0.09851
13_0,r2d2c6,e_reb_mJ,4.06643,0.09830,9.19138,3.73209
13_0,r2d2c6,t180,1.05485,0.00092,1.05892,0.09969
14_0,r2d2c7,e_reb_mJ,12.16638,0.30060,8.59025,4.26569
14_0,r2d2c7,t180,0.94838,0.00018,1.04748,0.10473
15_0,r2d2c8,e_reb_mJ,7.89260,0.18176,8.83643,4.00734
15_0,r2d2c8,t180,1.07043,0.00247,1.05049,0.12042
16_0,r2d2c9,e_reb_mJ,5.84132,0.14923,8.25479,4.08710
16_0,r2d2c9,t180,1.05299,0.00077,1.01352,0.12968
17_0,drran1,e_reb_mJ,18.09234,0.42966,8.82704,3.79818
17_0,drran1,t180,1.03259,0.00037,1.02937,0.10357
26_0,2dran1,e_reb_mJ,7.34440,0.17810,8.82704,3.79818
26_0,2dran1,t180,1.07913,0.00081,1.03560,0.10272
18_0,drran2,e_reb_mJ,11.75853,0.27956,7.80156,3.77968
18_0,drran2,t180,1.03454,0.00014,1.04395,0.06412
27_0,2dran2,e_reb_mJ,4.47640,0.21308,10.43026,4.38542
27_0,2dran2,t180,1.08997,0.00131,1.04585,0.06224
19_0,drran3,e_reb_mJ,4.23195,0.11016,8.93163,4.02615
19_0,drran3,t180,1.03891,0.00026,1.05605,0.12317
28_0,2dran3,e_reb_mJ,9.42891,1.44188,8.93163,4.02615
28_0,2dran3,t180,1.05332,0.00077,1.05403,0.12313
1_0,6nheas,e_reb_mJ,13.07036,0.27512,8.56839,3.86536
1_0,6nheas,t180,0.99701,0.00032,1.03599,0.09530
20_0,drran4,e_reb_mJ,9.09563,0.20901,9.00031,4.35411
20_0,drran4,t180,1.03436,0.00037,1.04332,0.12888
29_0,2dran4,e_reb_mJ,11.18831,0.26727,9.00031,4.35412
29_0,2dran4,t180,1.04333,0.00058,1.04229,0.13118
21_0,drran5,e_reb_mJ,4.96849,0.13705,8.95157,4.01992
21_0,drran5,t180,1.03733,0.00053,1.03811,0.10766
30_0,2dran5,e_reb_mJ,4.97704,0.19201,8.95157,4.01992
30_0,2dran5,t180,1.06043,0.00031,1.03393,0.11075
22_0,drran6,e_reb_mJ,4.76610,0.12009,8.91574,4.26820
22_0,drran6,t180,1.04708,0.00088,1.04303,0.11376
31_0,2dran6,e_reb_mJ,7.73840,0.74894,8.91574,4.26820
31_0,2dran6,t180,1.08590,0.00437,1.04081,0.11296
23_0,drran7,e_reb_mJ,8.17106,0.20147,8.74551,3.88350
