specimen,n_drops,window,t180_mean,t180_sem,t180_dev_from_full,e_rebound_mean,e_rebound_sem,e_rebound_dev_pct
6lhxfy,10,first-10,0.8858981899592132,0.0009997520190367988,-0.0071795978251726345,0.04912982718620505,0.00013893390976889102,-2.474171987762236
6lhxfy,20,first-20,0.8896846681209369,0.0010262010923533808,-0.003393119663448907,0.04951616963508894,0.00011883802999946108,-1.7072576837311364
6lhxfy,30,first-30,0.8921647996717834,0.0009531913216848231,-0.0009129881126024308,0.049843989734177446,0.00011836607461813862,-1.0565139617658876
6lhxfy,50,first-50,0.8943420111583129,0.0007085595707512512,0.0012642233739270647,0.050268525791957196,0.000130156475432755,-0.2137829177689182
6lhxfy,99,full,0.8930777877843858,0.0004176376286792931,0.0,0.05037622154824477,0.00010587065041872097,0.0
6nheas,10,first-10,0.9945414594666898,0.0012787147077974875,-0.002466830679447418,0.03981594657900568,8.596988213931219e-05,-1.0684390353028943
6nheas,20,first-20,0.9948857680004524,0.0007744824492334957,-0.0021225221456848686,0.0399411264271421,6.318379854118592e-05,-0.7574019046676627
6nheas,30,first-30,0.9946510193251956,0.0006510600946554087,-0.002357270820941615,0.03993863401584476,4.803621706006632e-05,-0.763594854010784
6nheas,50,first-50,0.9956388546854444,0.00047555485558548814,-0.0013694354606927917,0.04008402652185009,4.152982451537523e-05,-0.4023348863961651
6nheas,99,full,0.9970082901461372,0.00032236755400871754,0.0,0.04024595001913865,3.549527987480611e-05,0.0
9hhbkp,10,first-10,1.0212681909845776,0.00022939630508667235,0.00293218178880994,0.02209864157294712,0.00014982327460981977,2.778683247924384
9hhbkp,20,first-20,1.0210800211200777,0.00015726841635929365,0.0027440119243100636,0.02156697381018554,0.00014384832078137084,0.30594697580440033
9hhbkp,30,first-30,1.0203672705218747,0.00023233391283620792,0.002031261326107092,0.021382221311607944,0.00010720114532912717,-0.553319349136357
9hhbkp,50,first-50,1.0193960590978952,0.00023891139015614585,0.0010600499021276022,0.021301011793090314,6.668091233361486e-05,-0.9310171072943876
9hhbkp,99,full,1.0183360091957676,0.00017337451480704745,0.0,0.02150119156483103,4.244423693696312e-05,0.0
amdjwm,10,first-10,0.9790984432097003,0.0012789347230792933,-0.0013968768545733479,0.02347613407406425,7.411765575048764e-05,-20.73643809354827
amdjwm,20,first-20,0.9808761834036028,0.0007548118832574786,0.0003808633393291849,0.02339801502989255,8.409131820912423e-05,-21.000195050900846
amdjwm,30,first-30,0.9817661302334972,0.0005678273486499837,0.0012708101692235907,0.0273631803539577,0.0023554153988782486,-7.612423191113438
amdjwm,50,first-50,0.9817012447707022,0.0003664894557123887,0.0012059247064285517,0.03079398672762614,0.0023082924001577906,3.9711677242556522
amdjwm,99,full,0.9804953200642736,0.0002521332216494614,0.0,0.029617813670512565,0.0014731185885547438,0.0
autv5r,10,first-10,1.045449554568582,0.000937887387478592,0.005019218068660791,0.026190395837868967,6.339176951199955e-05,-2.309519700727134
autv5r,20,first-20,1.044209564096064,0.0007939823059744981,0.003779227596142798,0.026471983705213732,7.58390520002051e-05,-1.2591936889460025
autv5r,30,first-30,1.0435447175852242,0.0005919659420597266,0.003114381085302931,0.026742446876527656,8.904135819860839e-05,-0.25036292241293917
autv5r,50,first-50,1.042508508389285,0.00047458377226236543,0.002078171889363878,0.027102449971677194,8.327328532180457e-05,1.0924527987428372
autv5r,101,full,1.0404303364999212,0.00034687587751140123,0.0,0.026809568094695823,8.262086409308943e-05,0.0
bag26v,10,first-10,1.0716105247733179,0.000508818583683785,0.009990750947734606,0.023970233610925186,5.874875171534181e-05,-0.5307189593920888
bag26v,20,first-20,1.0694449636997079,0.0005840909535331656,0.007825189874124616,0.023999426953027474,3.3475938569334964e-05,-0.40957534447281013
bag26v,30,first-30,1.0680026215015428,0.0005567332609401009,0.006382847675959535,0.024018659622452847,2.5972266458122932e-05,-0.32976553405186904
bag26v,50,first-50,1.065827594853436,0.0005285304861382411,0.004207821027852665,0.024040461092401783,1.9262197866176886e-05,-0.23929597181695353
bag26v,99,full,1.0616197738255833,0.0005145882867475306,0.0,0.024098126939451226,1.4850983057897683e-05,0.0
bpx68c,10,first-10,1.0147147140753208,0.00039332520349316555,0.0036430508518867644,0.01974903990818765,5.009654017663544e-05,-3.3887070689463497
bpx68c,20,first-20,1.0136066968276558,0.00033665137544508213,0.0025350336042218036,0.019937857454126146,5.9848959589210426e-05,-2.465021293536885
bpx68c,30,first-30,1.0133091629656752,0.00028640677865570877,0.002237499742241189,0.020054274268351914,5.379239245149386e-05,-1.8955161938685818
bpx68c,50,first-50,1.012898729995308,0.00021568159552983905,0.001827066771874053,0.020236519363389213,4.853379662149463e-05,-1.0039825120415178
bpx68c,99,full,1.011071663223434,0.0002372024058206065,0.0,0.020441750968265678,3.330722890362008e-05,0.0
nvxsrv,10,first-10,1.030485740742367,0.0017243066552683677,0.002936543794973323,0.02665543698785546,0.0004335678355860512,0.34585926612742096
nvxsrv,20,first-20,1.0297465754722155,0.0011328613649700836,0.0021973785248217137,0.026711870455850033,0.0003164855017382281,0.558306161665576
nvxsrv,30,first-30,1.0300267728010588,0.0008598359305086628,0.002477575853665037,0.02677369744515493,0.0002474895236346514,0.7910572649569646
nvxsrv,50,first-50,1.029346355779263,0.0006305183163654407,0.001797158831869261,0.02660907509230663,0.00018118134304373652,0.17132735925328005
nvxsrv,99,full,1.0275491969473938,0.0004401314380981711,0.0,0.02656356443883004,0.00011383135720127653,0.0
