event,CH4_impact_time_ms,CH1_raw_peakG,CH1_cfc1000_peakG,CH1_cfc180_peakG,CH1_cfc1000_peakT_ms,CH1_cfc180_peakT_ms,CH4_raw_peakG,CH4_cfc1000_peakG,CH4_cfc180_peakG,CH4_cfc1000_peakT_ms,CH4_cfc180_peakT_ms,CH1_over_CH4_cfc1000_in_window,CH1_over_CH4_cfc180_in_window
1,4.192,2585.648,1770.658,342.596,4.44,4.416,1275.459,1055.633,307.221,4.192,4.176,1.677,1.115
2,4.696,8714.753,8404.335,2634.245,3.736,3.712,-187.985,103.88,24.061,3.976,5.208,80.905,109.484
3,3.944,8782.971,8451.84,2634.404,3.744,3.72,227.668,153.24,25.775,3.984,3.904,55.154,102.207
4,4.184,2496.063,1728.634,339.585,4.432,4.408,1294.558,1068.834,309.461,4.192,4.176,1.617,1.097
5,3.952,8699.356,8357.819,2557.192,3.752,3.72,212.479,150.84,25.676,3.992,3.904,55.408,99.596
6,4.208,0.628,0.604,0.614,5.208,5.208,0.036,0.007,0.004,4.664,5.208,88.331,142.82
7,5.48,22.537,1.156,0.537,4.784,4.672,-0.174,-0.074,-0.007,6.16,4.48,-15.701,-76.389
8,3.856,-9.183,-1.462,-0.418,3.896,3.744,-0.521,-0.138,-0.076,3.896,3.984,10.561,5.501
9,4.384,920.698,881.416,258.769,4.2,4.144,15.263,11.124,1.837,4.432,4.344,79.238,140.878
10,4.392,918.742,879.794,256.858,4.2,4.144,1.543,1.125,0.187,4.432,4.344,782.016,1373.656
11,3.896,-16.327,-2.873,-0.597,3.912,3.904,-190.811,-23.191,-4.42,3.904,3.904,0.124,0.135
12,3.896,-26.129,-9.993,-2.595,3.888,3.864,-209.094,-73.465,-17.907,3.904,3.872,0.136,0.145
13,4.384,924.676,886.214,262.889,4.2,4.152,155.061,112.092,18.737,4.432,4.352,7.906,14.03
