signal,arrangement,input_raw_G,output_raw_G,T_raw,input_CFC1000_G,output_CFC1000_G,T_CFC1000,input_CFC180_G,output_CFC180_G,T_CFC180,pulse_FWHM_ms,FWHM_left_truncated,captured_delta_v_0_12ms_m_s,CFC180_t0_fraction
1,A,1614.870173,1725.5736667720892,1.0685525657870263,892.9572983526225,904.0316510038897,1.0124018837985844,376.9817158903793,386.63554826637954,1.0256082244020754,1.5933821828725743,True,5.501395320619026,0.5379756315895617
2,A,1658.946747,1941.5463899146005,1.1703488333339493,843.7304606660365,927.2643084751071,1.0990053716244041,369.1827099212112,380.8103271377294,1.0314955627770317,1.621217315546705,True,5.4525040771503965,0.5294168756054257
3,A,1793.171242,2075.742844588095,1.1575820512674133,824.6110941475243,931.5586385322589,1.129694525266236,365.8668601762557,380.1168527268921,1.0389485741992905,1.6314393997952992,True,5.422102787904073,0.5199760531053327
4,A,1940.1467,2153.6671808543774,1.1100537814250733,811.0857893896575,950.9241621330325,1.17240885560158,364.1610034588128,377.72050992961374,1.0372349217571688,1.6394873595467143,True,5.421838549803848,0.5203886611463491
5,A,1983.2891670000001,2179.123795090411,1.0987423474846272,807.5874849748518,953.3768049352726,1.1805244913682147,364.632830237638,377.89999168847555,1.036384988817905,1.6471610930807712,True,5.452047658383836,0.5182902936461266
6,A,2068.192043,2101.565244787407,1.0161364133956332,795.9380730849766,957.9355269062058,1.2035302233920577,362.24712484620426,375.576217049576,1.036795577629583,1.6511586630242,True,5.43235915036392,0.5233484831965409
7,A,2230.0671629999997,2166.8366880888043,0.9716463808981723,788.2098423405907,958.9532493852163,1.2166217647544246,359.14117335677963,374.16907958400236,1.0418440082677283,1.6534124848725764,True,5.376649708936898,0.5121576960261912
8,A,2462.997496,2184.890651357118,0.887086022176418,775.6089295010044,958.339922858017,1.2355968148465934,358.94525639211304,372.48221865941423,1.0377131666353974,1.6635602690747915,True,5.418068933832868,0.5176681788541435
9,A,2322.345404,2221.876117423191,0.9567380087373044,764.7224522666902,951.104974380373,1.243725709322686,357.330835104781,372.4022849945832,1.0421778598686642,1.6690588251505063,True,5.4118987668063285,0.5171944804500107
10,A,2353.06219,2222.954226313574,0.9447069591958273,759.8403712063325,950.6853709321584,1.2511645958253546,356.099334259515,372.16434296559794,1.045113840887934,1.6737436259731884,True,5.396637388301769,0.5098061590060234
11,B,567.03656,422.9256405619315,0.7458525082790632,344.3249826501356,362.83697481262357,1.0537631397524756,245.00526251791928,263.5178706561935,1.0755600428661007,2.109769560658887,False,4.983351454301717,0.2288089129639502
