member,node_i,node_j,kind,prestress
1,1,5,cable,0.600495613308523
2,1,7,cable,0.416252121283084
3,1,14,strut,-1.0
4,1,18,cable,0.263739961094239
5,1,19,cable,0.0921217460128242
6,2,5,cable,0.614812688498108
7,2,6,cable,0.0294178802595224
8,2,16,strut,-0.999999999999999
9,2,22,cable,0.0541452359394101
10,2,28,cable,0.0181301105193182
11,2,35,cable,0.0396885379928499
12,2,37,cable,0.538461538461538
13,2,38,cable,0.246701240074763
14,3,13,cable,0.632606062455325
15,3,14,cable,0.0632603440183797
16,3,23,cable,0.0674671765228707
17,3,31,strut,-1.0
18,3,36,cable,0.570134412536671
19,3,38,cable,0.246701240074763
20,4,6,cable,0.348383544701151
21,4,7,cable,0.806326909672819
22,4,25,cable,0.00213010662866098
23,4,26,cable,0.365160528158141
24,4,33,cable,0.570839221901208
25,4,39,strut,-1.0
26,4,40,cable,0.476963514063254
27,5,6,cable,0.309755975509427
28,5,7,cable,0.328555216230716
29,6,7,cable,0.324042244763852
30,6,28,cable,0.778491636025125
31,7,19,cable,0.857798328750477
32,7,20,strut,-1.0
33,7,26,cable,0.0954232295502366
34,7,35,cable,0.0777141840178823
35,8,9,cable,0.0286602641192233
36,8,10,cable,0.731616193566328
37,8,11,cable,0.731616193566328
38,8,29,cable,1.0633218075125
39,9,10,cable,0.731616193566328
40,9,11,cable,0.731616193566328
41,9,30,cable,1.0633218075125
42,10,13,cable,0.105504685446862
43,10,20,cable,0.361908325182877
44,10,32,cable,0.0225422928392948
45,10,35,strut,-1.0
46,10,36,cable,0.792801600772651
47,11,31,cable,1.03466154339328
48,12,13,cable,0.443503861213992
49,12,14,cable,0.215228375221658
50,12,15,cable,0.443503861213992
51,12,32,cable,0.842437550715321
52,13,14,cable,0.0364204836292081
53,13,23,cable,0.579073350270552
54,13,25,cable,0.424126061121405
55,13,36,cable,0.335679408263444
56,13,37,strut,-1.0
57,14,15,cable,0.443503861213992
58,14,23,cable,0.559524962147623
59,14,25,cable,0.21569395256521
60,14,28,cable,0.784539159218487
61,15,33,cable,0.627209175493663
62,16,17,cable,0.594596774894262
63,16,18,cable,0.324365058990353
64,16,19,cable,0.592213505856555
65,16,20,cable,0.187039569607808
66,16,26,cable,0.132294724522382
67,16,31,cable,0.256693356452048
68,16,39,cable,0.289362743995717
69,17,18,cable,0.594596774894262
70,17,34,cable,0.840886823198768
71,18,19,cable,0.248289239955797
72,18,35,cable,0.822424913325741
73,19,26,cable,0.542481755277533
74,19,33,strut,-1.0
75,20,21,cable,0.329091633042341
76,20,22,cable,0.78217667111769
77,20,31,cable,0.0219422111210062
78,20,34,cable,0.29422561505519
79,20,35,cable,0.322493793933042
80,21,22,cable,0.118062922668792
81,21,23,cable,0.329091633042341
82,21,36,cable,0.583468773380781
83,22,23,cable,0.71108049324217
84,22,37,cable,1.15384615384615
85,23,28,cable,0.0107181142756997
86,23,29,strut,-1.0
87,23,36,cable,0.00444477545335135
88,24,25,cable,0.467609439273157
89,24,26,cable,0.467609439273157
90,24,27,cable,0.0430168245978923
91,24,39,cable,0.704316435511669
92,25,27,cable,0.275005962553361
93,25,28,strut,-1.0
94,25,31,cable,0.0885053061939698
95,25,32,cable,0.289383469936723
96,25,40,cable,0.42449182574311
97,26,27,cable,0.275005962553361
98,26,30,strut,-1.0
99,26,39,cable,0.41616608566879
100,27,40,cable,0.431933986574324
101,28,33,cable,0.0522109628879327
102,29,32,cable,0.921545566510837
103,30,34,cable,0.921545566510837
104,31,34,cable,0.0235019649144422
105,31,39,cable,0.214115684629481
106,32,34,strut,-1.0
107,33,40,cable,0.730284055492002
108,35,37,cable,0.538461538461538
109,36,40,strut,-1.0
