node,x,y,z
1,0,-1,1
2,-1,-1,0
3,-1,0,-1
4,0.3,-1,-0.3
5,-0.3,-1,0.3
6,-0.3,-1,-0.3
7,0.3,-1,0.3
8,0.3,1,-0.3
9,-0.3,1,0.3
10,-0.3,1,-0.3
11,0.3,1,0.3
12,0.3,0.3,-1
13,-0.3,0.3,-1
14,-0.3,-0.3,-1
15,0.3,-0.3,-1
16,0.3,0.3,1
17,-0.3,0.3,1
18,-0.3,-0.3,1
19,0.3,-0.3,1
20,-1,0.3,0.3
21,-1,0.3,-0.3
22,-1,-0.3,0.3
23,-1,-0.3,-0.3
24,1,0.3,0.3
25,1,0.3,-0.3
26,1,-0.3,0.3
27,1,-0.3,-0.3
28,-0.5,-1,-0.5
29,0.5,1,-0.5
30,-0.5,1,0.5
31,0.5,1,0.5
32,0.5,0.5,-1
33,0.5,-0.5,-1
34,-0.5,0.5,1
35,-0.5,-0.5,1
36,-1,0.5,-0.5
37,-1,-0.5,0.5
38,-1,-0.5,-0.5
39,1,0.5,0.5
40,1,-0.5,-0.5
