flyer_id,track,symposium,organizer,role_note,affiliation,source_url
001,Additive Manufacturing,Additive Manufacturing and Innovative Feedstock Processing for Multifunctional Materials,Daniel Salazar,,BCMaterials,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-001.pdf
001,Additive Manufacturing,Additive Manufacturing and Innovative Feedstock Processing for Multifunctional Materials,Markus Chmielus,,University of Pittsburgh,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-001.pdf
001,Additive Manufacturing,Additive Manufacturing and Innovative Feedstock Processing for Multifunctional Materials,Henry Colorado,,Universidad de Antioquia,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-001.pdf
001,Additive Manufacturing,Additive Manufacturing and Innovative Feedstock Processing for Multifunctional Materials,Riccardo Casati,,Politecnico Di Milano,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-001.pdf
002,Additive Manufacturing,Additive Manufacturing for Energy Industry,Xiaoyuan Lou,,Purdue University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-002.pdf
002,Additive Manufacturing,Additive Manufacturing for Energy Industry,Isabella Van Rooyen,,Pacific Northwest National Laboratory,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-002.pdf
002,Additive Manufacturing,Additive Manufacturing for Energy Industry,Subhashish Meher,,Pacific Northwest National Laboratory,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-002.pdf
002,Additive Manufacturing,Additive Manufacturing for Energy Industry,Mohan Sai Kiran Nartu,,Pacific Northwest National Laboratory,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-002.pdf
002,Additive Manufacturing,Additive Manufacturing for Energy Industry,Ning Zhou,,Carpenter Technology Corporation,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-002.pdf
002,Additive Manufacturing,Additive Manufacturing for Energy Industry,Jonah Klemm-Toole,,Colorado School of Mines,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-002.pdf
002,Additive Manufacturing,Additive Manufacturing for Energy Industry,Pin Lu,,Solvus Global,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-002.pdf
