strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
heuristic,6,0,0,3.06068,9.57694,0.496045,54.9799,0.792619,0.614051,185.655,20.23,0.888295,24.6694,75.5051,7.88405,3.91084,144.359,0.789846,0.138166,65.7516,7.56349,208.127,164.965,4.08,True,True,0.014605,0.792619,185.655,0.138166
heuristic,6,0,1,3.06068,9.57694,0.729378,54.9799,0.841816,0.615199,186.002,20.23,0.770418,21.3958,65.4855,6.83783,4.98737,94.1784,0.851312,0.0861529,35.2576,10.8491,208.101,175.183,4.06,True,True,0.0172432,0.792619,185.655,0.0861529
heuristic,6,0,2,4.07568,9.57694,0.729378,54.9799,0.847976,0.615504,186.094,20.23,0.792461,16.5271,67.3592,7.03348,5.13006,57.8018,0.84644,0.0787571,22.1394,8.96115,208.019,176.395,4.08,True,True,0.0175727,0.792619,185.655,0.0787571
heuristic,6,0,3,4.07568,9.57694,0.729378,68.9799,0.863971,0.615862,186.202,20.23,0.791768,16.5127,67.3002,7.02732,5.12557,57.6501,0.85894,0.0746507,20.2833,10.3173,207.996,179.702,4.08,True,True,0.01769,0.792619,185.655,0.0746507
heuristic,6,0,4,4.07568,14.2436,0.729378,68.9799,0.815009,0.615538,186.104,20.23,0.994287,20.7363,84.5144,5.93349,4.32776,114.167,0.806875,0.103519,33.9117,5.86866,208.003,169.524,4.08,True,True,0.0186188,0.792619,185.655,0.0746507
heuristic,6,0,5,4.07568,5,0.729378,68.9799,0.927049,0.615837,186.195,20.23,0.531182,11.078,45.1505,9.03009,6.58635,17.4075,0.950765,0.0483123,15.9039,11.2377,207.907,192.74,4.08,True,True,0.0186188,0.792619,185.655,0.0483123
heuristic,6,0,6,4.07568,5,0.729378,80,0.929632,0.615872,186.205,20.23,0.530771,11.0695,45.1155,9.02311,6.58126,17.3672,0.95481,0.0465216,15.8799,8.98264,207.89,193.261,4.08,True,True,0.0186188,0.792619,185.655,0.0465216
heuristic,6,0,7,4.07568,5,0.916667,80,0.937495,0.615868,186.204,20.23,0.476051,9.92826,40.4644,8.09287,7.41847,12.5305,0.997787,0.0383891,18.0834,8.86275,207.823,194.833,4.08,True,True,0.0186188,0.792619,185.655,0.0383891
heuristic,6,0,8,4.07568,9.66667,0.916667,80,0.898432,0.615756,186.17,20.23,0.718256,14.9795,61.0518,6.3157,5.78939,43.0373,0.896217,0.0570641,16.6062,9.4825,207.97,186.847,4.08,True,True,0.0186188,0.792619,185.655,0.0383891
heuristic,6,1,9,4.4,5,0.916667,80,0.93879,0.615893,186.212,20.23,0.479614,9.26527,40.7672,8.15344,7.47398,10.9945,0.98859,0.0382891,17.7726,8.25269,207.838,195.116,4.08,True,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,1,10,4.4,5,0.916667,66,0.935339,0.615778,186.177,20.23,0.479767,9.26823,40.7802,8.15605,7.47638,11.0051,0.982239,0.0397429,17.7999,10.7213,207.873,194.432,4.08,True,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,1,11,3.385,5,0.916667,80,0.926848,0.615792,186.181,20.23,0.466551,11.7155,39.6569,7.93137,7.27043,17.0997,0.980641,0.0392176,19.0451,10.5776,207.799,192.598,4.1,True,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,1,12,1.65001,16.3359,0.255931,79.1507,0.480583,0.610994,184.73,20.23,1.16825,60.1823,99.3016,6.07874,1.55574,1129.91,0.478755,0.449379,438.398,49.4894,208.794,100.343,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,1,13,1.65001,16.3359,0.489264,79.1507,0.7258,0.60728,183.608,20.23,1.06494,54.8602,90.5201,5.54118,2.7111,855.873,0.729561,0.237445,313.487,25.2415,208.619,151.415,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,1,14,1.65001,16.3359,0.25,79.1507,0.47215,0.611132,184.772,20.23,1.17044,60.2946,99.487,6.09009,1.52252,1136.25,0.470329,0.459719,441.295,50.6907,208.798,98.5838,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,1,15,1.65001,18.3333,0.255931,79.1507,0.445128,0.611686,184.94,20.23,1.21508,62.5942,103.281,5.63353,1.44179,1271.28,0.443313,0.480199,451.073,54.6857,208.809,92.9468,4.08,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,1,16,1.65001,11.6692,0.255931,79.1507,0.588219,0.609091,184.155,20.23,1.01673,52.3766,86.4222,7.406,1.89542,744.818,0.587258,0.379126,392.515,37.3519,208.736,122.783,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,1,17,1.65001,16.3359,0.255931,80,0.485722,0.61098,184.726,20.23,1.16733,60.1344,99.2227,6.07391,1.5545,1127.22,0.483763,0.45061,439.688,49.0125,208.793,101.415,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,2,18,1.65001,16.3359,0.255931,65.1507,0.415889,0.611206,184.795,20.23,1.18372,60.979,100.616,6.15921,1.57633,1175.38,0.413918,0.430461,420.438,57.8728,208.809,86.8414,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,2,19,2.66501,16.3359,0.255931,79.1507,0.51217,0.610549,184.596,20.23,1.22061,38.931,103.752,6.35115,1.62545,494.011,0.51107,0.497962,284.129,26.2543,208.51,106.793,4.08,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,2,20,1.5,16.3359,0.255931,79.1507,0.449821,0.611408,184.856,20.23,1.15394,65.3898,98.0847,6.00425,1.53667,1317.56,0.448141,0.437566,462.529,56.7218,208.842,93.9414,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,2,21,1.65001,18.3333,0.255931,79.1507,0.445128,0.611686,184.94,20.23,1.21508,62.5942,103.281,5.63353,1.44179,1271.28,0.443313,0.480199,451.073,54.6857,208.809,92.9468,4.08,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,2,22,1.65001,14.0026,0.255931,79.1507,0.529416,0.61013,184.469,20.23,1.10081,56.7079,93.5689,6.68228,1.7102,945.299,0.527786,0.41423,419.164,43.4411,208.77,110.526,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,2,23,1.65001,16.3359,0.255931,80,0.485722,0.61098,184.726,20.23,1.16733,60.1344,99.2227,6.07391,1.5545,1127.22,0.483763,0.45061,439.688,49.0125,208.793,101.415,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,2,24,2.10157,16.3315,0.53833,65.0987,0.727055,0.608751,184.052,20.23,1.08341,43.8194,92.0897,5.63876,3.03551,555.512,0.723056,0.206697,206.488,18.1532,208.45,151.555,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,2,25,2.10157,16.3315,0.53833,79.0987,0.777302,0.6085,183.976,20.23,1.07734,43.5738,91.5736,5.60716,3.0185,546.225,0.778841,0.208518,207.843,15.6115,208.404,161.993,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
heuristic,6,2,26,2.10157,16.3315,0.53833,51.0987,0.733325,0.608643,184.02,20.23,1.08873,44.0346,92.5419,5.66645,3.05042,563.736,0.731793,0.204697,207.846,20.3732,208.489,152.89,4.06,False,True,0.0186188,0.792619,185.655,0.0382891
