strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
lhs,7,0,0,2.33576,12.8158,0.754154,61.972,0.825792,0.613723,185.555,20.23,0.870187,31.6668,73.9659,5.77144,4.35255,233.018,0.83571,0.113921,82.4969,8.99353,208.215,171.943,4.08,True,True,0.0113743,0.825792,185.555,0.113921
lhs,7,0,1,3.3286,5.4172,0.731384,65.7542,0.914695,0.61568,186.147,20.23,0.547094,13.9707,46.5029,8.58431,6.27843,28.5147,0.944633,0.053536,16.8907,13.7156,207.98,190.238,4.08,True,True,0.0113743,0.825792,185.555,0.053536
lhs,7,0,2,4.09412,14.086,0.262907,48.5795,0.569651,0.611297,184.822,20.23,1.18921,24.6898,101.083,7.17615,1.88666,193.58,0.569384,0.464442,151.31,15.022,208.287,118.651,4.06,False,True,0.0113743,0.825792,185.555,0.053536
lhs,7,0,3,4.29891,17.4277,0.44436,74.9406,0.697192,0.613102,185.368,20.23,1.21318,23.9876,103.12,5.91702,2.62929,186.409,0.692745,0.258608,83.6491,7.88843,208.128,145.105,4.06,False,True,0.0113743,0.825792,185.555,0.053536
lhs,7,0,4,2.22536,15.4472,0.349589,67.79,0.62042,0.608743,184.05,20.23,1.15169,43.9901,97.8938,6.33734,2.21546,595.134,0.618603,0.324525,275.282,24.8825,208.545,129.385,4.06,False,True,0.0113743,0.825792,185.555,0.053536
lhs,7,0,5,3.17432,5.31103,0.479397,78.8401,0.897904,0.616049,186.259,20.23,0.629045,16.8442,53.4688,10.0675,4.82633,47.6595,0.905796,0.0860736,25.5785,12.893,207.965,186.733,4.08,True,True,0.0113743,0.825792,185.555,0.053536
lhs,7,0,6,3.43046,13.6982,0.500626,53.4254,0.719995,0.613129,185.376,20.23,1.07125,26.5436,91.0567,6.64735,3.32784,201.549,0.722868,0.181743,84.4822,8.74885,208.163,149.876,4.08,True,True,0.0222285,0.719995,185.376,0.053536
lhs,7,0,7,2.09376,9.6244,0.666725,73.0583,0.875895,0.614286,185.726,20.23,0.761475,30.9135,64.7254,6.72513,4.48381,194.322,0.880294,0.10899,83.1519,8.32539,208.189,182.352,4.08,True,True,0.0223105,0.719995,185.376,0.053536
lhs,7,0,8,1.90183,16.4102,0.589036,44.2215,0.739486,0.608267,183.906,20.23,1.05484,47.1448,89.6612,5.46374,3.21834,626.068,0.737459,0.186792,221.749,22.7958,208.543,154.215,4.06,False,True,0.0223105,0.719995,185.376,0.053536
lhs,7,1,9,3.96745,10.1838,0.530925,40.9395,0.795881,0.614876,185.904,20.23,0.921156,19.7351,78.2983,7.68851,4.08202,95.8039,0.793572,0.127414,41.9983,6.25363,208.062,165.593,4.06,True,True,0.0239356,0.719995,185.376,0.053536
lhs,7,1,10,3.49233,12.4517,0.796115,60.1698,0.831221,0.615377,186.056,20.23,0.876841,21.3415,74.5315,5.98563,4.76525,106.644,0.829885,0.0904458,34.2243,8.07305,208.054,172.938,4.06,True,True,0.0252929,0.719995,185.376,0.053536
lhs,7,1,11,1.9318,17.6882,0.748306,70.5098,0.799223,0.609593,184.307,20.23,1.00751,44.3307,85.6381,4.84153,3.62294,528.721,0.804678,0.156739,173.881,14.772,208.389,166.55,4.06,False,True,0.0252929,0.719995,185.376,0.053536
lhs,7,1,12,2.02299,11.7143,0.576643,49.3354,0.808225,0.610347,184.535,20.23,0.906427,38.0854,77.0463,6.5771,3.79264,351.091,0.806582,0.148259,140.699,15.2123,208.397,168.431,4.06,False,True,0.0252929,0.719995,185.376,0.053536
lhs,7,1,13,2.623,18.1898,0.46624,72.0553,0.659683,0.6094,184.249,20.23,1.18586,38.4284,100.798,5.54145,2.58365,467.632,0.661866,0.264593,193.284,15.8688,208.375,137.461,4.06,False,True,0.0252929,0.719995,185.376,0.053536
lhs,7,1,14,1.75646,10.7854,0.324468,77.1222,0.708009,0.607449,183.658,20.23,0.960976,46.5043,81.683,7.57348,2.45735,554.967,0.712812,0.282916,304.391,25.3329,208.607,147.695,4.06,False,True,0.0252929,0.719995,185.376,0.053536
lhs,7,1,15,3.86793,13.2822,0.811547,45.388,0.812588,0.615132,185.981,20.23,0.911703,20.0352,77.4948,5.83447,4.73495,97.7261,0.809693,0.0944628,32.1995,8.40325,208.055,169.063,4.08,True,True,0.0258336,0.719995,185.376,0.053536
lhs,7,1,16,2.91453,6.39275,0.890694,65.4481,0.908117,0.615522,186.099,20.23,0.543853,15.861,46.2275,7.23124,6.44082,36.5354,0.932826,0.0513072,19.4953,16.5663,208.027,188.913,4.08,True,True,0.0258336,0.719995,185.376,0.0513072
lhs,7,1,17,2.3887,7.14259,0.682004,79.6662,0.895059,0.616053,186.26,20.23,0.641336,22.8214,54.5136,7.63218,5.20518,89.1947,0.895268,0.0772452,38.7657,16.7732,208.059,186.225,4.06,True,True,0.0258336,0.719995,185.376,0.0513072
lhs,7,2,18,2.47681,8.08807,0.65497,56.8388,0.840197,0.614762,185.87,20.23,0.710275,24.3755,60.3734,7.4645,4.88903,112.694,0.851312,0.0921339,49.1282,13.003,208.174,174.907,4.06,True,True,0.0258336,0.719995,185.376,0.0513072
lhs,7,2,19,4.32388,15.7763,0.424635,52.0606,0.655719,0.612829,185.285,20.23,1.18244,23.2447,100.507,6.37077,2.70525,170.607,0.650762,0.258428,85.2454,8.83194,208.159,136.494,4.06,False,True,0.0258336,0.719995,185.376,0.0513072
lhs,7,2,20,1.64561,11.323,0.832364,47.5772,0.816945,0.610969,184.723,20.23,0.731574,37.7878,62.1838,5.49181,4.57119,278.952,0.813639,0.108181,113.367,15.4233,208.452,170.294,4.06,False,True,0.0258336,0.719995,185.376,0.0513072
lhs,7,2,21,2.79823,11.0587,0.295006,69.5819,0.643212,0.609731,184.349,20.23,1.03852,31.5465,88.2743,7.98236,2.35484,275.986,0.639128,0.31781,182.332,15.6671,208.358,134.018,4.08,False,True,0.0258336,0.719995,185.376,0.0513072
lhs,7,2,22,1.54745,10.4669,0.786332,54.582,0.773852,0.611037,184.744,20.23,0.708811,38.9343,60.249,5.75617,4.52626,286.923,0.76652,0.110893,123.836,16.0956,208.461,161.318,4.06,False,True,0.0258336,0.719995,185.376,0.0513072
lhs,7,2,23,3.63732,14.7972,0.855145,66.943,0.828376,0.615545,186.106,20.23,0.940802,21.9855,79.9682,5.40429,4.62145,121.433,0.823107,0.0930213,34.8278,7.57148,208.028,172.326,4.06,True,True,0.0258377,0.719995,185.376,0.0513072
lhs,7,2,24,3.83408,7.82512,0.638327,59.8635,0.858628,0.615615,186.128,20.23,0.736728,16.333,62.6219,8.00268,5.10832,52.4814,0.85737,0.0789698,22.0844,10.0543,208.016,178.609,4.08,True,True,0.0262269,0.719995,185.376,0.0513072
lhs,7,2,25,3.0332,16.6082,0.908737,56.0847,0.804359,0.614605,185.822,20.23,0.958203,26.8519,81.4472,4.90403,4.45647,184.491,0.808505,0.105637,54.6958,6.84822,208.126,167.408,4.06,True,True,0.0264061,0.719995,185.376,0.0513072
lhs,7,2,26,1.67136,12.2799,0.516846,62.5737,0.726691,0.608123,183.862,20.23,0.930508,47.3227,79.0931,6.44085,3.32893,556.452,0.724717,0.180048,223.406,21.7266,208.541,151.545,4.06,False,True,0.0264061,0.719995,185.376,0.0513072
lhs,7,3,27,2.19637,14.4374,0.550644,75.6565,0.796959,0.609901,184.4,20.23,1.02172,39.5407,86.846,6.01536,3.31232,426.568,0.800573,0.181762,165.679,13.0051,208.327,166.028,4.06,False,True,0.0264061,0.719995,185.376,0.0513072
lhs,7,3,28,3.58228,5.7654,0.620274,41.3856,0.865424,0.615259,186.02,20.23,0.615122,14.5956,52.2854,9.06882,5.62516,34.9923,0.881028,0.0702432,17.5914,12.2297,208.024,180.029,4.08,True,True,0.0266427,0.719995,185.376,0.0513072
lhs,7,3,29,2.96526,9.39379,0.27928,63.5386,0.664931,0.610334,184.531,20.23,0.972501,27.877,82.6626,8.79971,2.45758,201.814,0.665045,0.30566,154.304,13.9413,208.31,138.512,4.08,False,True,0.0266427,0.719995,185.376,0.0513072
lhs,7,3,30,4.23774,15.1376,0.383463,73.8744,0.684324,0.61284,185.289,20.23,1.17516,23.5712,99.8885,6.5987,2.53035,174.352,0.680387,0.278504,89.0564,8.38044,208.144,142.438,4.06,False,True,0.0266427,0.719995,185.376,0.0513072
lhs,7,3,31,3.21375,8.99021,0.320398,46.2632,0.735652,0.611545,184.897,20.23,0.945043,24.9953,80.3287,8.93512,2.86279,157.666,0.736568,0.245281,116.148,11.3174,208.241,153.193,4.08,False,True,0.0266427,0.719995,185.376,0.0513072
lhs,7,3,32,2.69388,17.0941,0.362072,52.6963,0.610662,0.609413,184.253,20.23,1.2135,38.2894,103.147,6.03409,2.18478,475.077,0.608217,0.342513,235.174,22.2934,208.47,127.305,4.08,False,True,0.0266427,0.719995,185.376,0.0513072
lhs,7,3,33,3.72816,8.60314,0.861999,42.8395,0.868405,0.615287,186.028,20.23,0.683842,15.5912,58.1266,6.75644,5.82405,44.39,0.883737,0.0652392,17.6212,10.8535,208.024,180.649,4.08,True,True,0.0267634,0.719995,185.376,0.0513072
