strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
sobol,5,0,0,3.33092,8.15805,0.599941,66.0332,0.857066,0.61562,186.129,20.23,0.762683,19.4625,64.828,7.94651,4.76743,77.1454,0.857765,0.0902878,31.5277,9.93545,208.03,178.295,4.08,True,True,0.006883,0.857066,186.129,0.0902878
sobol,5,0,1,2.09092,15.1066,0.57792,40.3562,0.783854,0.608865,184.087,20.23,1.03483,42.068,87.9609,5.82269,3.36505,489.039,0.782138,0.178032,186.304,18.9114,208.47,163.41,4.06,False,True,0.006883,0.857066,186.129,0.0902878
sobol,5,0,2,2.57641,10.3399,0.754264,72.8201,0.877751,0.615587,186.119,20.23,0.776406,25.6149,65.9945,6.38253,4.81411,136.033,0.885933,0.0904036,48.6791,12.9181,208.091,182.652,4.06,True,True,0.006883,0.857066,186.119,0.0902878
sobol,5,0,3,3.79452,12.9263,0.401454,58.5688,0.648672,0.612851,185.292,20.23,1.0927,24.4772,92.8791,7.18531,2.88457,174.82,0.647519,0.231804,89.2344,8.90979,208.161,135.028,4.08,False,True,0.006883,0.857066,186.119,0.0902878
sobol,5,0,4,4.35106,9.18586,0.463911,54.3738,0.785161,0.615131,185.981,20.23,0.906956,17.7178,77.0912,8.39238,3.89332,76.0281,0.778634,0.134252,36.3853,5.41599,208.022,163.331,4.06,True,True,0.0176748,0.785161,185.981,0.0902878
sobol,5,0,5,2.74785,14.1129,0.691885,79.8673,0.83896,0.614408,185.763,20.23,0.969431,29.9877,82.4016,5.83874,4.03974,232.794,0.844979,0.124126,74.4157,6.49063,208.079,174.57,4.08,True,True,0.0178582,0.785161,185.763,0.0902878
sobol,5,0,6,1.55713,5.54579,0.307047,47.4105,0.72639,0.60786,183.783,20.23,0.679781,37.1076,57.7813,10.419,3.19911,249.955,0.728841,0.200553,217.976,24.74,208.578,151.509,4.06,True,True,0.0227822,0.72639,183.783,0.0902878
sobol,5,0,7,3.13703,17.7513,0.870898,61.8299,0.794471,0.614669,185.842,20.23,1.01694,27.5547,86.44,4.8695,4.24084,206.185,0.795951,0.113899,58.8373,6.67275,208.105,165.333,4.06,True,True,0.0238729,0.72639,183.783,0.0902878
sobol,5,0,8,3.03863,11.3558,0.251248,75.5582,0.56877,0.610026,184.438,20.23,1.07051,29.9456,90.9934,8.01296,2.01324,256.345,0.569193,0.399649,191.888,16.4516,208.36,118.509,4.08,False,True,0.0238729,0.72639,183.783,0.0902878
sobol,5,1,9,1.70795,11.9105,0.906107,51.1389,0.806296,0.61179,184.971,20.23,0.726923,36.177,61.7885,5.18773,4.70064,254.052,0.800599,0.102768,100.593,15.457,208.414,168.043,4.04,False,True,0.0238729,0.72639,183.783,0.0902878
sobol,5,1,10,2.87601,6.6738,0.436778,63.595,0.835009,0.614787,185.877,20.23,0.739052,21.8426,62.8194,9.41284,4.11132,94.1569,0.845319,0.126366,55.513,7.09304,208.08,173.749,4.08,True,True,0.0238729,0.72639,183.783,0.0902878
sobol,5,1,11,4.1847,16.5907,0.740095,48.1014,0.764218,0.614898,185.911,20.23,1.07226,21.7799,91.1423,5.49358,4.06577,135.826,0.758113,0.123544,42.7395,5.9337,208.06,159.003,4.06,True,True,0.0255855,0.72639,183.783,0.0902878
sobol,5,1,12,4.01327,6.19706,0.802718,44.8361,0.895226,0.615366,186.052,20.23,0.581841,12.3232,49.4565,7.98064,6.4062,23.5951,0.922789,0.0544575,16.6241,11.9233,207.96,186.172,4.08,True,True,0.0255855,0.72639,183.783,0.0544575
sobol,5,1,13,2.3194,17.1001,0.374239,69.0874,0.614878,0.608877,184.091,20.23,1.18842,43.5524,101.015,5.9073,2.21074,601.952,0.611822,0.325489,266.637,23.6421,208.522,128.215,4.06,False,True,0.0255855,0.72639,183.783,0.0544575
sobol,5,1,14,1.90186,9.00375,0.635394,56.623,0.814319,0.612507,185.188,20.23,0.739036,33.0297,62.818,6.97688,4.43307,215.3,0.805089,0.114587,98.3297,11.8668,208.33,169.647,4.06,True,True,0.0255855,0.72639,183.783,0.0544575
sobol,5,1,15,3.57235,14.295,0.522039,72.3001,0.722428,0.614069,185.66,20.23,1.08139,25.7305,91.9184,6.43012,3.35677,191.183,0.717171,0.171883,73.1738,6.96194,208.09,150.33,4.08,True,True,0.0271156,0.722428,183.783,0.0544575
sobol,5,1,16,3.65225,8.56249,0.886739,45.5163,0.872893,0.615323,186.039,20.23,0.671155,15.62,57.0482,6.66257,5.90796,43.7277,0.890229,0.0631927,17.3187,11.2217,208.027,181.586,4.08,True,True,0.0276478,0.722428,183.783,0.0544575
sobol,5,1,17,1.95828,14.7298,0.289157,61.1856,0.540484,0.609612,184.313,20.23,1.14823,49.8394,97.5996,6.62601,1.91596,761.63,0.540827,0.374911,343.694,37.1496,208.679,112.788,4.06,False,True,0.0276478,0.722428,183.783,0.0544575
sobol,5,2,18,2.26291,6.57606,0.716813,53.7289,0.831165,0.61501,185.945,20.23,0.594386,22.3264,50.5228,7.68285,5.50717,79.1183,0.832429,0.0741414,37.7222,18.3025,208.242,173.084,4.06,True,True,0.0289331,0.722428,183.783,0.0544575
sobol,5,2,19,3.93349,16.7145,0.439564,77.9725,0.674259,0.61268,185.24,20.23,1.19158,25.7493,101.285,6.05967,2.66362,210.972,0.669457,0.252594,93.9871,8.32998,208.144,140.343,4.08,False,True,0.0289331,0.722428,183.783,0.0544575
