seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
5,0,0,2.89284,6.56345,0.33266,53.8493,0.801138,0.612943,185.32,20.23,0.78365,23.0259,66.6102,10.1487,3.37605,110.949,0.804154,0.186765,87.4891,9.20604,208.174,166.776,4.08,True,0.00891804,0.801138,185.32,0.186765
5,0,1,4.01132,13.2707,0.720747,65.7407,0.817467,0.615499,186.092,20.23,0.95929,20.3274,81.5397,6.14432,4.4285,105.848,0.810306,0.100222,32.9166,6.2561,208.011,170.042,4.08,True,0.0154148,0.801138,185.32,0.100222
5,0,2,3.30038,10.4717,0.576565,46.4062,0.806634,0.614406,185.762,20.23,0.89735,23.1109,76.2747,7.28388,4.19963,127.986,0.809719,0.121369,51.7916,6.87777,208.108,167.867,4.06,True,0.0161232,0.801138,185.32,0.100222
5,0,3,2.15323,17.1758,0.807608,73.2622,0.834705,0.611823,184.981,20.23,0.983119,38.8092,83.5651,4.86529,3.92924,395.407,0.839255,0.135736,125.567,10.6174,208.262,173.837,4.06,False,0.0161232,0.801138,185.32,0.100222
5,0,4,1.77137,8.82236,0.599363,78.051,0.89217,0.612423,185.163,20.23,0.733026,35.1746,62.3072,7.06243,4.23296,242.185,0.896623,0.12509,122.075,10.582,208.274,185.816,4.06,True,0.0161232,0.801138,185.163,0.100222
5,0,5,3.50156,15.5036,0.368146,42.4377,0.622234,0.610555,184.598,20.23,1.18816,28.8425,100.994,6.51422,2.39819,263.944,0.622072,0.318847,151.006,14.3421,208.306,129.615,4.08,False,0.0161232,0.801138,185.163,0.100222
5,0,6,4.2633,8.25065,0.84632,60.6028,0.888214,0.615672,186.145,20.23,0.681144,13.5804,57.8973,7.0173,5.93888,33.5453,0.892497,0.0591129,16.2101,10.4545,207.981,184.732,4.08,True,0.0163008,0.801138,185.163,0.0591129
5,0,7,2.45912,14.9287,0.457083,59.9638,0.711227,0.609482,184.273,20.23,1.10105,38.0581,93.5895,6.26911,2.8655,425.864,0.711462,0.229568,181.036,16.4074,208.392,148.214,4.06,False,0.0163008,0.801138,185.163,0.0591129
5,0,8,2.40086,11.4939,0.885064,44.5754,0.835453,0.614021,185.646,20.23,0.761455,26.9585,64.7237,5.63112,4.9839,147.776,0.830969,0.0901872,53.0648,15.1019,208.245,173.979,4.06,True,0.0168303,0.801138,185.163,0.0591129
5,1,9,4.4,14.5535,0.726361,40,0.78925,0.615134,185.982,20.23,1.01538,19.6153,86.3072,5.93034,4.30757,104.324,0.778324,0.112831,35.0768,6.55732,208.045,164.2,4.06,True,0.019368,0.78925,185.163,0.0591129
