seed,final_hv,best_t180,best_e_reb_mJ,n,best_peak_tendon_strain,n_feasible
0,0.0247338,0.77227,184.484,36,0.0382891,30
1,0.0317108,0.726932,185.101,36,0.0382891,33
2,0.0206755,0.790075,185.385,36,0.039964,34
3,0.0297455,0.746538,184.986,36,0.0382891,32
4,0.0270111,0.745643,185.067,36,0.0506835,33
5,0.0253373,0.759277,185.163,36,0.0520784,33
6,0.0200087,0.793465,184.769,36,0.0382891,31
7,0.0304111,0.722455,185.647,36,0.0382891,31
8,0.0340591,0.69925,185.082,36,0.0382891,33
9,0.0248924,0.77611,184.488,36,0.0394952,32
