strategy,file,final_hv,hv_frac_of_ceiling
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed0.csv,0.0514834,0.810019
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed1.csv,0.0512616,0.806529
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed2.csv,0.049233,0.774611
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed3.csv,0.0540499,0.850398
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed4.csv,0.05268,0.828845
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed5.csv,0.0530554,0.834752
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed6.csv,0.0486371,0.765235
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed7.csv,0.0565276,0.889381
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed8.csv,0.0570557,0.89769
botorch,pr102_sim_bo_botorch_ratios-strain_sobol_seed9.csv,0.0517184,0.813716
sobol,pr102_baseline_sobol_ratios-strain_seed0.csv,0.0488037,0.767857
sobol,pr102_baseline_sobol_ratios-strain_seed1.csv,0.0502926,0.791283
sobol,pr102_baseline_sobol_ratios-strain_seed2.csv,0.0485865,0.76444
sobol,pr102_baseline_sobol_ratios-strain_seed3.csv,0.0505008,0.794559
sobol,pr102_baseline_sobol_ratios-strain_seed4.csv,0.0512344,0.806101
sobol,pr102_baseline_sobol_ratios-strain_seed5.csv,0.0511582,0.804901
sobol,pr102_baseline_sobol_ratios-strain_seed6.csv,0.0532612,0.83799
sobol,pr102_baseline_sobol_ratios-strain_seed7.csv,0.0514078,0.808829
sobol,pr102_baseline_sobol_ratios-strain_seed8.csv,0.0518302,0.815475
sobol,pr102_baseline_sobol_ratios-strain_seed9.csv,0.0507796,0.798945
lhs,pr102_baseline_lhs_ratios-strain_seed0.csv,0.0494846,0.77857
lhs,pr102_baseline_lhs_ratios-strain_seed1.csv,0.0484375,0.762096
lhs,pr102_baseline_lhs_ratios-strain_seed2.csv,0.0497992,0.783519
lhs,pr102_baseline_lhs_ratios-strain_seed3.csv,0.050354,0.792249
lhs,pr102_baseline_lhs_ratios-strain_seed4.csv,0.052477,0.825652
lhs,pr102_baseline_lhs_ratios-strain_seed5.csv,0.0463845,0.729794
lhs,pr102_baseline_lhs_ratios-strain_seed6.csv,0.0503131,0.791606
lhs,pr102_baseline_lhs_ratios-strain_seed7.csv,0.0516996,0.81342
lhs,pr102_baseline_lhs_ratios-strain_seed8.csv,0.0513549,0.807997
lhs,pr102_baseline_lhs_ratios-strain_seed9.csv,0.0509045,0.800911
random,pr102_baseline_random_ratios-strain_seed0.csv,0.0530589,0.834807
random,pr102_baseline_random_ratios-strain_seed1.csv,0.0493232,0.776031
random,pr102_baseline_random_ratios-strain_seed2.csv,0.0532393,0.837645
random,pr102_baseline_random_ratios-strain_seed3.csv,0.0472378,0.74322
random,pr102_baseline_random_ratios-strain_seed4.csv,0.0507647,0.79871
random,pr102_baseline_random_ratios-strain_seed5.csv,0.0532411,0.837674
random,pr102_baseline_random_ratios-strain_seed6.csv,0.0525949,0.827506
random,pr102_baseline_random_ratios-strain_seed7.csv,0.0524836,0.825755
random,pr102_baseline_random_ratios-strain_seed8.csv,0.0475691,0.748433
random,pr102_baseline_random_ratios-strain_seed9.csv,0.0466164,0.733444
heuristic,pr102_baseline_heuristic_ratios-strain_seed0.csv,0.0474858,0.747122
heuristic,pr102_baseline_heuristic_ratios-strain_seed1.csv,0.0407163,0.640614
heuristic,pr102_baseline_heuristic_ratios-strain_seed2.csv,0.0498268,0.783955
heuristic,pr102_baseline_heuristic_ratios-strain_seed3.csv,0.0545732,0.858632
heuristic,pr102_baseline_heuristic_ratios-strain_seed4.csv,0.0564627,0.888361
heuristic,pr102_baseline_heuristic_ratios-strain_seed5.csv,0.0544692,0.856996
heuristic,pr102_baseline_heuristic_ratios-strain_seed6.csv,0.0490469,0.771684
heuristic,pr102_baseline_heuristic_ratios-strain_seed7.csv,0.0487593,0.767159
heuristic,pr102_baseline_heuristic_ratios-strain_seed8.csv,0.0486719,0.765784
heuristic,pr102_baseline_heuristic_ratios-strain_seed9.csv,0.0427382,0.672425
