strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,pair_feasible,hv,best_obj1,best_obj2
heuristic,9,0,0,4.02372,8.82423,0.652099,71.1014,0.863198,0.615881,186.208,20.23,0.78754,16.6366,66.9409,7.58604,4.94685,58.2062,0.85744,0.0796335,21.3747,10.3187,207.987,179.534,4.08,True,True,True,35.8466,0.863198,58.2062
heuristic,9,0,1,4.02372,8.82423,0.652099,80,0.876684,0.615901,186.214,20.23,0.786771,16.6203,66.8755,7.57862,4.94201,58.0357,0.869715,0.0773068,19.5688,9.57625,207.96,182.315,4.08,True,True,True,35.8743,0.863198,58.0357
heuristic,9,0,2,4.02372,8.82423,0.652099,57.1014,0.844973,0.615502,186.093,20.23,0.788528,16.6574,67.0249,7.59555,4.95305,58.4254,0.842447,0.0837958,23.4833,8.23729,208.015,175.767,4.08,True,True,True,39.5925,0.844973,58.0357
heuristic,9,0,3,4.02372,8.82423,0.885432,57.1014,0.884206,0.615671,186.144,20.23,0.69081,14.5932,58.7188,6.65427,5.89191,39.285,0.890058,0.0610032,16.6777,11.1147,207.999,183.914,4.08,True,True,True,42.4896,0.844973,39.285
heuristic,9,0,4,4.4,8.82423,0.885432,57.1014,0.884474,0.615672,186.145,20.23,0.696655,13.4581,59.2157,6.71058,5.94176,33.6942,0.889068,0.0596813,16.3212,10.284,207.98,183.953,4.08,True,True,True,43.3519,0.844973,33.6942
heuristic,9,0,5,4.4,13.4909,0.885432,57.1014,0.837671,0.615537,186.104,20.23,0.894903,17.2879,76.0668,5.63838,4.9924,71.4216,0.832665,0.0806991,23.2675,8.25623,208.014,174.247,4.08,True,True,True,44.7467,0.837671,33.6942
heuristic,9,0,6,4.4,5,0.885432,57.1014,0.923797,0.61575,186.168,20.23,0.488323,9.43352,41.5075,8.3015,7.35041,11.6044,0.971808,0.0419511,17.5153,11.06,207.904,192.061,4.08,True,True,True,47.2851,0.837671,11.6044
heuristic,9,0,7,4.4,5,0.916667,57.1014,0.923597,0.615713,186.157,20.23,0.479792,9.2687,40.7823,8.15646,7.47675,11.0067,0.97693,0.0408646,17.8147,11.0009,207.906,192.022,4.08,True,True,True,47.3583,0.837671,11.0067
heuristic,9,0,8,4.4,9.66667,0.916667,57.1014,0.87857,0.615746,186.167,20.23,0.72399,13.9862,61.5392,6.36612,5.83561,37.8181,0.881268,0.0614938,16.3827,10.3988,207.988,182.732,4.08,True,True,True,47.4726,0.837671,11.0067
heuristic,9,1,9,4.4,5,0.916667,71.1014,0.939823,0.615804,186.185,20.23,0.479728,9.26747,40.7769,8.15537,7.47576,11.0024,0.985802,0.039138,17.773,9.9268,207.858,195.35,4.08,True,True,True,47.473,0.837671,11.0024
