strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,pair_feasible,hv,best_obj1,best_obj2
heuristic,5,0,0,3.83451,15.7725,0.59355,51.4321,0.718032,0.614048,185.654,20.23,1.10449,24.4833,93.8816,5.95222,3.53294,176.796,0.712313,0.161501,64.5411,7.28708,208.112,149.431,4.06,True,True,True,27.4661,0.718032,176.796
heuristic,5,0,1,4.4,15.7725,0.59355,51.4321,0.734898,0.614664,185.84,20.23,1.11419,21.5241,94.7061,6.00449,3.56397,137.841,0.727254,0.157209,50.3473,6.22981,208.069,152.909,4.06,True,True,True,39.301,0.718032,137.841
heuristic,5,0,2,4.4,15.7725,0.59355,65.4321,0.759965,0.615027,185.95,20.23,1.11284,21.4981,94.5916,5.99723,3.55966,137.342,0.750546,0.15222,47.6418,5.6432,208.038,158.101,4.06,True,True,True,39.4403,0.718032,137.342
heuristic,5,0,3,4.4,15.7725,0.59355,40,0.732186,0.614503,185.791,20.23,1.11498,21.5394,94.7735,6.00876,3.5665,138.135,0.726438,0.160744,53.3737,6.68095,208.089,152.36,4.06,True,True,True,39.5451,0.718032,137.342
heuristic,5,0,4,4.4,15.7725,0.826884,51.4321,0.801981,0.615269,186.023,20.23,1.00659,19.4454,85.5599,5.42461,4.48552,101.638,0.796595,0.100652,31.2718,6.11503,208.029,166.835,4.08,True,True,True,47.9972,0.718032,101.638
heuristic,5,0,5,4.4,18.3333,0.826884,51.4321,0.778081,0.615119,185.978,20.23,1.08672,20.9934,92.3709,5.03841,4.16618,127.894,0.771716,0.115757,37.7861,5.571,208.041,161.873,4.06,True,True,True,48.223,0.718032,101.638
heuristic,5,0,6,4.4,11.1059,0.826884,51.4321,0.846742,0.615492,186.09,20.23,0.824709,15.9319,70.1003,6.312,5.21929,55.899,0.845084,0.0763378,20.6718,8.93449,208.011,176.132,4.08,True,True,True,57.0034,0.718032,55.899
heuristic,5,0,7,4.4,11.1059,0.826884,65.4321,0.858999,0.6158,186.183,20.23,0.824361,15.9251,70.0706,6.30933,5.21708,55.8281,0.85384,0.072146,19.2137,9.76637,207.999,178.671,4.08,True,True,True,57.0162,0.718032,55.8281
heuristic,5,0,8,4.4,11.1059,0.826884,40,0.843008,0.615379,186.056,20.23,0.824789,15.9334,70.1071,6.31261,5.2198,55.9153,0.843415,0.0793373,21.1098,9.79832,208.009,175.353,4.08,True,True,True,57.1869,0.718032,55.8281
heuristic,5,1,9,4.4,11.1059,0.916667,40,0.855966,0.615383,186.058,20.23,0.786454,15.1929,66.8486,6.01921,5.51761,48.4755,0.860373,0.0718191,18.6065,9.82141,207.998,178.039,4.08,True,True,True,58.5308,0.718032,48.4755
heuristic,5,1,10,3.385,11.1059,0.916667,40,0.845129,0.615131,185.981,20.23,0.765961,19.2339,65.1067,5.86236,5.37383,75.6675,0.851616,0.0765986,26.2264,11.7246,208.084,175.858,4.08,True,True,True,58.5308,0.718032,48.4755
heuristic,5,1,11,4.4,15.7725,0.916667,40,0.812709,0.615274,186.025,20.23,0.962212,18.5882,81.788,5.18547,4.75334,88.7796,0.807367,0.0936734,28.3322,8.61772,208.032,169.069,4.08,True,True,True,58.9204,0.718032,48.4755
heuristic,5,1,12,4.4,6.43921,0.916667,40,0.900366,0.615447,186.077,20.23,0.563578,10.8873,47.9041,7.43944,6.81949,17.8387,0.939413,0.0493027,17.3553,11.5299,207.946,187.227,4.08,True,True,True,63.1588,0.718032,17.8387
heuristic,5,1,13,4.4,6.43921,0.916667,54,0.915487,0.615784,186.179,20.23,0.563681,10.8893,47.9129,7.4408,6.82073,17.8485,0.944513,0.0476669,17.3739,10.4591,207.919,190.347,4.08,True,True,True,63.1588,0.718032,17.8387
heuristic,5,1,14,3.385,6.43921,0.916667,40,0.866231,0.615233,186.012,20.23,0.548325,13.7689,46.6076,7.2381,6.63492,27.759,0.911786,0.0501688,18.6769,13.9278,208.017,180.191,4.08,True,True,True,63.8659,0.718032,17.8387
heuristic,5,1,15,4.32514,16.969,0.812821,55.6962,0.79142,0.615237,186.013,20.23,1.05337,20.7015,89.5367,5.27648,4.28883,120.546,0.784718,0.10833,35.376,5.35399,208.032,164.641,4.06,True,True,True,63.9435,0.718032,17.8387
heuristic,5,1,16,4.32514,16.969,0.916667,55.6962,0.810616,0.615361,186.051,20.23,1.00038,19.6601,85.0326,5.01105,4.59346,103.254,0.804658,0.0948701,30.1979,6.53426,208.025,168.628,4.08,True,True,True,63.9435,0.718032,17.8387
heuristic,5,1,17,4.4,16.969,0.916667,55.6962,0.812228,0.61538,186.056,20.23,1.00183,19.3535,85.1555,5.01829,4.6001,100.203,0.805988,0.0943378,29.4131,6.60439,208.023,168.962,4.08,True,True,True,63.9442,0.718032,17.8387
heuristic,5,2,18,4.4,16.969,0.916667,69.6962,0.832182,0.615674,186.145,20.23,1.00144,19.3461,85.1228,5.01636,4.59833,100.088,0.823771,0.0898598,27.0488,7.4163,207.992,173.087,4.08,True,True,True,63.9442,0.718032,17.8387
heuristic,5,2,19,4.4,16.969,0.916667,41.6962,0.801766,0.615213,186.006,20.23,1.00191,19.355,85.1622,5.01868,4.60046,100.227,0.796111,0.0988567,30.8271,7.67057,208.038,166.798,4.08,True,True,True,63.963,0.718032,17.8387
heuristic,5,2,20,4.4,18.3333,0.916667,41.6962,0.790181,0.615146,185.986,20.23,1.04491,20.1858,88.8177,4.8446,4.44088,113.695,0.783254,0.105489,33.9584,6.74511,208.045,164.393,4.06,True,True,True,64.0515,0.718032,17.8387
heuristic,5,2,21,4.4,12.3024,0.916667,41.6962,0.843855,0.615386,186.058,20.23,0.835137,16.1333,70.9866,5.77016,5.28931,58.0462,0.84505,0.0769529,20.9556,9.34905,208.011,175.531,4.08,True,True,True,64.0515,0.718032,17.8387
heuristic,5,2,22,4.4,12.3024,0.683333,41.6962,0.803699,0.615225,186.01,20.23,0.946514,18.2849,80.4537,6.53969,4.46879,84.5051,0.796326,0.105226,30.6518,7.46444,208.031,167.194,4.08,True,True,True,64.3227,0.718032,17.8387
heuristic,5,2,23,4.4,16.969,0.916667,41.6962,0.801766,0.615213,186.006,20.23,1.00191,19.355,85.1622,5.01868,4.60046,100.227,0.796111,0.0988567,30.8271,7.67057,208.038,166.798,4.08,True,True,True,64.3227,0.718032,17.8387
heuristic,5,2,24,4.4,7.6357,0.916667,41.6962,0.894396,0.615328,186.041,20.23,0.626859,12.1098,53.283,6.97814,6.39663,24.5477,0.9167,0.0550646,17.0095,11.7244,207.95,185.989,4.08,True,True,True,64.3418,0.718032,17.8387
heuristic,5,2,25,3.385,7.6357,0.916667,41.6962,0.869171,0.615034,185.952,20.23,0.610008,15.3178,51.8507,6.79056,6.22468,38.2204,0.901814,0.0573055,18.2759,12.4277,208.038,180.82,4.08,True,True,True,64.3418,0.718032,17.8387
heuristic,5,2,26,4.4,7.6357,0.916667,55.6962,0.903517,0.615648,186.138,20.23,0.626927,12.1111,53.2888,6.9789,6.39733,24.5557,0.918243,0.0529151,17.0223,10.5051,207.945,187.882,4.08,True,True,True,64.3418,0.718032,17.8387
heuristic,5,3,27,4.4,7.6357,0.916667,40,0.892933,0.615303,186.033,20.23,0.626838,12.1094,53.2812,6.97791,6.39641,24.5452,0.916395,0.0552751,17.0029,11.8231,207.95,185.685,4.08,True,True,True,64.3466,0.718032,17.8387
heuristic,5,3,28,4.4,7.6357,0.916667,54,0.90251,0.615602,186.124,20.23,0.626929,12.1111,53.289,6.97893,6.39735,24.556,0.917983,0.0532228,16.9995,10.596,207.946,187.673,4.08,True,True,True,64.3466,0.718032,17.8387
heuristic,5,3,29,4.4,12.3024,0.916667,40,0.843947,0.615377,186.056,20.23,0.835119,16.133,70.9851,5.77004,5.2892,58.0425,0.845047,0.0773339,20.9872,9.77232,208.01,175.55,4.08,True,True,True,64.3466,0.718032,17.8387
heuristic,5,3,30,4.05099,5.85619,0.702788,74.8035,0.91273,0.615714,186.157,20.23,0.595586,12.4969,50.6248,8.64466,6.07536,24.8381,0.919874,0.0541574,15.214,10.4413,207.947,189.799,4.08,True,True,True,64.3466,0.718032,17.8387
heuristic,5,3,31,4.4,5.85619,0.702788,74.8035,0.910657,0.615749,186.168,20.23,0.599899,11.589,50.9915,8.70727,6.11936,21.5148,0.914387,0.0532211,14.9031,9.61827,207.939,189.361,4.08,True,True,True,64.3466,0.718032,17.8387
heuristic,5,3,32,4.4,5.85619,0.702788,80,0.913843,0.615782,186.178,20.23,0.599664,11.5844,50.9714,8.70385,6.11696,21.4895,0.916476,0.0521934,14.8645,8.30623,207.933,190.018,4.08,True,True,True,64.3466,0.718032,17.8387
