strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,rejected_before,pair_feasible,hv,best_obj1,best_obj2
lhs,7,0,0,3.3533,8.86461,0.653686,53.8347,0.837432,0.615248,186.017,20.23,0.777301,19.7031,66.0706,7.4533,4.87212,80.5804,0.841616,0.0896376,32.127,9.41445,208.066,174.241,4.08,True,True,0,True,36.6056,0.837432,80.5804
lhs,7,0,1,2.82732,5.25508,0.633075,45.5267,0.849749,0.615137,185.983,20.23,0.561986,16.8955,47.7688,9.09003,5.75467,42.8385,0.859084,0.0673819,21.8622,16.1881,208.121,176.851,4.08,True,True,0,True,43.7373,0.837432,42.8385
lhs,7,0,2,3.64477,17.3398,0.530409,71.85,0.665036,0.613159,185.385,20.23,1.16687,27.2126,99.1835,5.72,3.03394,230.743,0.66009,0.204477,88.7796,8.09828,208.135,138.417,4.08,True,True,4,True,49.2028,0.665036,42.8385
lhs,7,0,3,3.38237,9.79991,0.399266,69.5471,0.737651,0.613912,185.613,20.23,0.950722,23.8919,80.8114,8.24613,3.2924,144.919,0.737825,0.183439,76.5927,7.39053,208.104,153.508,4.08,True,True,4,True,57.7664,0.665036,42.8385
lhs,7,0,4,2.72775,11.8345,0.573625,76.9953,0.82852,0.614095,185.668,20.23,0.94039,29.3037,79.9332,6.75426,3.87441,215.637,0.835008,0.135984,80.98,7.12005,208.104,172.419,4.08,True,True,5,True,57.7664,0.665036,42.8385
lhs,7,0,5,2.2507,8.44186,0.388775,64.0603,0.791047,0.610973,184.724,20.23,0.853469,32.2321,72.5448,8.59347,3.34092,236.774,0.788574,0.186521,140.425,12.9061,208.311,164.784,4.06,True,True,5,True,57.7664,0.665036,42.8385
lhs,7,0,6,3.18877,7.22448,0.677188,67.7662,0.885365,0.615972,186.235,20.23,0.672855,17.9357,57.1927,7.91651,5.36096,57.7996,0.894453,0.0716631,23.599,13.9932,208.04,184.191,4.08,True,True,5,True,57.7664,0.665036,42.8385
lhs,7,0,7,3.76117,11.6891,0.721833,56.5246,0.82038,0.615296,186.031,20.23,0.887626,20.0598,75.4482,6.45456,4.65912,95.3786,0.817939,0.0947142,32.5483,7.21728,208.042,170.673,4.08,True,True,6,True,58.6111,0.665036,42.8385
lhs,7,0,8,1.70234,8.62745,0.850368,78.4071,0.882325,0.615015,185.946,20.23,0.614783,30.6968,52.2565,6.05701,5.15069,154.696,0.887386,0.0860058,75.7294,19.0128,208.237,183.733,4.08,True,True,6,True,58.6111,0.665036,42.8385
lhs,7,1,9,4.37161,9.392,0.464357,60.1087,0.790477,0.615235,186.013,20.23,0.917966,17.8486,78.0271,8.30783,3.8578,78.0916,0.782539,0.134299,36.2011,5.17896,208.013,164.429,4.06,True,True,8,True,60.935,0.665036,42.8385
lhs,7,1,10,3.95043,8.12884,0.546875,73.5238,0.854779,0.615808,186.186,20.23,0.796778,17.144,67.7262,8.33159,4.55634,62.5361,0.847861,0.0937677,25.4437,8.94927,207.973,177.771,4.08,True,True,10,True,60.935,0.665036,42.8385
lhs,7,1,11,2.16552,6.08587,0.912642,70.3611,0.875495,0.615859,186.201,20.23,0.498391,19.5626,42.3632,6.96092,6.35283,50.9321,0.88805,0.0549954,27.1148,22.3156,208.177,182.258,4.08,True,True,10,True,60.935,0.665036,42.8385
lhs,7,1,12,4.30289,13.5602,0.488534,62.8517,0.733563,0.614625,185.828,20.23,1.08556,21.4444,92.2727,6.8047,3.32432,133.306,0.72439,0.175949,55.2754,6.25073,208.064,152.628,4.06,True,True,12,True,61.9468,0.665036,42.8385
lhs,7,1,13,3.02921,10.792,0.782085,63.9489,0.855331,0.6155,186.093,20.23,0.800417,22.4598,68.0354,6.30422,4.93043,107.819,0.861895,0.0856581,36.7456,11.0985,208.081,177.978,4.06,True,True,12,True,61.9468,0.665036,42.8385
lhs,7,1,14,3.71746,6.98981,0.8923,61.6207,0.913671,0.615689,186.15,20.23,0.591373,13.5218,50.2667,7.19142,6.4169,28.8734,0.938569,0.0518216,17.7524,11.5109,207.962,190.009,4.08,True,True,13,True,63.6929,0.665036,28.8734
lhs,7,1,15,3.28973,6.63223,0.686086,43.7778,0.858512,0.615207,186.004,20.23,0.638357,16.4938,54.2603,8.18131,5.61308,46.3741,0.876379,0.0703741,20.7981,13.0072,208.066,178.627,4.08,True,True,13,True,63.6929,0.665036,28.8734
lhs,7,1,16,3.85856,11.4655,0.61541,65.1941,0.809958,0.615378,186.056,20.23,0.933977,20.5746,79.3881,6.92406,4.26114,105.576,0.80355,0.109596,36.9784,5.65077,208.018,168.486,4.06,True,True,13,True,63.6929,0.665036,28.8734
lhs,7,1,17,4.20178,7.74679,0.449189,72.5093,0.830304,0.615634,186.133,20.23,0.824234,16.6738,70.0599,9.04373,4.06234,61.1915,0.821426,0.118145,29.8244,5.79787,207.971,172.679,4.08,True,True,13,True,64.0216,0.665036,28.8734
lhs,7,2,18,2.93425,16.6336,0.834714,74.3652,0.828759,0.614879,185.905,20.23,0.991189,28.713,84.2511,5.06512,4.22793,218.214,0.833421,0.113005,62.194,6.10841,208.072,172.442,4.08,True,True,13,True,64.0216,0.665036,28.8734
lhs,7,2,19,2.36564,13.797,0.864042,79.769,0.882712,0.61487,185.902,20.23,0.853063,30.6514,72.5104,5.25553,4.541,214.019,0.88448,0.101737,69.3802,7.24155,208.1,183.692,4.08,True,True,15,True,64.0216,0.665036,28.8734
lhs,7,2,20,4.11539,9.56259,0.581445,47.8487,0.810808,0.615201,186.003,20.23,0.863914,17.8434,73.4327,7.67916,4.46501,73.4505,0.806704,0.105117,30.6559,7.02866,208.027,168.67,4.08,True,True,18,True,64.112,0.665036,28.8734
lhs,7,2,21,3.6215,10.428,0.823514,59.3061,0.856951,0.615608,186.126,20.23,0.781622,18.3454,66.4378,6.37108,5.24668,70.2456,0.857211,0.0753105,24.4158,10.9048,208.044,178.283,4.08,True,True,18,True,64.112,0.665036,28.8734
lhs,7,2,22,1.79214,7.66555,0.506259,48.4752,0.832015,0.610686,184.637,20.23,0.728597,34.5568,61.9308,8.07911,4.09012,232.34,0.829512,0.133718,125.565,15.1137,208.41,173.401,4.06,True,True,18,True,64.112,0.665036,28.8734
lhs,7,2,23,2.11639,6.31005,0.697544,75.4612,0.880194,0.615938,186.225,20.23,0.57839,23.2298,49.1631,7.79125,5.43474,83.3448,0.880804,0.0736685,41.9161,20.3521,208.142,183.205,4.06,True,True,19,True,64.112,0.665036,28.8734
lhs,7,2,24,3.14715,15.4796,0.754829,54.7029,0.782777,0.614287,185.726,20.23,1.00376,27.1101,85.3196,5.51172,4.16041,196.998,0.7819,0.120339,61.4695,7.24321,208.128,162.918,4.06,True,True,19,True,64.112,0.665036,28.8734
lhs,7,2,25,3.88603,5.76486,0.791751,77.6191,0.927329,0.615814,186.188,20.23,0.557195,12.1876,47.3615,8.21556,6.50468,22.1011,0.953084,0.0477614,16.7284,9.9792,207.908,192.799,4.08,True,True,19,True,64.8663,0.665036,22.1011
