strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,rejected_before,pair_feasible,hv,best_obj1,best_obj2
random,8,0,0,2.44822,18.1637,0.462474,71.542,0.665372,0.608949,184.112,20.23,1.18017,40.9743,100.314,5.52279,2.55414,529.098,0.666651,0.267544,215.368,17.8042,208.424,138.679,4.06,False,True,0,False,0,inf,inf
random,8,0,1,4.0227,10.2145,0.541921,54.91,0.791842,0.615098,185.971,20.23,0.916439,19.3644,77.8973,7.62617,4.13279,91.766,0.787118,0.119787,37.6175,5.5773,208.033,164.729,4.06,True,True,0,True,42.1354,0.791842,91.766
random,8,0,2,1.81017,11.3862,0.410901,50.2858,0.708429,0.607982,183.82,20.23,0.967321,45.4225,82.2223,7.22122,2.96721,532.945,0.707419,0.213595,242.419,24.9809,208.576,147.761,4.06,False,True,0,False,42.1354,0.791842,91.766
random,8,0,3,2.03572,7.58486,0.792552,56.9194,0.821822,0.614705,185.852,20.23,0.608906,25.4244,51.757,6.82372,5.40815,105.104,0.823954,0.077382,48.3571,19.3256,208.29,171.178,4.06,True,True,0,True,42.1354,0.791842,91.766
random,8,0,4,2.24217,12.8787,0.652848,65.8743,0.817319,0.612486,185.181,20.23,0.920787,34.9068,78.2669,6.07723,3.96751,299.604,0.825418,0.135052,110.566,10.5123,208.254,170.21,4.06,False,True,0,False,42.1354,0.791842,91.766
random,8,0,5,4.14293,7.00275,0.497591,51.3848,0.830949,0.615365,186.052,20.23,0.75565,15.5036,64.2302,9.17215,4.56398,48.5012,0.828552,0.100537,25.3651,7.54432,208.005,172.842,4.08,True,True,0,True,51.1241,0.791842,48.5012
random,8,0,6,1.54867,7.42072,0.513112,55.7324,0.773853,0.610112,184.464,20.23,0.69226,37.9953,58.8421,7.92944,4.06869,266.869,0.769077,0.135404,148.647,17.7561,208.475,161.329,4.06,False,True,0,False,51.1241,0.791842,48.5012
random,8,0,7,3.28851,11.0302,0.654887,48.9224,0.809538,0.614695,185.849,20.23,0.881703,22.7899,74.9448,6.7945,4.44963,122.286,0.804716,0.107877,45.2902,7.31005,208.098,168.464,4.06,True,True,0,True,51.1241,0.791842,48.5012
random,8,0,8,1.88856,9.39053,0.314072,54.6336,0.688086,0.607957,183.812,20.23,0.926291,41.6903,78.7348,8.38449,2.63334,429.919,0.687803,0.259852,255.859,25.6596,208.578,143.519,4.06,False,True,0,False,51.1241,0.791842,48.5012
random,8,1,9,2.83452,14.5865,0.828017,42.0734,0.826256,0.61382,185.585,20.23,0.922675,27.6687,78.4274,5.3767,4.452,188.623,0.829085,0.109907,61.5538,8.22292,208.188,172.017,4.06,True,True,0,True,51.1241,0.791842,48.5012
random,8,1,10,4.27268,14.6014,0.909182,44.7511,0.819796,0.615292,186.03,20.23,0.922573,18.3535,78.4187,5.37065,4.8829,82.9867,0.81749,0.0881643,26.8449,8.25862,208.032,170.544,4.08,True,True,0,True,51.222,0.791842,48.5012
random,8,1,11,2.58756,11.6967,0.748149,52.4412,0.820255,0.6141,185.67,20.23,0.840456,27.6085,71.4388,6.10759,4.56939,171.068,0.823565,0.104406,61.4848,9.57051,208.19,170.768,4.06,True,True,0,True,51.222,0.791842,48.5012
random,8,1,12,2.80472,8.68212,0.549443,60.399,0.828777,0.614647,185.835,20.23,0.803418,24.3484,68.2906,7.86565,4.32173,127.19,0.83913,0.114458,56.7926,7.65294,208.114,172.48,4.08,True,True,0,True,51.222,0.791842,48.5012
random,8,1,13,3.13858,14.3892,0.411213,65.2196,0.65212,0.611142,184.775,20.23,1.12429,30.4483,95.5644,6.64139,2.73103,278.337,0.649648,0.24981,133.496,11.8948,208.258,135.81,4.08,False,True,0,False,51.222,0.791842,48.5012
random,8,1,14,1.76142,13.1472,0.556025,45.3942,0.751395,0.608333,183.926,20.23,0.957175,46.1898,81.3598,6.18837,3.44089,545.321,0.749701,0.169407,207.718,22.3776,208.546,156.7,4.06,False,True,0,False,51.222,0.791842,48.5012
random,8,1,15,2.24441,5.86498,0.498215,56.1512,0.841602,0.614235,185.71,20.23,0.639983,24.2373,54.3985,9.27515,4.62102,100.393,0.840866,0.105941,60.5666,14.6251,208.2,175.222,4.08,True,True,0,True,51.222,0.791842,48.5012
random,8,1,16,2.91747,5.93143,0.727122,52.7573,0.869003,0.615109,185.974,20.23,0.5726,16.6826,48.671,8.20561,5.96648,42.5548,0.89047,0.0615898,19.9483,16.1104,208.097,180.836,4.08,True,True,0,True,52.2312,0.791842,42.5548
