strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,rejected_before,pair_feasible,hv,best_obj1,best_obj2
random,6,0,0,3.06068,9.57694,0.496045,54.9799,0.792619,0.614051,185.655,20.23,0.888295,24.6694,75.5051,7.88405,3.91084,144.359,0.789846,0.138166,65.7516,7.56349,208.127,164.965,4.08,True,True,0,True,29.0601,0.792619,144.359
random,6,0,1,4.36359,13.4368,0.699549,53.1985,0.79985,0.615261,186.02,20.23,0.984594,19.1793,83.6905,6.22847,4.35712,96.7141,0.79409,0.106414,32.2891,5.61817,208.025,166.389,4.08,True,True,0,True,40.4406,0.792619,96.7141
random,6,0,2,1.63944,7.76586,0.816577,57.2998,0.79751,0.613517,185.493,20.23,0.585985,30.3815,49.8087,6.41381,5.23737,144.436,0.784644,0.0849812,72.4933,27.7294,208.398,166.199,4.04,True,True,2,True,40.4406,0.792619,96.7141
random,6,0,3,3.31966,6.63043,0.374224,59.8907,0.795222,0.614602,185.821,20.23,0.775106,19.8466,65.884,9.93661,3.71852,81.5274,0.795446,0.152148,55.1286,6.50188,208.066,165.458,4.08,True,True,2,True,44.3589,0.792619,81.5274
random,6,0,4,4.31442,8.67978,0.846527,54.4742,0.879287,0.615649,186.138,20.23,0.703236,13.8547,59.775,6.8867,5.82978,36.0467,0.883514,0.0624223,16.0294,10.8176,207.988,182.881,4.08,True,True,5,True,51.6095,0.792619,36.0467
random,6,0,5,3.93995,6.22412,0.432847,58.0705,0.829969,0.615353,186.048,20.23,0.72893,15.7259,61.9591,9.95467,4.30885,48.1376,0.827004,0.11157,28.7634,7.10522,208,172.633,4.08,True,True,9,True,53.2563,0.792619,36.0467
random,6,0,6,2.71319,12.2365,0.829123,65.2505,0.852289,0.615229,186.011,20.23,0.827805,25.9338,70.3634,5.75031,4.76772,148.672,0.863253,0.0926814,49.3016,10.6463,208.118,177.377,4.06,True,True,9,True,53.2563,0.792619,36.0467
random,6,0,7,4.36386,17.1231,0.76163,61.3473,0.788004,0.61529,186.029,20.23,1.08065,21.0491,91.8551,5.36441,4.08569,127.855,0.779558,0.117045,37.7378,5.19227,208.024,163.923,4.06,True,True,10,True,53.9203,0.788004,36.0467
random,6,0,8,4.01971,13.4118,0.515046,61.0528,0.729632,0.614563,185.809,20.23,1.06494,22.519,90.5197,6.74927,3.47619,144.208,0.722012,0.163463,57.3314,6.43384,208.071,151.815,4.06,True,True,10,True,60.8222,0.729632,36.0467
random,6,1,9,3.89981,18.2506,0.806649,42.3705,0.7669,0.614585,185.816,20.23,1.08271,23.5986,92.0299,5.04257,4.06758,161.009,0.763021,0.125726,49.57,6.58243,208.092,159.586,4.06,True,True,11,True,60.8222,0.729632,36.0467
