strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,rejected_before,pair_feasible,hv,best_obj1,best_obj2
sobol,8,0,0,3.68988,7.71269,0.319166,44.5091,0.747835,0.613363,185.447,20.23,0.87905,20.2498,74.7193,9.68783,3.09203,96.2549,0.750749,0.217097,77.0808,8.28509,208.14,155.655,4.08,True,True,0,True,48.3409,0.747835,96.2549
sobol,8,0,1,2.66997,10.7472,0.431593,58.1462,0.763172,0.611649,184.928,20.23,0.965536,30.7384,82.0706,7.63644,3.29583,243.613,0.763551,0.187807,119.88,11.4955,208.26,158.938,4.08,True,True,1,True,48.3409,0.747835,96.2549
sobol,8,0,2,3.59374,14.6141,0.891397,77.436,0.854939,0.615743,186.166,20.23,0.915232,21.6473,77.7947,5.32328,4.74516,114.527,0.849061,0.0857494,30.4214,10.1543,207.989,177.818,4.08,True,True,1,True,48.3409,0.747835,96.2549
sobol,8,0,3,2.97422,9.09845,0.606823,71.4212,0.86062,0.61554,186.105,20.23,0.800236,22.8699,68.0201,7.47601,4.53662,111.767,0.867277,0.100047,43.7717,9.46048,208.043,179.046,4.08,True,True,1,True,48.3409,0.747835,96.2549
sobol,8,0,4,1.91014,6.09322,0.807792,65.2936,0.838527,0.615323,186.039,20.23,0.520185,23.1478,44.2157,7.25654,5.86178,74.4299,0.84881,0.0663385,40.4159,23.5779,208.294,174.66,4.06,True,True,2,True,52.7099,0.747835,74.4299
sobol,8,0,5,4.35047,15.1145,0.51499,49.1141,0.701618,0.614107,185.672,20.23,1.12726,22.0245,95.817,6.3394,3.26473,146.018,0.693897,0.186708,61.1602,7.02175,208.099,146.006,4.06,True,True,2,True,58.0908,0.701618,74.4299
sobol,8,0,6,4.05852,11.4606,0.781435,51.3254,0.831442,0.615366,186.052,20.23,0.854948,17.9057,72.6706,6.34092,4.95501,73.1968,0.829966,0.0848255,25.6639,7.87493,208.031,172.966,4.08,True,True,2,True,58.501,0.701618,73.1968
sobol,8,0,7,2.31337,6.99356,0.633201,45.0799,0.854112,0.614228,185.708,20.23,0.654726,24.0565,55.6517,7.95756,5.03874,101.18,0.851664,0.0896425,48.2199,18.9217,208.241,177.861,4.06,True,True,3,True,58.501,0.701618,73.1968
sobol,8,0,8,3.34268,5.34806,0.498945,64.6436,0.876048,0.615722,186.16,20.23,0.628856,15.991,53.4528,9.99479,4.98685,42.9409,0.881027,0.083793,23.9629,12.5999,208.013,182.229,4.08,True,True,4,True,63.4225,0.701618,42.9409
sobol,8,1,9,2.91876,15.8532,0.865651,40.9459,0.823394,0.613847,185.593,20.23,0.950861,27.691,80.8232,5.09824,4.4133,194.699,0.82761,0.111426,61.5239,8.15186,208.182,171.416,4.06,True,True,4,True,63.4225,0.701618,42.9409
sobol,8,1,10,3.98272,12.1966,0.717092,57.3369,0.816356,0.61534,186.044,20.23,0.916427,19.5586,77.8963,6.38673,4.57987,93.6139,0.811979,0.0967374,31.4468,6.59546,208.029,169.826,4.08,True,True,5,True,63.4623,0.701618,42.9409
sobol,8,1,11,3.9154,9.5251,0.559865,67.1016,0.82624,0.615522,186.099,20.23,0.867931,18.8421,73.7742,7.74524,4.33629,82.2831,0.81959,0.105606,32.2731,6.39319,208,171.858,4.08,True,True,5,True,63.5213,0.701618,42.9409
sobol,8,1,12,2.80483,5.66001,0.358815,70.8656,0.84166,0.614716,185.856,20.23,0.699112,21.1865,59.4245,10.499,3.7672,83.7982,0.851363,0.14962,64.9804,6.74528,208.069,175.123,4.08,True,True,6,True,63.5213,0.701618,42.9409
sobol,8,1,13,3.45673,16.3744,0.651615,54.7263,0.736634,0.613898,185.609,20.23,1.08749,26.7411,92.4367,5.64518,3.67848,207.66,0.731924,0.149957,70.2665,7.66511,208.128,153.314,4.08,True,True,6,True,63.5213,0.701618,42.9409
sobol,8,1,14,3.20257,7.30552,0.847561,58.858,0.892657,0.615364,186.052,20.23,0.613124,16.2731,52.1156,7.13372,6.04626,43.3567,0.916027,0.0586717,18.0538,14.8791,208.05,185.718,4.08,True,True,6,True,63.5213,0.701618,42.9409
sobol,8,1,15,2.04783,11.1478,0.735052,42.5449,0.85418,0.611969,185.025,20.23,0.798299,33.1352,67.8554,6.08688,4.47417,234.053,0.853285,0.111901,92.5788,12.0867,208.347,177.966,4.04,True,True,7,True,63.5213,0.701618,42.9409
sobol,8,1,16,4.28327,6.61453,0.667659,79.0351,0.899534,0.615728,186.162,20.23,0.658721,13.0721,55.9913,8.46489,5.65166,30.058,0.896398,0.059917,14.1477,9.42921,207.957,187.065,4.08,True,True,8,True,65.3143,0.701618,30.058
