seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,envelope_cap_cm3,pair_feasible,hv,best_obj1,best_obj2
4,0,0,3.8569,10.5422,0.53227,51.3023,0.778054,0.614833,185.891,20.23,0.935999,20.6279,79.56,7.54679,4.01693,106.354,0.77195,0.128408,43.9894,5.95867,208.058,161.88,4.06,True,True,106.354,True,40.6861,0.778054,106.354
4,0,1,1.88311,14.83,0.852641,62.52,0.807332,0.611726,184.952,20.23,0.865966,39.088,73.6071,4.9634,4.232,353.31,0.812698,0.12212,123.971,12.86,208.351,168.208,4.06,False,True,353.31,False,40.6861,0.778054,106.354
4,0,2,2.56758,7.97681,0.403394,49.0203,0.824256,0.612106,185.067,20.23,0.834795,27.636,70.9576,8.89548,3.58838,170.255,0.825178,0.166892,102.155,10.8607,208.246,171.648,4.08,True,True,170.255,True,40.6861,0.778054,106.354
4,0,3,3.49246,17.4973,0.713328,75.283,0.769689,0.614768,185.871,20.23,1.08969,26.5211,92.624,5.29362,3.77608,204.672,0.763565,0.136375,60.8977,5.93815,208.049,160.133,4.08,True,True,204.672,True,41.1694,0.769689,106.354
4,0,4,3.27668,6.02317,0.806994,74.6159,0.920384,0.615657,186.14,20.23,0.55752,14.4626,47.3892,7.86782,6.34928,31.1401,0.948735,0.0506835,17.8066,12.8733,207.956,191.399,4.08,True,True,31.1401,True,50.0693,0.769689,31.1401
4,0,5,2.73518,15.2833,0.497223,40.9374,0.7549,0.610104,184.461,20.23,1.10809,34.4355,94.1874,6.16277,3.06427,350.878,0.754334,0.211091,152.411,14.6798,208.349,157.282,4.06,False,True,350.878,False,50.0693,0.769689,31.1401
4,0,6,1.71406,8.38126,0.59214,66.9372,0.831623,0.612106,185.067,20.23,0.71367,35.3908,60.662,7.23781,4.28579,238.697,0.840136,0.123288,122.018,12.7511,208.349,173.268,4.06,True,True,238.697,True,50.0693,0.769689,31.1401
4,0,7,4.07407,12.8253,0.271932,58.1352,0.601273,0.6115,184.883,20.23,1.14153,23.8165,97.0302,7.56553,2.05731,172.907,0.600447,0.402385,129.237,12.6822,208.248,125.214,4.06,False,True,172.907,False,50.0693,0.769689,31.1401
4,0,8,4.32878,7.27705,0.648391,44.2681,0.858964,0.615422,186.069,20.23,0.708556,13.9132,60.2272,8.27632,5.3663,36.6267,0.862731,0.0750963,17.5579,9.72978,207.993,178.659,4.08,True,True,36.6267,True,54.3519,0.769689,31.1401
4,1,9,4.4,8.06847,0.38504,80,0.809103,0.615552,186.108,20.23,0.876725,16.9367,74.5216,9.23615,3.55629,67.157,0.798475,0.150935,36.0731,4.61365,207.974,168.272,4.06,True,True,67.157,True,56.3064,0.769689,31.1401
