t180,peak_tendon_strain
0.646428,0.213057
0.646428,0.213057
0.646428,0.213056
0.646433,0.213052
0.646436,0.213049
0.646437,0.212909
0.646451,0.212835
0.646457,0.212789
0.646555,0.212755
0.646651,0.212746
0.646656,0.21272
0.646734,0.212666
0.646773,0.212653
0.646897,0.21251
0.647042,0.212426
0.647116,0.212417
0.647376,0.212369
0.647389,0.212298
0.647613,0.212219
0.647883,0.212061
0.647971,0.211985
0.648045,0.211822
0.648535,0.211597
0.648937,0.211223
0.649616,0.210819
0.64985,0.210663
0.650773,0.209942
0.651156,0.209795
0.651381,0.209782
0.651809,0.209358
0.652054,0.209141
0.652609,0.208748
0.653205,0.208019
0.65355,0.207888
0.653785,0.207686
0.654224,0.207228
0.655055,0.206865
0.656739,0.20495
0.657348,0.204578
0.658132,0.204166
0.660072,0.203177
0.662849,0.201266
0.664339,0.200928
0.665502,0.198977
0.668396,0.198953
0.669451,0.193514
0.674401,0.192068
0.675333,0.190059
0.677366,0.189674
0.680477,0.186714
0.686148,0.181334
0.695945,0.176451
0.698881,0.17485
0.700424,0.170169
0.703147,0.169255
0.705033,0.168131
0.710052,0.163338
0.714363,0.162398
0.715523,0.161438
0.715847,0.159887
0.717565,0.159568
0.717776,0.158141
0.718862,0.157142
0.718948,0.155661
0.724173,0.1513
0.731495,0.148023
0.731603,0.147169
0.732457,0.145424
0.73606,0.144187
0.737649,0.142997
0.737776,0.141632
0.738195,0.140615
0.743061,0.138966
0.744087,0.138066
0.745914,0.136049
0.747108,0.135202
0.747667,0.134064
0.748375,0.132457
0.750282,0.131672
0.752364,0.130844
0.753701,0.127568
0.759372,0.127368
0.760355,0.127348
0.760834,0.123754
0.762203,0.121807
0.765447,0.121561
0.767969,0.120914
0.768405,0.118307
0.771444,0.115672
0.773687,0.114806
0.774887,0.113951
0.775878,0.112748
0.776776,0.11193
0.777245,0.0889248
0.795432,0.0833029
0.797028,0.0747115
0.80832,0.072631
0.808706,0.0444348
0.808706,0.0444337
0.808706,0.0444328
0.808706,0.0444322
0.808706,0.0444318
0.808706,0.0444311
0.808706,0.0444311
0.808706,0.0444309
0.808706,0.0444308
0.808706,0.0444303
0.808706,0.0444302
0.808706,0.0444299
0.808706,0.0444296
0.808706,0.0444295
0.808706,0.0444294
0.808706,0.0444293
0.808706,0.0444291
0.808706,0.0444291
0.808706,0.0444291
0.808706,0.044429
0.808706,0.044429
0.808706,0.0444289
0.80883,0.044428
0.808838,0.0444236
0.808925,0.0443887
0.808937,0.0443862
0.808937,0.0443841
0.808938,0.0443817
0.808938,0.0443807
0.808938,0.0443804
0.808938,0.0443773
0.808938,0.0443768
0.808938,0.0443752
0.808938,0.0443747
