strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,ok,hv,best_t180,best_e_reb_mJ,best_e_rebound
heuristic,0,0,0,3.34719,8.59716,0.277316,40.6611,0.802241,0.615315,186.037,20.23,0.943635,23.9631,80.209,9.32971,2.58728,144.697,False,True,0,inf,inf,inf
heuristic,0,0,1,3.34719,13.2638,0.277316,40.6611,0.795842,0.615818,186.189,20.23,1.15172,29.2472,97.896,7.38068,2.04678,263.078,False,True,0,inf,inf,inf
heuristic,0,0,2,3.34719,5,0.277316,40.6611,0.812393,0.614875,185.904,20.23,0.695001,17.6492,59.0751,11.815,3.27649,57.81,True,True,0.00236813,0.812393,185.904,0.614875
heuristic,0,0,3,3.34719,5,0.510649,40.6611,0.822224,0.616516,186.4,20.23,0.600719,15.2549,51.0611,10.2122,5.21486,37.3301,True,True,0.00236813,0.812393,185.904,0.614875
heuristic,0,0,4,3.34719,5,0.25,40.6611,0.810533,0.614898,185.911,20.23,0.705349,17.9119,59.9547,11.9909,2.99773,60.4308,False,True,0.00236813,0.812393,185.904,0.614875
heuristic,0,0,5,4.36219,5,0.277316,40.6611,0.849399,0.615473,186.085,20.23,0.702446,13.6876,59.7079,11.9416,3.31159,35.1428,True,True,0.00236813,0.812393,185.904,0.614875
heuristic,0,0,6,2.33219,5,0.277316,40.6611,0.731553,0.614122,185.676,20.23,0.680493,24.8016,57.8419,11.5684,3.20809,111.776,True,True,0.00500435,0.731553,185.676,0.614122
heuristic,0,0,7,2.33219,5,0.277316,54.6611,0.745487,0.614188,185.696,20.23,0.675586,24.6227,57.4248,11.485,3.18496,109.376,True,True,0.00500435,0.731553,185.676,0.614122
heuristic,0,0,8,2.33219,5,0.277316,40,0.7309,0.614121,185.676,20.23,0.680698,24.809,57.8593,11.5719,3.20906,111.877,True,True,0.00502537,0.7309,185.676,0.614121
heuristic,0,1,9,3.34719,5,0.277316,40,0.811867,0.614874,185.904,20.23,0.69511,17.6519,59.0843,11.8169,3.277,57.837,True,True,0.00502537,0.7309,185.676,0.614121
heuristic,0,1,10,1.5,5,0.277316,40,0.584475,0.613811,185.582,20.23,0.653524,37.033,55.5496,11.1099,3.08095,239.337,True,True,0.00979086,0.584475,185.582,0.613811
heuristic,0,1,11,1.5,5,0.510649,40,0.613921,0.612687,185.242,20.23,0.545059,30.8867,46.33,9.266,4.73168,138.853,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,1,12,1.5,5,0.25,40,0.580487,0.614131,185.679,20.23,0.666501,37.7684,56.6526,11.3305,2.83263,253.879,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,1,13,1.5,5,0.277316,54,0.600982,0.613827,185.587,20.23,0.644041,36.4956,54.7435,10.9487,3.03624,229.068,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,1,14,1.5,9.66667,0.277316,40,0.55103,0.614862,185.9,20.23,0.946976,53.662,80.493,8.32686,2.30917,728.184,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,1,15,3.07651,17.4676,0.793902,40.1095,0.789463,0.614513,185.794,20.23,1.0448,28.8665,88.8081,5.08415,4.03632,232.483,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,1,16,3.07651,17.4676,0.916667,40.1095,0.79305,0.614641,185.833,20.23,0.983293,27.1671,83.5799,4.78484,4.38611,193.793,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,1,17,3.07651,17.4676,0.560569,40.1095,0.781571,0.614944,185.925,20.23,1.149,31.7455,97.6653,5.59122,3.13426,309.21,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,2,18,3.07651,18.3333,0.793902,40.1095,0.78817,0.614515,185.795,20.23,1.06709,29.4823,90.7026,4.94741,3.92776,247.68,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,2,19,4.09151,18.3333,0.793902,40.1095,0.8387,0.615242,186.015,20.23,1.09417,22.7312,93.0049,5.07299,4.02746,150.973,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,2,20,2.06151,18.3333,0.793902,40.1095,0.676716,0.613774,185.571,20.23,1.01788,41.9691,86.5197,4.71926,3.74663,478.766,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,2,21,3.07651,18.3333,0.793902,54.1095,0.799233,0.614553,185.806,20.23,1.06634,29.4617,90.6392,4.94395,3.92502,247.161,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,2,22,3.07651,18.3333,0.793902,40,0.788085,0.614515,185.795,20.23,1.06709,29.4824,90.7029,4.94743,3.92778,247.683,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,2,23,4.09151,18.3333,0.793902,40,0.838659,0.61524,186.014,20.23,1.09418,22.7312,93.005,5.073,4.02747,150.974,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,2,24,2.06151,18.3333,0.793902,40,0.6766,0.613775,185.571,20.23,1.01789,41.9694,86.5204,4.71929,3.74666,478.777,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,2,25,3.07651,18.3333,0.916667,40,0.791711,0.614577,185.814,20.23,1.00983,27.9004,85.8359,4.68196,4.29179,209.913,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,2,26,3.07651,18.3333,0.560569,40,0.780448,0.615031,185.951,20.23,1.17004,32.3266,99.4533,5.42473,3.04093,326.505,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,3,27,3.07651,13.6667,0.793902,40,0.795862,0.61479,185.878,20.23,0.914555,25.268,77.7372,5.68809,4.51579,155.926,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,3,28,3.07651,18.3333,0.793902,54,0.79915,0.614552,185.806,20.23,1.06635,29.4619,90.6399,4.94399,3.92505,247.167,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,3,29,3.07651,18.3333,0.793902,47,0.793614,0.614524,185.798,20.23,1.0668,29.4743,90.678,4.94607,3.9267,247.479,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,3,30,3.07024,8.99616,0.531791,41.1328,0.797415,0.614761,185.869,20.23,0.839721,23.2478,71.3763,7.93409,4.21928,121.19,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,3,31,3.07024,13.6628,0.531791,41.1328,0.78659,0.614667,185.841,20.23,1.04884,29.0373,89.1515,6.52512,3.47,236.152,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,3,32,3.07024,13.6628,0.531791,55.1328,0.798471,0.614716,185.856,20.23,1.04649,28.9721,88.9513,6.51046,3.46221,234.565,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,3,33,3.07024,13.6628,0.531791,40,0.785614,0.614663,185.84,20.23,1.049,29.0416,89.1646,6.52608,3.47051,236.257,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,3,34,4.08524,13.6628,0.531791,40,0.83707,0.61521,186.005,20.23,1.06986,22.2602,90.9384,6.6559,3.53955,141.565,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,3,35,2.05524,13.6628,0.531791,40,0.67284,0.61418,185.694,20.23,1.00929,41.7418,85.7893,6.27903,3.33914,469.597,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,4,36,3.07024,13.6628,0.765125,40,0.794568,0.614719,185.857,20.23,0.929059,25.7211,78.97,5.77992,4.42236,164.132,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,4,37,3.07024,13.6628,0.298458,40,0.776529,0.615698,186.153,20.23,1.15359,31.9372,98.0548,7.17676,2.14196,314.204,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,4,38,3.07024,13.6628,0.531791,54,0.79753,0.614709,185.854,20.23,1.04671,28.9782,88.97,6.51183,3.46293,234.712,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,4,39,3.07024,13.6628,0.765125,40,0.794568,0.614719,185.857,20.23,0.929059,25.7211,78.97,5.77992,4.42236,164.132,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,4,40,3.07024,13.6628,0.298458,40,0.776529,0.615698,186.153,20.23,1.15359,31.9372,98.0548,7.17676,2.14196,314.204,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,4,41,3.07024,18.3295,0.531791,40,0.779111,0.615137,185.983,20.23,1.18249,32.7373,100.511,5.48359,2.91613,338.417,False,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,4,42,3.07024,8.99616,0.531791,40,0.796604,0.61476,185.869,20.23,0.839839,23.2511,71.3863,7.9352,4.21987,121.241,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,4,43,4.08524,13.6628,0.531791,40,0.83707,0.61521,186.005,20.23,1.06986,22.2602,90.9384,6.6559,3.53955,141.565,True,True,0.0100996,0.584475,185.242,0.612687
heuristic,0,4,44,2.05524,13.6628,0.531791,40,0.67284,0.61418,185.694,20.23,1.00929,41.7418,85.7893,6.27903,3.33914,469.597,False,True,0.0100996,0.584475,185.242,0.612687
