strategy,seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,print_scale,ok,hv,best_t180,best_e_reb_mJ
heuristic,6,0,0,33.0725,77.1635,54.7627,8.24698,5.46861,0.693238,206.016,22.4612,0.876895,True,1.97248,0.693238,206.016
heuristic,6,0,1,33.0725,77.1635,54.7627,8.24698,5.5,0.693506,206.341,22.4965,0.875614,True,1.97248,0.693238,206.016
heuristic,6,0,2,33.0725,77.1635,54.7627,8.24698,4.59361,0.690476,196.584,21.4412,0.912448,True,3.67963,0.690476,196.584
heuristic,6,0,3,38.3225,77.1635,54.7627,8.24698,4.59361,0.638694,197.457,21.5478,0.900036,True,4.70673,0.638694,196.584
heuristic,6,0,4,38.3225,77.1635,68.7627,8.24698,4.59361,0.670506,198.564,21.6617,0.908659,True,4.70673,0.638694,196.584
heuristic,6,0,5,38.3225,77.1635,40.7627,8.24698,4.59361,0.608623,196.183,21.4118,0.891798,True,5.47869,0.608623,196.183
heuristic,6,0,6,38.3225,94.6635,40.7627,8.24698,4.59361,0.674838,195.287,21.3051,0.850501,True,5.6519,0.608623,195.287
heuristic,6,0,7,38.3225,60,40.7627,8.24698,4.59361,0.654324,197.425,21.5589,0.937362,True,5.6519,0.608623,195.287
heuristic,6,0,8,38.3225,77.1635,40.7627,10.347,4.59361,0.616897,185.811,20.288,0.796959,True,8.08482,0.608623,185.811
heuristic,6,1,9,38.3225,77.1635,54.7627,10.347,4.59361,0.647176,186.845,20.3975,0.80547,True,8.08482,0.608623,185.811
heuristic,6,1,10,38.3225,77.1635,40,10.347,4.59361,0.615314,185.753,20.2817,0.796512,True,8.11594,0.608623,185.753
heuristic,6,1,11,40,77.1635,40,10.347,4.59361,0.598821,185.9,20.3007,0.792633,True,8.49245,0.598821,185.753
heuristic,6,1,12,26.8446,62.5865,74.0077,6.05337,5.44692,0.765093,225.364,24.5529,1.06064,True,8.49245,0.598821,185.753
heuristic,6,1,13,26.8446,62.5865,74.0077,8.15337,5.44692,0.744546,207.727,22.6346,0.95437,True,8.49245,0.598821,185.753
heuristic,6,1,14,26.8446,62.5865,80,8.15337,5.44692,0.757979,208.01,22.6616,0.957078,True,8.49245,0.598821,185.753
heuristic,6,1,15,26.8446,62.5865,60.0077,8.15337,5.44692,0.718585,206.859,22.5475,0.94796,True,8.49245,0.598821,185.753
heuristic,6,1,16,26.8446,62.5865,60.0077,8.15337,5.5,0.719962,207.414,22.6077,0.945569,True,8.49245,0.598821,185.753
heuristic,6,1,17,26.8446,62.5865,60.0077,8.15337,4.57192,0.707885,197.331,21.5144,0.987272,True,8.49245,0.598821,185.753
heuristic,6,2,18,26.8446,80.0865,60.0077,8.15337,4.57192,0.768577,195.922,21.3522,0.924369,True,8.49245,0.598821,185.753
heuristic,6,2,19,26.8446,60,60.0077,8.15337,4.57192,0.696013,197.606,21.5466,0.997803,True,8.49245,0.598821,185.753
heuristic,6,2,20,32.0946,60,60.0077,8.15337,4.57192,0.631934,198.856,21.6956,0.980876,True,8.49245,0.598821,185.753
heuristic,6,2,21,32.0946,60,74.0077,8.15337,4.57192,0.666627,200.012,21.8141,0.991317,True,8.49245,0.598821,185.753
heuristic,6,2,22,32.0946,60,46.0077,8.15337,4.57192,0.63612,197.477,21.55,0.970724,True,8.49245,0.598821,185.753
heuristic,6,2,23,32.0946,60,46.0077,10.2534,4.57192,0.610149,186.764,20.3888,0.867705,True,8.49245,0.598821,185.753
heuristic,6,2,24,37.748,81.6247,65.0987,6.73369,3.46584,0.679438,193.739,21.1419,1.04083,True,8.49245,0.598821,185.753
heuristic,6,2,25,40,81.6247,65.0987,6.73369,3.46584,0.658827,194.147,21.1899,1.03581,True,8.49245,0.598821,185.753
heuristic,6,2,26,40,81.6247,65.0987,8.83369,3.46584,0.666436,182.55,19.9293,0.901655,True,9.13866,0.598821,182.55
heuristic,6,3,27,40,81.6247,65.0987,8.83369,4.34084,0.666961,191.949,20.9492,0.871719,True,9.13866,0.598821,182.55
heuristic,6,3,28,40,81.6247,65.0987,8.83369,3,0.665776,177.795,19.4071,0.916242,True,10.1031,0.598821,177.795
heuristic,6,3,29,40,81.6247,79.0987,8.83369,3,0.693588,178.302,19.4586,0.92631,True,10.1031,0.598821,177.795
heuristic,6,3,30,40,81.6247,51.0987,8.83369,3,0.635168,177.157,19.3391,0.905602,True,10.4953,0.598821,177.157
heuristic,6,3,31,40,99.1247,51.0987,8.83369,3,0.697386,176.584,19.267,0.861879,True,10.5932,0.598821,176.584
heuristic,6,3,32,40,64.1247,51.0987,8.83369,3,0.54816,178.037,19.4436,0.956436,True,12.8648,0.54816,176.584
heuristic,6,3,33,34.75,64.1247,51.0987,8.83369,3,0.605055,177.466,19.381,0.971916,True,12.882,0.54816,176.584
heuristic,6,3,34,40,64.1247,51.0987,8.83369,3.875,0.550694,187.242,20.4537,0.92642,True,12.882,0.54816,176.584
heuristic,6,3,35,40,64.1247,51.0987,10.9337,3,0.554237,172.477,18.8344,0.844616,True,14.3073,0.54816,172.477
