strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
lhs,0,0,0,2.17369,7.49267,0.619612,44.4261,0.863347,0.613501,185.488,20.23,0.683442,26.7253,58.0925,7.75325,4.804,130.351,0.862119,0.098905,62.6628,17.0277,208.277,179.816,4.06,True,True,0.00541271,0.863347,185.488,0.098905
lhs,0,0,1,1.83726,9.84713,0.905433,59.1894,0.811345,0.614026,185.647,20.23,0.656523,30.3737,55.8045,5.66708,5.13116,161.739,0.815078,0.0865169,69.1543,20.2868,208.331,169.029,4.06,True,True,0.0160614,0.811345,185.488,0.0865169
lhs,0,0,2,3.14787,15.3944,0.62378,68.8858,0.75976,0.613915,185.614,20.23,1.06044,28.6345,90.1378,5.85523,3.65238,232.186,0.761568,0.149589,78.8221,7.49937,208.118,158.12,4.08,True,True,0.0230124,0.75976,185.488,0.0865169
lhs,0,0,3,1.75315,6.46904,0.810562,77.5826,0.871848,0.615799,186.183,20.23,0.529817,25.6877,45.0344,6.96153,5.64275,93.3564,0.881282,0.0709761,52.2471,24.6729,208.224,181.54,4.06,True,True,0.0233339,0.75976,185.488,0.0709761
lhs,0,0,4,3.76658,17.7624,0.392598,71.7526,0.614717,0.611491,184.881,20.23,1.233,27.825,104.805,5.90039,2.31648,254.92,0.612631,0.318893,127.187,11.3751,208.232,128.004,4.08,False,True,0.0233339,0.75976,185.488,0.0709761
lhs,0,0,5,3.75327,10.5095,0.7561,61.5031,0.847978,0.615621,186.13,20.23,0.818057,18.5265,69.5349,6.61636,5.00263,74.9785,0.845191,0.0813195,25.9268,9.28854,208.029,176.404,4.08,True,True,0.0234579,0.75976,185.488,0.0709761
lhs,0,0,6,3.54487,7.82086,0.3982,46.688,0.791541,0.614252,185.715,20.23,0.848803,20.3529,72.1483,9.22511,3.67344,93.8916,0.795995,0.157544,57.2546,6.97857,208.094,164.715,4.06,True,True,0.0234579,0.75976,185.488,0.0709761
lhs,0,0,7,3.29755,10.685,0.792807,56.2345,0.843552,0.615351,186.048,20.23,0.798893,20.5928,67.9059,6.35524,5.03848,90.4666,0.847924,0.0831569,31.4691,10.1622,208.077,175.524,4.08,True,True,0.0234728,0.75976,185.488,0.0709761
lhs,0,0,8,2.69745,13.6217,0.351382,74.0997,0.651532,0.609481,184.273,20.23,1.10884,34.9409,94.2512,6.91921,2.43129,361.497,0.653415,0.295597,191.406,15.6533,208.366,135.757,4.06,False,True,0.0234728,0.75976,185.488,0.0709761
lhs,0,1,9,3.07197,11.3372,0.566036,66.2691,0.800092,0.614585,185.816,20.23,0.935886,25.8955,79.5503,7.01673,3.97172,167.587,0.804069,0.13009,63.8947,6.76582,208.092,166.493,4.08,True,True,0.0236922,0.75976,185.488,0.0709761
lhs,0,1,10,4.2734,5.62153,0.42418,79.6245,0.8731,0.61586,186.202,20.23,0.68984,13.7212,58.6364,10.4307,4.42448,34.682,0.864927,0.0973309,19.5333,9.08053,207.937,181.55,4.08,True,True,0.0236922,0.75976,185.488,0.0709761
lhs,0,1,11,2.27401,9.11471,0.893942,62.6409,0.852006,0.615282,186.027,20.23,0.653015,24.409,55.5063,6.08975,5.44388,103.895,0.858304,0.0738181,41.5964,18.5586,208.215,177.4,4.06,True,True,0.0238411,0.75976,185.488,0.0709761
lhs,0,1,12,2.86268,6.91384,0.828017,48.6229,0.855718,0.615077,185.965,20.23,0.591312,17.5575,50.2615,7.2697,6.01943,48.6757,0.874248,0.0608583,20.646,15.4506,208.124,178.096,4.08,True,True,0.0242594,0.75976,185.488,0.0608583
lhs,0,1,13,1.50995,8.68201,0.68822,53.1664,0.780752,0.610901,184.702,20.23,0.671487,37.8002,57.0764,6.5741,4.52443,256.209,0.774559,0.111684,122.835,16.5187,208.473,162.765,4.06,False,True,0.0242594,0.75976,185.488,0.0608583
lhs,0,1,14,1.62483,5.81618,0.85684,61.0533,0.822679,0.614807,185.883,20.23,0.475986,24.9003,40.4588,6.95626,5.9604,78.8084,0.821082,0.067006,48.2749,26.5991,208.423,171.465,4.06,True,True,0.0248211,0.75976,185.488,0.0608583
lhs,0,1,15,2.51463,13.0746,0.655727,63.7996,0.808777,0.613365,185.447,20.23,0.941377,31.8206,80.0171,6.12003,4.01307,254.535,0.818466,0.13082,90.6906,9.05115,208.198,168.385,4.08,False,True,0.0248211,0.75976,185.488,0.0608583
