strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,ok,hv,best_t180,best_e_reb_mJ,best_e_rebound
lhs,6,0,0,2.94754,15.2687,0.570458,42.3338,0.777219,0.614631,185.83,20.23,1.07925,31.1229,91.736,6.00812,3.42738,279.158,False,True,0,inf,inf,inf
lhs,6,0,1,3.24081,6.294,0.906677,78.8178,0.848079,0.616464,186.384,20.23,0.54047,14.1755,45.94,7.29902,6.61785,29.0012,True,True,0.00119243,0.848079,186.384,0.616464
lhs,6,0,2,3.77618,16.2228,0.649234,73.0221,0.84676,0.615219,186.008,20.23,1.08961,24.5265,92.6167,5.70904,3.7065,175.03,True,True,0.00128328,0.84676,186.008,0.615219
lhs,6,0,3,3.04609,6.48777,0.771081,62.4131,0.82296,0.616495,186.394,20.23,0.592101,16.5223,50.3285,7.75745,5.98162,43.1625,True,True,0.00198608,0.82296,186.008,0.615219
lhs,6,0,4,2.14135,9.67928,0.489261,60.9489,0.719078,0.613816,185.584,20.23,0.862578,34.2397,73.3191,7.57486,3.70608,270.04,False,True,0.00198608,0.82296,186.008,0.615219
lhs,6,0,5,3.71512,12.9638,0.262054,63.558,0.834753,0.615977,186.237,20.23,1.14452,26.1859,97.2838,7.50429,1.96653,209.569,False,True,0.00198608,0.82296,186.008,0.615219
lhs,6,0,6,3.12661,14.0252,0.870639,45.4523,0.804088,0.614984,185.937,20.23,0.891658,24.2406,75.7909,5.4039,4.70485,139.912,True,True,0.00261765,0.804088,185.937,0.614984
lhs,6,0,7,2.45767,6.05492,0.848713,53.0496,0.782004,0.616121,186.281,20.23,0.526426,18.2068,44.7462,7.39007,6.27205,46.5987,True,True,0.00327803,0.782004,185.937,0.614984
lhs,6,0,8,3.34195,5.03349,0.79142,64.4096,0.855568,0.616525,186.403,20.23,0.503766,12.8129,42.8201,8.50704,6.73265,22.0849,True,True,0.00327803,0.782004,185.937,0.614984
lhs,6,1,9,2.6619,13.5108,0.621929,68.1228,0.781025,0.614358,185.748,20.23,0.982333,31.3679,83.4983,6.18011,3.84359,258.107,False,True,0.00327803,0.782004,185.937,0.614984
lhs,6,1,10,2.89767,8.88703,0.441622,69.4519,0.803153,0.614638,185.832,20.23,0.871975,25.5785,74.1179,8.34001,3.68313,152.343,True,True,0.00330857,0.782004,185.832,0.614638
lhs,6,1,11,3.89554,12.1423,0.515781,47.7877,0.836532,0.615125,185.979,20.23,1.01663,22.1827,86.4137,7.11674,3.67068,133.586,True,True,0.00330857,0.782004,185.832,0.614638
lhs,6,1,12,3.44782,11.6854,0.33881,72.2732,0.830812,0.615592,186.121,20.23,1.06088,26.1541,90.1748,7.71689,2.61456,193.783,False,True,0.00330857,0.782004,185.832,0.614638
lhs,6,1,13,2.22179,14.193,0.46999,40.6649,0.694314,0.614653,185.837,20.23,1.06773,40.8486,90.7572,6.39451,3.00535,475.758,False,True,0.00330857,0.782004,185.832,0.614638
lhs,6,1,14,3.95911,10.6024,0.660752,57.3762,0.848534,0.615633,186.133,20.23,0.872529,18.7327,74.165,6.99509,4.62202,81.7619,True,True,0.00330857,0.782004,185.832,0.614638
lhs,6,1,15,3.53526,6.91326,0.548242,49.2167,0.831952,0.615944,186.227,20.23,0.718298,17.2704,61.0553,8.83162,4.84186,57.2107,True,True,0.00330857,0.782004,185.832,0.614638
lhs,6,1,16,3.8423,11.343,0.587617,51.1559,0.839284,0.615265,186.022,20.23,0.944427,20.8928,80.2763,7.07714,4.15865,110.085,True,True,0.00330857,0.782004,185.832,0.614638
lhs,6,1,17,2.72525,17.7676,0.371964,54.6367,0.762051,0.615619,186.129,20.23,1.22531,38.2173,104.152,5.86187,2.1804,477.898,False,True,0.00330857,0.782004,185.832,0.614638
lhs,6,2,18,2.1529,8.07233,0.703369,48.421,0.72845,0.614185,185.695,20.23,0.675583,26.6732,57.4245,7.11375,5.00359,128.35,True,True,0.00509326,0.72845,185.695,0.614185
lhs,6,2,19,1.93831,7.79324,0.363872,75.7499,0.703004,0.614275,185.722,20.23,0.806749,35.378,68.5737,8.79912,3.20176,269.633,False,True,0.00509326,0.72845,185.695,0.614185
lhs,6,2,20,3.57334,12.4092,0.726519,55.9473,0.832746,0.615284,186.027,20.23,0.91186,21.6907,77.5081,6.24599,4.53783,114.562,True,True,0.00509326,0.72845,185.695,0.614185
lhs,6,2,21,3.38665,7.42721,0.666708,61.7852,0.833697,0.616227,186.313,20.23,0.693478,17.4053,58.9456,7.93645,5.29129,56.1001,True,True,0.00509326,0.72845,185.695,0.614185
lhs,6,2,22,2.62933,10.7686,0.277334,43.5938,0.744674,0.615422,186.069,20.23,1.04031,33.6307,88.4262,8.21145,2.27732,314.198,False,True,0.00509326,0.72845,185.695,0.614185
lhs,6,2,23,4.14306,8.77393,0.591373,45.1483,0.84865,0.615952,186.229,20.23,0.817167,16.7652,69.4592,7.91654,4.68163,61.3333,True,True,0.00509326,0.72845,185.695,0.614185
lhs,6,2,24,1.55898,7.15341,0.815683,43.378,0.646672,0.613118,185.373,20.23,0.552628,30.1308,46.9733,6.56656,5.35623,133.974,True,True,0.00795488,0.646672,185.373,0.613118
lhs,6,2,25,4.27409,9.32601,0.32132,52.1773,0.849795,0.61547,186.084,20.23,0.974091,19.372,82.7978,8.87816,2.85273,97.6154,False,True,0.00795488,0.646672,185.373,0.613118
lhs,6,2,26,1.81495,16.9195,0.690218,66.9393,0.662942,0.614051,185.655,20.23,1.00526,47.0797,85.4474,5.05024,3.48577,594.998,False,True,0.00795488,0.646672,185.373,0.613118
lhs,6,3,27,3.66141,5.55556,0.715374,65.807,0.854337,0.61659,186.422,20.23,0.566864,13.1598,48.1834,8.673,6.20444,26.2148,True,True,0.00795488,0.646672,185.373,0.613118
