strategy,seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,print_scale,ok,hv,best_t180,best_e_reb_mJ
lhs,4,0,0,25.8571,107.901,68.9153,10.1532,3.09671,0.839619,173.109,18.8687,0.79172,True,1.26138,0.839619,173.109
lhs,4,0,1,35.6765,96.3862,75.3616,6.52139,4.90667,0.762283,213.406,23.2547,0.938007,True,1.56188,0.762283,173.109
lhs,4,0,2,30.4574,85.7262,59.5217,6.03518,4.59832,0.743854,213.152,23.229,1.02071,True,1.65783,0.743854,173.109
lhs,4,0,3,26.9293,66.9876,62.3011,7.97038,4.34661,0.728434,195.642,21.328,0.991314,True,3.6685,0.728434,173.109
lhs,4,0,4,34.7063,103.135,55.927,7.64443,4.77098,0.753798,201.285,21.9416,0.865544,True,3.6685,0.728434,173.109
lhs,4,0,5,29.7943,74.583,64.4905,7.10834,4.51224,0.728882,203.71,22.2061,1.00006,True,3.6685,0.728434,173.109
lhs,4,0,6,25.6158,71.6095,73.401,8.56966,3.95362,0.777501,187.633,20.4568,0.962162,True,4.16603,0.728434,173.109
lhs,4,0,7,31.2793,73.2059,45.9158,6.25399,3.05438,0.667346,189.626,20.6959,1.13852,True,6.15125,0.667346,173.109
lhs,4,0,8,26.3781,99.2075,73.1213,9.25668,4.08599,0.830023,184.614,20.1205,0.833482,True,6.18022,0.667346,173.109
lhs,4,1,9,31.1789,70.8037,63.375,7.68596,3.39012,0.699534,186.435,20.3454,1.02784,True,6.49189,0.667346,173.109
lhs,4,1,10,32.6086,66.8862,54.5388,9.57714,3.70693,0.654911,181.473,19.8135,0.907282,True,7.87736,0.654911,173.109
lhs,4,1,11,35.3017,109.478,61.8355,7.17126,4.84518,0.770872,205.709,22.4188,0.872488,True,7.87736,0.654911,173.109
lhs,4,1,12,31.8751,82.2834,60.1076,8.10083,4.22866,0.730102,193.104,21.0596,0.924623,True,7.87736,0.654911,173.109
lhs,4,1,13,29.2471,65.4063,41.7865,8.85393,5.22794,0.67311,198.872,21.6892,0.898622,True,7.87736,0.654911,173.109
lhs,4,1,14,33.6527,96.0018,52.4581,9.06304,3.81684,0.743494,183.186,19.9832,0.844514,True,7.87736,0.654911,173.109
lhs,4,1,15,34.3725,69.623,68.111,11.0789,5.0344,0.682916,188.721,20.5903,0.802089,True,7.87736,0.654911,173.109
lhs,4,1,16,28.2966,78.5489,66.2552,6.41678,5.40726,0.765434,219.636,23.9273,0.978705,True,7.87736,0.654911,173.109
lhs,4,1,17,25.1525,91.1552,43.7588,11.9894,3.26214,0.788112,170.604,18.6045,0.746761,True,8.50872,0.654911,170.604
lhs,4,2,18,39.1367,81.6899,76.1322,11.3146,5.17586,0.707158,189.182,20.639,0.754981,True,8.50872,0.654911,170.604
lhs,4,2,19,37.2969,105.138,57.1139,6.67752,3.86188,0.739589,197.544,21.5424,0.954193,True,8.50872,0.654911,170.604
lhs,4,2,20,38.2944,76.4632,40.3401,8.44623,4.54477,0.605944,194.443,21.2252,0.885271,True,9.62758,0.605944,170.604
lhs,4,2,21,27.2872,106.695,58.0673,8.30284,4.43855,0.816865,192.431,20.9694,0.846915,True,9.62758,0.605944,170.604
lhs,4,2,22,30.295,77.4787,44.5477,11.6979,3.4985,0.70544,173.008,18.8823,0.782439,True,10.3274,0.605944,170.604
lhs,4,2,23,32.237,80.8219,78.571,9.41637,5.43761,0.763448,199.236,21.7126,0.830189,True,10.3274,0.605944,170.604
lhs,4,2,24,39.4318,92.5687,70.1683,6.9431,5.30916,0.714802,215.293,23.4666,0.896114,True,10.3274,0.605944,170.604
lhs,4,2,25,38.5021,60.6593,53.7447,10.9192,4.3116,0.560655,183.393,20.0345,0.832165,True,12.4037,0.560655,170.604
lhs,4,2,26,28.3763,62.8198,49.0743,8.77437,3.99764,0.670213,187.136,20.4204,0.963609,True,12.4037,0.560655,170.604
lhs,4,3,27,28.8455,98.8024,51.3451,9.81918,5.08751,0.786095,191.241,20.8414,0.775753,True,12.4037,0.560655,170.604
lhs,4,3,28,27.8161,93.3845,48.631,11.4108,3.6367,0.779852,174.182,18.9967,0.756582,True,12.4037,0.560655,170.604
lhs,4,3,29,36.6719,102.075,71.2947,10.768,3.57287,0.768509,176.11,19.2108,0.762439,True,12.4037,0.560655,170.604
lhs,4,3,30,39.8397,86.4863,76.9183,10.6034,3.15387,0.710455,174.293,19.0187,0.81535,True,12.4037,0.560655,170.604
lhs,4,3,31,36.2223,87.8818,47.0076,10.2788,4.13563,0.690318,181.811,19.8433,0.793425,True,12.4037,0.560655,170.604
lhs,4,3,32,33.8399,100.794,42.3482,10.4308,4.99167,0.739539,187.782,20.4756,0.741913,True,12.4037,0.560655,170.604
lhs,4,3,33,37.7621,90.1643,67.2455,11.5404,4.67538,0.725998,183.041,19.9713,0.735753,True,12.4037,0.560655,170.604
lhs,4,3,34,36.403,83.9087,50.0333,9.89005,3.34134,0.678383,176.553,19.2717,0.840435,True,12.5369,0.560655,170.604
lhs,4,3,35,33.0727,62.7502,79.247,7.3336,3.45218,0.678142,191.347,20.8831,1.09049,True,12.5369,0.560655,170.604
