strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
random,9,0,0,4.02372,8.82423,0.652099,71.1014,0.863198,0.615881,186.208,20.23,0.78754,16.6366,66.9409,7.58604,4.94685,58.2062,0.85744,0.0796335,21.3747,10.3187,207.987,179.534,4.08,True,True,0.00600577,0.863198,186.208,0.0796335
random,9,0,1,3.57662,17.2051,0.823596,76.7295,0.813029,0.615398,186.062,20.23,1.03673,24.6385,88.1224,5.12188,4.21836,168.06,0.805888,0.1089,44.3592,4.93866,208.007,169.116,4.08,True,True,0.0148072,0.813029,186.062,0.0796335
random,9,0,2,1.5771,10.83,0.573296,42.6062,0.757547,0.608436,183.957,20.23,0.83837,45.185,71.2615,6.58002,3.7723,457.081,0.755636,0.14726,193.734,22.6764,208.564,157.997,4.06,False,True,0.0148072,0.813029,186.062,0.0796335
random,9,0,3,1.51632,16.075,0.905535,71.3844,0.807335,0.609186,184.184,20.23,0.846127,47.4313,71.9208,4.47409,4.05144,508.316,0.814138,0.133189,183.271,16.9558,208.47,168.305,4.06,False,True,0.0148072,0.813029,186.062,0.0796335
random,9,0,4,2.41525,14.4044,0.449454,69.6299,0.717644,0.60946,184.267,20.23,1.0823,38.0894,91.9955,6.3866,2.87048,419.3,0.719747,0.228274,182.289,15.1907,208.369,149.535,4.06,False,True,0.0148072,0.813029,186.062,0.0796335
random,9,0,5,2.31127,15.4345,0.908494,79.4495,0.877924,0.61439,185.757,20.23,0.885711,32.5732,75.2855,4.87772,4.43138,250.947,0.879434,0.107114,79.1101,7.04134,208.125,182.717,4.08,False,True,0.0148072,0.813029,186.062,0.0796335
random,9,0,6,4.0603,17.1708,0.722138,62.1799,0.766082,0.615056,185.959,20.23,1.09223,22.8651,92.8392,5.4068,3.90446,152.485,0.758373,0.128953,46.4144,5.66294,208.044,159.379,4.06,True,True,0.0221021,0.766082,185.959,0.0796335
random,9,0,7,4.17739,6.19641,0.496754,64.2376,0.85988,0.615691,186.15,20.23,0.70146,14.273,59.6241,9.62236,4.77995,38.1597,0.855072,0.0878573,20.1626,8.59466,207.981,178.838,4.08,True,True,0.0221719,0.766082,185.959,0.0796335
random,9,0,8,2.88542,15.5714,0.380058,42.4901,0.662205,0.609425,184.256,20.23,1.17403,34.5853,99.7929,6.40871,2.43568,375,0.660685,0.304095,196.552,18.4124,208.406,138.008,4.08,False,True,0.0221719,0.766082,185.959,0.0796335
random,9,1,9,1.8669,17.8371,0.338516,49.0439,0.506602,0.609991,184.427,20.23,1.21255,55.2072,103.067,5.77822,1.95602,986.868,0.506268,0.351281,367.641,43.4822,208.722,105.739,4.06,False,True,0.0221719,0.766082,185.959,0.0796335
random,9,1,10,2.59346,13.3123,0.771397,43.146,0.832975,0.613318,185.433,20.23,0.894456,29.3155,76.0287,5.71117,4.40558,205.269,0.834185,0.112971,71.0304,9.16637,208.227,173.448,4.06,True,True,0.0221719,0.766082,185.433,0.0796335
random,9,1,11,4.20059,15.1706,0.463976,47.5733,0.659806,0.613276,185.42,20.23,1.14836,23.2373,97.6103,6.4342,2.98531,165.583,0.654465,0.219931,77.1639,8.23993,208.143,137.334,4.06,False,True,0.0221719,0.766082,185.433,0.0796335
random,9,1,12,3.22826,12.9292,0.428312,46.7757,0.723027,0.611645,184.927,20.23,1.07345,28.2638,91.2429,7.05713,3.02265,228.986,0.724833,0.217522,113.928,11.2052,208.242,150.565,4.08,True,True,0.0250486,0.723027,184.927,0.0796335
random,9,1,13,3.72276,13.969,0.7835,48.7831,0.799583,0.614983,185.937,20.23,0.948945,21.6668,80.6604,5.77424,4.52411,118.96,0.796528,0.102326,38.1998,6.70251,208.067,166.367,4.06,True,True,0.0257146,0.723027,184.927,0.0796335
random,9,1,14,3.5973,5.99473,0.254892,47.1774,0.743507,0.612952,185.322,20.23,0.784219,18.5302,66.6586,11.1195,2.83428,71.9058,0.745704,0.25818,85.504,8.84817,208.155,154.765,4.08,False,True,0.0257146,0.723027,184.927,0.0796335
random,9,1,15,3.76792,12.2009,0.661137,63.701,0.809704,0.615331,186.042,20.23,0.940884,21.2253,79.9751,6.55484,4.33365,113.191,0.804238,0.106637,37.8538,5.90753,208.028,168.441,4.06,True,True,0.0257146,0.723027,184.927,0.0796335
random,9,1,16,3.34406,9.30541,0.730402,40.5867,0.842084,0.615108,185.974,20.23,0.764634,19.4356,64.9939,6.98452,5.10151,77.1292,0.840393,0.0848154,29.6292,11.54,208.085,175.225,4.08,True,True,0.0260363,0.723027,184.927,0.0796335
random,9,1,17,2.59394,5.72885,0.333882,76.1835,0.846089,0.613953,185.625,20.23,0.708088,23.2031,60.1875,10.506,3.50777,101.8,0.852476,0.171715,86.2677,7.71594,208.111,176.08,4.08,True,True,0.0260363,0.723027,184.927,0.0796335
random,9,2,18,3.24738,15.5457,0.653813,62.8756,0.757409,0.614129,185.678,20.23,1.05562,27.6308,89.7278,5.77185,3.77371,215.211,0.757535,0.141736,71.2772,7.36491,208.116,157.629,4.08,True,True,0.0266936,0.723027,184.927,0.0796335
random,9,2,19,3.8054,13.3087,0.59021,62.2617,0.765507,0.614913,185.915,20.23,1.02424,22.8781,87.0602,6.54162,3.86093,143.156,0.759709,0.13392,50.28,5.93514,208.054,159.267,4.06,True,True,0.0266981,0.723027,184.927,0.0796335
random,9,2,20,3.14986,9.56035,0.695173,56.2746,0.839416,0.615206,186.004,20.23,0.787771,21.2582,66.9605,7.00398,4.86898,95.0656,0.846001,0.0896483,35.8824,9.76113,208.085,174.67,4.06,True,True,0.0267319,0.723027,184.927,0.0796335
random,9,2,21,3.3981,11.4636,0.748956,67.7224,0.84732,0.615636,186.134,20.23,0.855207,21.3921,72.6926,6.34114,4.74924,104.508,0.845073,0.089437,33.7908,9.03986,208.033,176.271,4.06,True,True,0.0267319,0.723027,184.927,0.0796335
random,9,2,22,1.61439,15.4287,0.847792,53.2412,0.756169,0.609537,184.29,20.23,0.866118,45.6023,73.62,4.77161,4.04534,480.971,0.752362,0.131386,164.696,19.0398,208.503,157.663,4.06,False,True,0.0267319,0.723027,184.927,0.0796335
random,9,2,23,3.6255,16.2706,0.582538,45.1634,0.727594,0.613281,185.422,20.23,1.11993,26.2569,95.1942,5.85068,3.40825,206.18,0.729269,0.174654,79.0408,8.5332,208.16,151.456,4.06,True,True,0.0280101,0.723027,184.927,0.0796335
random,9,2,24,3.62123,16.1825,0.457689,48.7421,0.657892,0.611808,184.976,20.23,1.17089,27.4838,99.5254,6.15018,2.81487,236.178,0.660002,0.241935,110.017,10.7964,208.223,136.988,4.08,False,True,0.0280101,0.723027,184.927,0.0796335
random,9,2,25,3.72332,11.8823,0.260013,47.8256,0.562742,0.610768,184.662,20.23,1.10887,25.3146,94.2543,7.93232,2.06251,189.755,0.562275,0.409346,155.067,14.9256,208.302,117.22,4.06,False,True,0.0280101,0.723027,184.927,0.0796335
random,9,2,26,2.13029,12.7549,0.622688,60.6821,0.796689,0.611463,184.872,20.23,0.927608,37.0121,78.8467,6.18167,3.84925,339.33,0.796248,0.143463,127.987,12.6183,208.322,165.968,4.06,False,True,0.0280101,0.723027,184.927,0.0796335
random,9,3,27,2.48905,10.2319,0.583601,62.7542,0.82345,0.613825,185.586,20.23,0.85378,29.1562,72.5713,7.09266,4.13928,193.81,0.833624,0.125084,80.4425,8.54413,208.181,171.426,4.08,True,True,0.0280101,0.723027,184.927,0.0796335
random,9,3,28,3.1386,14.5394,0.912786,69.9529,0.850739,0.615604,186.124,20.23,0.889846,24.099,75.6369,5.20222,4.74851,138,0.851912,0.0896896,39.7608,9.56756,208.052,176.998,4.06,True,True,0.0280101,0.723027,184.927,0.0796335
random,9,3,29,2.9226,18.0269,0.333402,78.1074,0.539027,0.609989,184.427,20.23,1.24123,36.0994,105.504,5.85261,1.95127,431.937,0.539348,0.396854,222.72,18.9109,208.409,112.338,4.08,False,True,0.0280101,0.723027,184.927,0.0796335
random,9,3,30,2.95267,11.4452,0.81606,64.352,0.85496,0.615468,186.083,20.23,0.810368,23.3285,68.8813,6.01837,4.91135,117.767,0.86281,0.0864695,39.1313,11.0586,208.09,177.908,4.06,True,True,0.0280101,0.723027,184.927,0.0796335
random,9,3,31,3.88264,9.91902,0.619079,65.9534,0.834629,0.615577,186.116,20.23,0.85785,18.7803,72.9173,7.35126,4.55101,80.7955,0.828751,0.0961312,29.7399,7.11952,208.005,173.607,4.08,True,True,0.0280397,0.723027,184.927,0.0796335
random,9,3,32,2.18511,15.1845,0.353672,45.3267,0.627829,0.60887,184.088,20.23,1.15316,44.8575,98.0188,6.4552,2.28302,619.626,0.624816,0.313178,289.594,28.9587,208.588,130.958,4.06,False,True,0.0280397,0.723027,184.927,0.0796335
random,9,3,33,2.28176,15.799,0.567013,41.4009,0.779412,0.609234,184.198,20.23,1.07122,39.9051,91.0539,5.76327,3.26785,455.518,0.778016,0.187345,175.72,17.3983,208.429,162.452,4.06,False,True,0.0280397,0.723027,184.927,0.0796335
random,9,3,34,2.0735,12.5137,0.290585,52.6436,0.602278,0.608957,184.115,20.23,1.08451,44.4577,92.183,7.36654,2.14061,572.394,0.600009,0.339186,305.019,31.2838,208.62,125.647,4.06,False,True,0.0280397,0.723027,184.927,0.0796335
random,9,3,35,2.1134,14.1936,0.3467,54.8162,0.63295,0.608623,184.014,20.23,1.11763,44.9505,94.9986,6.69308,2.32049,603.027,0.630922,0.302999,280.714,27.7157,208.584,132.023,4.06,False,True,0.0280397,0.723027,184.927,0.0796335
