strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,ok,hv,best_t180,best_e_reb_mJ,best_e_rebound
random,7,0,0,3.31278,16.9629,0.767124,49.0083,0.810914,0.614736,185.862,20.23,1.04999,26.9408,89.2489,5.26143,4.03617,203.505,True,True,0.002425,0.810914,185.862,0.614736
random,7,0,1,2.37048,16.6474,0.25351,72.8491,0.742741,0.615803,186.184,20.23,1.22325,43.8628,103.976,6.24578,1.58337,628.456,False,True,0.002425,0.810914,185.862,0.614736
random,7,0,2,3.8115,11.2391,0.452022,51.137,0.834899,0.615112,185.975,20.23,1.00559,22.4256,85.4752,7.60514,3.43769,135.045,True,True,0.002425,0.810914,185.862,0.614736
random,7,0,3,2.23912,10.9344,0.586366,62.1399,0.734268,0.61378,185.573,20.23,0.874196,33.1856,74.3067,6.79571,3.98477,257.086,False,True,0.002425,0.810914,185.862,0.614736
random,7,0,4,4.38695,15.5688,0.664786,79.5584,0.868637,0.615543,186.106,20.23,1.07539,20.8364,91.4085,5.87125,3.90313,124.676,True,True,0.002425,0.810914,185.862,0.614736
random,7,0,5,2.1244,7.13616,0.65836,41.7577,0.721941,0.61428,185.724,20.23,0.644564,25.7899,54.788,7.67751,5.05456,114.481,True,True,0.00528467,0.721941,185.724,0.61428
random,7,0,6,1.60347,11.8652,0.560804,76.6867,0.635166,0.613873,185.601,20.23,0.878964,46.5938,74.7119,6.29673,3.53123,509.561,False,True,0.00528467,0.721941,185.724,0.61428
random,7,0,7,3.32476,11.8549,0.581249,49.9006,0.814356,0.614808,185.883,20.23,0.960675,24.5604,81.6574,6.88807,4.00368,154.745,True,True,0.00528467,0.721941,185.724,0.61428
random,7,0,8,1.5342,7.56536,0.711355,48.0243,0.622642,0.612621,185.222,20.23,0.610392,33.8178,51.8833,6.85801,4.87847,186.409,True,True,0.00887778,0.622642,185.222,0.612621
random,7,1,9,2.57166,5.04979,0.803365,46.1784,0.802816,0.616273,186.327,20.23,0.485476,16.0463,41.2654,8.17171,6.56487,33.3798,True,True,0.00887778,0.622642,185.222,0.612621
random,7,1,10,2.27604,16.7378,0.589861,73.886,0.740899,0.6147,185.851,20.23,1.07703,40.2224,91.5477,5.46953,3.22626,465.301,False,True,0.00887778,0.622642,185.222,0.612621
random,7,1,11,3.35518,14.8903,0.310997,61.6458,0.815594,0.615842,186.196,20.23,1.18521,30.0261,100.743,6.76568,2.10411,285.339,False,True,0.00887778,0.622642,185.222,0.612621
random,7,1,12,2.97254,16.6179,0.490843,63.9274,0.795712,0.615211,186.005,20.23,1.15043,32.8965,97.7863,5.88441,2.88832,332.452,False,True,0.00887778,0.622642,185.222,0.612621
random,7,1,13,1.67183,10.1684,0.465358,46.008,0.61385,0.613795,185.577,20.23,0.877547,44.6167,74.5915,7.3356,3.41368,466.481,False,True,0.00887778,0.622642,185.222,0.612621
random,7,1,14,3.86738,10.0593,0.902499,63.5997,0.851882,0.616566,186.415,20.23,0.737778,16.2154,62.7111,6.23416,5.62632,51.8024,True,True,0.00887778,0.622642,185.222,0.612621
random,7,1,15,3.25466,13.5066,0.700967,46.0315,0.808572,0.614805,185.883,20.23,0.962652,25.141,81.8254,6.05817,4.24658,162.481,True,True,0.00887778,0.622642,185.222,0.612621
random,7,1,16,2.77691,8.19419,0.518332,43.8682,0.779996,0.614507,185.793,20.23,0.793771,24.297,67.4705,8.23395,4.26792,125.132,True,True,0.00887778,0.622642,185.222,0.612621
random,7,1,17,4.3067,7.86672,0.697843,52.0168,0.858579,0.616677,186.449,20.23,0.720866,14.2275,61.2736,7.78897,5.43548,38.9656,True,True,0.00887778,0.622642,185.222,0.612621
random,7,2,18,4.03482,13.8295,0.337744,73.803,0.853092,0.615907,186.216,20.23,1.14894,24.2042,97.6596,7.06167,2.38504,179.74,False,True,0.00887778,0.622642,185.222,0.612621
random,7,2,19,4.24035,17.0522,0.629813,45.8184,0.845014,0.61528,186.026,20.23,1.1322,22.6955,96.2369,5.64366,3.55445,155.73,True,True,0.00887778,0.622642,185.222,0.612621
random,7,2,20,2.05814,17.3721,0.618218,47.2221,0.677712,0.614348,185.745,20.23,1.07581,44.4304,91.4442,5.26386,3.25421,567.11,False,True,0.00887778,0.622642,185.222,0.612621
random,7,2,21,4.06376,13.5543,0.629796,55.0515,0.847652,0.615296,186.031,20.23,1.02147,21.3657,86.8252,6.40574,4.03431,124.518,True,True,0.00887778,0.622642,185.222,0.612621
random,7,2,22,2.69177,8.19319,0.275372,75.0488,0.787271,0.615313,186.036,20.23,0.897055,28.3269,76.2496,9.30647,2.56274,192.215,False,True,0.00887778,0.622642,185.222,0.612621
random,7,2,23,2.85642,12.3018,0.464776,70.053,0.796045,0.614852,185.897,20.23,1.01722,30.2699,86.4636,7.02853,3.26669,248.889,True,True,0.00887778,0.622642,185.222,0.612621
random,7,2,24,1.57307,9.96247,0.270234,44.9157,0.574364,0.614952,185.927,20.23,0.965288,52.1588,82.0495,8.23586,2.22561,701.264,False,True,0.00887778,0.622642,185.222,0.612621
random,7,2,25,4.30473,13.7701,0.53548,60.9496,0.856422,0.615364,186.052,20.23,1.07319,21.191,91.2215,6.62459,3.54733,128.691,True,True,0.00887778,0.622642,185.222,0.612621
random,7,2,26,4.03115,9.58948,0.643527,67.3474,0.856148,0.615787,186.179,20.23,0.831688,17.5368,70.6935,7.37199,4.74408,68.3016,True,True,0.00887778,0.622642,185.222,0.612621
random,7,3,27,2.5307,11.9213,0.760165,76.3672,0.782156,0.614455,185.777,20.23,0.83867,28.1689,71.2869,5.97979,4.54563,177.705,True,True,0.00887778,0.622642,185.222,0.612621
random,7,3,28,1.93808,17.4456,0.253453,70.1191,0.67547,0.615542,186.106,20.23,1.2249,53.7215,104.117,5.96808,1.51262,943.988,False,True,0.00887778,0.622642,185.222,0.612621
random,7,3,29,3.85053,6.82352,0.529269,72.6103,0.854619,0.615893,186.212,20.23,0.723805,15.9779,61.5234,9.01637,4.77209,49.3435,True,True,0.00887778,0.622642,185.222,0.612621
random,7,3,30,1.54139,13.3795,0.778682,60.5201,0.60772,0.612973,185.329,20.23,0.822047,45.3319,69.874,5.22247,4.06664,451.1,False,True,0.00887778,0.622642,185.222,0.612621
random,7,3,31,3.60496,8.01898,0.382347,54.5251,0.831369,0.615021,185.948,20.23,0.869038,20.4907,73.8682,9.21167,3.52206,97.4364,True,True,0.00887778,0.622642,185.222,0.612621
random,7,3,32,2.02028,9.61415,0.882083,62.9333,0.72137,0.614084,185.665,20.23,0.666359,28.036,56.6405,5.89137,5.19667,139.865,True,True,0.00887778,0.622642,185.222,0.612621
random,7,3,33,2.4862,8.62033,0.884693,57.7791,0.775756,0.615592,186.121,20.23,0.643107,21.987,54.6641,6.3413,5.6101,83.0205,True,True,0.00887778,0.622642,185.222,0.612621
random,7,3,34,4.34314,11.8736,0.597444,75.8616,0.866578,0.6156,186.123,20.23,0.969946,18.9829,82.4454,6.94357,4.1484,93.3343,True,True,0.00887778,0.622642,185.222,0.612621
random,7,3,35,3.65403,12.742,0.534433,75.1275,0.84411,0.615196,186.001,20.23,1.02274,23.791,86.933,6.82253,3.64619,154.582,True,True,0.00887778,0.622642,185.222,0.612621
random,7,4,36,2.69377,17.3035,0.29581,57.1999,0.760912,0.615792,186.181,20.23,1.24208,39.193,105.577,6.1015,1.80489,509.491,False,True,0.00887778,0.622642,185.222,0.612621
random,7,4,37,3.00659,17.6792,0.417333,72.2416,0.80307,0.615665,186.143,20.23,1.2062,34.1008,102.527,5.79933,2.42025,374.559,False,True,0.00887778,0.622642,185.222,0.612621
random,7,4,38,3.46177,14.5611,0.669748,78.8624,0.839455,0.61511,185.975,20.23,1.02159,25.0842,86.8355,5.96351,3.99405,171.651,True,True,0.00887778,0.622642,185.222,0.612621
random,7,4,39,2.46478,10.3103,0.385275,42.0282,0.732149,0.614571,185.812,20.23,0.966182,33.3197,82.1255,7.96535,3.06885,286.437,False,True,0.00887778,0.622642,185.222,0.612621
random,7,4,40,2.11743,17.2062,0.810113,44.4962,0.693625,0.613614,185.523,20.23,0.984393,39.5164,83.6734,4.86298,3.93956,410.481,False,True,0.00887778,0.622642,185.222,0.612621
random,7,4,41,3.25096,11.3893,0.646457,66.371,0.823534,0.614998,185.941,20.23,0.899725,23.5243,76.4766,6.71478,4.34082,132.957,True,True,0.00887778,0.622642,185.222,0.612621
random,7,4,42,2.38931,17.818,0.56056,65.124,0.743578,0.61487,185.902,20.23,1.12756,40.1131,95.8426,5.37898,3.01524,484.485,False,True,0.00887778,0.622642,185.222,0.612621
random,7,4,43,3.34216,7.45186,0.291244,56.4607,0.818044,0.6151,185.972,20.23,0.866295,22.0322,73.6351,9.88144,2.87791,112.293,False,True,0.00887778,0.622642,185.222,0.612621
random,7,4,44,3.71569,15.8696,0.736659,44.5282,0.828293,0.615066,185.962,20.23,1.04307,23.8611,88.6605,5.58681,4.11558,158.585,True,True,0.00887778,0.622642,185.222,0.612621
