strategy,seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,print_scale,ok,hv,best_t180,best_e_reb_mJ
random,4,0,0,39.1458,85.5664,79.0497,6.48502,4.51839,0.715526,210.899,22.9928,0.987731,True,0.97583,0.715526,210.899
random,4,0,1,30.6473,100.095,46.9811,11.2298,4.35985,0.771202,179.839,19.6112,0.732374,True,3.98763,0.715526,179.839
random,4,0,2,38.5332,83.8577,57.2199,10.7337,5.46038,0.677897,192.709,21.0231,0.754147,True,5.92539,0.677897,179.839
random,4,0,3,30.5459,108.447,77.1611,7.06616,4.52213,0.822243,202.414,22.0536,0.904846,True,5.92539,0.677897,179.839
random,4,0,4,35.573,107.14,66.6263,6.80037,4.24467,0.771864,201.642,21.9802,0.927922,True,5.92539,0.677897,179.839
random,4,0,5,32.4043,85.0113,78.3433,8.09962,3.55943,0.767525,186.024,20.2902,0.949656,True,5.94997,0.677897,179.839
random,4,0,6,32.8313,92.0585,77.5643,9.49209,3.66958,0.781879,180.901,19.7308,0.847771,True,5.94997,0.677897,179.839
random,4,0,7,38.9466,84.5863,67.032,8.85623,3.54245,0.691,183.014,19.9766,0.892608,True,6.70297,0.677897,179.839
random,4,0,8,35.3883,98.5315,47.6315,8.7595,3.90454,0.726884,185.248,20.2093,0.846888,True,6.70297,0.677897,179.839
random,4,1,9,27.5609,71.0676,78.5003,11.3053,3.95573,0.771343,178.088,19.4246,0.82905,True,6.87249,0.677897,178.088
random,4,1,10,36.0921,62.0984,76.6023,9.22303,5.05067,0.646932,199.784,21.792,0.902188,True,7.41459,0.646932,178.088
random,4,1,11,29.1391,78.8062,53.9217,11.8346,4.07365,0.740281,176.794,19.2891,0.770008,True,7.73258,0.646932,176.794
random,4,1,12,32.4954,107.799,76.1278,8.37006,3.76839,0.810851,185.847,20.262,0.862239,True,7.73258,0.646932,176.794
random,4,1,13,37.1057,65.3736,55.6876,11.2586,5.29411,0.608425,190.234,20.766,0.786966,True,9.10264,0.608425,176.794
random,4,1,14,28.5021,63.936,71.5091,9.73067,3.59376,0.719203,180.243,19.6693,0.933796,True,9.16105,0.608425,176.794
random,4,1,15,32.5884,63.5709,68.0035,9.16035,4.76162,0.667825,195.286,21.3034,0.913523,True,9.16105,0.608425,176.794
random,4,1,16,26.3225,92.2408,54.8134,8.99585,3.83871,0.795788,183.176,19.9699,0.867813,True,9.16105,0.608425,176.794
random,4,1,17,34.5113,88.413,64.6846,6.38028,3.56285,0.729077,196.655,21.4488,1.04656,True,9.16105,0.608425,176.794
random,4,2,18,26.0786,79.1649,59.2403,6.67405,4.66897,0.767882,207.746,22.6359,1.00861,True,9.16105,0.608425,176.794
random,4,2,19,32.3104,85.0165,63.8986,11.6093,4.47216,0.748417,180.724,19.7144,0.754554,True,9.16105,0.608425,176.794
random,4,2,20,26.4022,67.3235,67.7557,7.9357,4.88822,0.747588,202.138,22.029,0.97108,True,9.16105,0.608425,176.794
random,4,2,21,32.6596,78.9844,69.5779,7.09788,3.71203,0.726621,194.003,21.1616,1.02378,True,9.16105,0.608425,176.794
random,4,2,22,29.3791,80.7659,76.2846,10.8752,5.05401,0.781308,188.143,20.5081,0.788055,True,9.16105,0.608425,176.794
random,4,2,23,34.4672,60.4107,51.4453,9.0108,5.24614,0.661093,200.461,21.874,0.895168,True,9.16105,0.608425,176.794
random,4,2,24,30.4567,87.528,73.9418,8.04844,4.87019,0.780705,200.567,21.8566,0.893445,True,9.16105,0.608425,176.794
random,4,2,25,33.9254,86.2666,65.1916,8.90913,3.28243,0.735281,179.388,19.5741,0.899252,True,9.16532,0.608425,176.794
random,4,2,26,38.4536,108.487,73.3265,8.12275,4.58479,0.771337,196.963,21.4733,0.838071,True,9.16532,0.608425,176.794
random,4,3,27,36.5614,63.1124,71.5778,6.50937,5.34956,0.671163,222.804,24.294,1.00566,True,9.16532,0.608425,176.794
random,4,3,28,28.6219,108.157,49.283,9.21231,5.07868,0.800321,193.784,21.1156,0.779646,True,9.16532,0.608425,176.794
random,4,3,29,39.8131,95.2849,73.389,8.35072,4.87679,0.731081,199.902,21.7981,0.844775,True,9.16532,0.608425,176.794
random,4,3,30,30.7697,106.492,70.9401,8.27644,4.96055,0.81076,198.923,21.6742,0.829337,True,9.16532,0.608425,176.794
random,4,3,31,25.9977,106.254,67.725,7.9632,4.61737,0.833597,196.47,21.4035,0.861696,True,9.16532,0.608425,176.794
random,4,3,32,36.7641,91.4158,75.4642,8.49214,3.80003,0.746842,186.986,20.3989,0.89229,True,9.16532,0.608425,176.794
random,4,3,33,30.5643,74.0868,59.1629,10.5444,5.18641,0.719313,190.71,20.7935,0.807774,True,9.16532,0.608425,176.794
random,4,3,34,34.4913,99.2877,78.8028,9.95824,3.21158,0.786761,175.38,19.1263,0.81624,True,9.28043,0.608425,175.38
random,4,3,35,34.3839,60.9911,67.1067,11.9905,4.22148,0.638257,179.687,19.6218,0.812975,True,9.93953,0.608425,175.38
