strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,ok,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
sobol,2,0,0,2.82138,6.50386,0.610797,44.3423,0.846336,0.614983,185.937,20.23,0.65093,19.6106,55.329,8.50711,5.19612,66.8474,0.845772,0.0829236,31.9533,15.571,208.135,176.152,4.06,True,True,0.00930537,0.846336,185.937,0.0829236
sobol,2,0,1,3.95437,13.3569,0.552418,77.7031,0.777801,0.615186,185.998,20.23,1.04313,22.4223,88.666,6.63821,3.66706,140.045,0.768168,0.142166,48.7877,5.19901,208.011,161.791,4.08,True,True,0.0190492,0.777801,185.937,0.0829236
sobol,2,0,2,3.4853,10.0596,0.794031,51.6988,0.84579,0.615347,186.047,20.23,0.775019,18.9013,65.8766,6.54863,5.19982,73.9372,0.850712,0.0790098,26.7543,10.3099,208.065,175.98,4.08,True,True,0.0192645,0.777801,185.937,0.0790098
sobol,2,0,3,1.5374,16.5382,0.370476,65.0548,0.508509,0.609319,184.224,20.23,1.12852,62.394,95.9243,5.80015,2.14882,1173.18,0.506203,0.299361,383.385,44.263,208.776,106.165,4.06,False,True,0.0192645,0.777801,185.937,0.0790098
sobol,2,0,4,1.86344,8.99155,0.49354,62.6615,0.800675,0.610651,184.627,20.23,0.807609,36.8387,68.6468,7.63459,3.76798,292.67,0.800546,0.15252,147.472,14.6023,208.381,166.846,4.06,False,True,0.0192645,0.777801,185.937,0.0790098
sobol,2,0,5,3.08706,17.5031,0.674949,59.3055,0.739732,0.613212,185.401,20.23,1.09651,30.1917,93.2036,5.32497,3.59408,266.906,0.738014,0.156178,88.5532,8.83306,208.173,153.992,4.08,False,True,0.0192645,0.777801,185.937,0.0790098
sobol,2,0,6,4.35403,7.57007,0.270575,70.018,0.71446,0.61408,185.663,20.23,0.888805,17.3514,75.5484,9.97988,2.70031,71.4565,0.707407,0.263537,64.1267,6.80122,208.083,148.667,4.06,False,True,0.0192645,0.777801,185.937,0.0790098
sobol,2,0,7,2.49675,12.3934,0.899226,46.6572,0.826926,0.614124,185.677,20.23,0.794319,27.042,67.5171,5.4478,4.89881,155.111,0.816627,0.0924421,53.6306,13.4519,208.222,172.184,4.06,True,True,0.0202025,0.777801,185.677,0.0790098
sobol,2,0,8,2.25215,10.8697,0.315123,57.3813,0.687472,0.608561,183.995,20.23,1.01054,38.1395,85.8957,7.90227,2.49019,392.528,0.686122,0.286391,230.218,21.7135,208.496,143.335,4.06,False,True,0.0202025,0.777801,185.677,0.0790098
sobol,2,1,9,4.20076,15.6313,0.8533,60.8959,0.81596,0.615454,186.079,20.23,0.984169,19.9141,83.6544,5.35173,4.56663,104.222,0.809209,0.0947677,30.537,6.56562,208.019,169.735,4.08,True,True,0.0207222,0.777801,185.677,0.0790098
