strategy,seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,ok,hv,best_t180,best_e_reb_mJ,best_e_rebound
sobol,7,0,0,3.17985,14.8705,0.904585,67.8252,0.820919,0.615072,185.963,20.23,0.906617,24.2346,77.0625,5.18225,4.68779,142.188,True,True,0.00208922,0.820919,185.963,0.615072
sobol,7,0,1,2.76837,8.91826,0.381672,55.9014,0.779676,0.614564,185.81,20.23,0.902892,27.7224,76.7458,8.60547,3.28447,185.296,True,True,0.00342106,0.779676,185.81,0.614564
sobol,7,0,2,2.0348,15.9544,0.602916,77.5332,0.712493,0.614522,185.797,20.23,1.03242,43.1275,87.7557,5.50039,3.31627,512.783,False,True,0.00342106,0.779676,185.81,0.614564
sobol,7,0,3,3.90761,6.9229,0.454005,46.2344,0.841782,0.615636,186.134,20.23,0.768123,16.7086,65.2904,9.43108,4.28176,57.2634,True,True,0.00342106,0.779676,185.81,0.614564
sobol,7,0,4,4.37941,17.3667,0.259518,41.0708,0.840035,0.616173,186.296,20.23,1.27941,24.832,108.75,6.26197,1.62509,210.67,False,True,0.00342106,0.779676,185.81,0.614564
sobol,7,0,5,1.56317,6.44705,0.777223,72.6626,0.659371,0.613686,185.544,20.23,0.528506,28.7384,44.923,6.96799,5.41568,116.558,True,True,0.00740705,0.659371,185.544,0.613686
sobol,7,0,6,2.28525,11.8035,0.582021,50.7768,0.726576,0.613804,185.58,20.23,0.921217,34.2648,78.3034,6.6339,3.86107,288.819,False,True,0.00740705,0.659371,185.544,0.613686
sobol,7,0,7,3.6628,11.0467,0.725723,62.9937,0.841637,0.615555,186.109,20.23,0.85471,19.8347,72.6503,6.57663,4.77281,89.7918,True,True,0.00740705,0.659371,185.544,0.613686
sobol,7,0,8,3.32932,15.2386,0.531903,72.2667,0.825833,0.615168,185.992,20.23,1.10096,28.1082,93.5813,6.14108,3.26645,232.277,True,True,0.00740705,0.659371,185.544,0.613686
sobol,7,1,9,2.52808,7.61331,0.68119,43.9562,0.767605,0.615094,185.97,20.23,0.676181,22.7348,57.4754,7.54933,5.14252,93.3287,True,True,0.00740705,0.659371,185.544,0.613686
sobol,7,1,10,1.7947,13.9202,0.293228,61.9748,0.642169,0.615284,186.027,20.23,1.11077,52.6079,94.4155,6.7826,1.98885,820.91,False,True,0.00740705,0.659371,185.544,0.613686
sobol,7,1,11,4.05728,9.89513,0.815867,54.2892,0.852354,0.616568,186.416,20.23,0.76943,16.1196,65.4016,6.60947,5.39245,53.3882,True,True,0.00740705,0.659371,185.544,0.613686
sobol,7,1,12,3.80071,12.7293,0.637327,59.111,0.841757,0.615225,186.01,20.23,0.977849,21.8689,83.1172,6.52958,4.16148,124.88,True,True,0.00740705,0.659371,185.544,0.613686
sobol,7,1,13,2.05109,10.1496,0.493249,67.1286,0.711099,0.613895,185.608,20.23,0.876926,36.341,74.5387,7.34398,3.62241,309.261,False,True,0.00740705,0.659371,185.544,0.613686
sobol,7,1,14,2.77331,18.1102,0.855169,48.817,0.773802,0.614227,185.708,20.23,1.02296,31.353,86.9515,4.80124,4.10587,268.525,False,True,0.00740705,0.659371,185.544,0.613686
sobol,7,1,15,3.08427,5.68014,0.337739,77.4596,0.823948,0.614967,185.932,20.23,0.713544,19.6647,60.6512,10.6778,3.60629,73.6825,True,True,0.00740705,0.659371,185.544,0.613686
sobol,7,1,16,2.96503,17.8728,0.689685,51.6496,0.787161,0.614576,185.813,20.23,1.0964,31.4312,93.1943,5.2143,3.59623,289.242,False,True,0.00740705,0.659371,185.544,0.613686
