strategy,seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,print_scale,ok,hv,best_t180,best_e_reb_mJ
sobol,8,0,0,36.327,70.1726,44.1499,6.67637,3.93402,0.594256,199.621,21.7896,1.04437,True,4.84026,0.594256,199.621
sobol,8,0,1,32.4104,89.9882,79.5984,10.024,4.7416,0.787236,188.883,20.5922,0.801789,True,5.70932,0.594256,188.883
sobol,8,0,2,25.7909,72.6089,55.7662,7.80845,5.16244,0.751639,204.808,22.3181,0.942931,True,5.70932,0.594256,188.883
sobol,8,0,3,35.4498,106.303,60.4725,11.8654,3.47474,0.770269,172.644,18.8306,0.71053,True,7.48126,0.594256,172.644
sobol,8,0,4,32.9519,79.0177,74.6262,11.0475,3.03532,0.738313,172.065,18.7737,0.824718,True,8.41856,0.594256,172.065
sobol,8,0,5,28.3175,99.9915,49.1374,8.2551,5.32842,0.785197,202.136,22.0226,0.830647,True,8.41856,0.594256,172.065
sobol,8,0,6,29.4297,64.2522,65.6174,9.15658,4.26305,0.699048,189.146,20.6341,0.935572,True,8.82987,0.594256,172.065
sobol,8,0,7,39.3375,96.0062,50.6365,7.16652,4.06101,0.686574,196.88,21.4779,0.929857,True,8.86407,0.594256,172.065
sobol,8,0,8,38.1408,76.438,68.7046,8.75641,4.56942,0.670684,195.251,21.3045,0.887175,True,8.95383,0.594256,172.065
sobol,8,1,9,30.5914,108.772,52.5518,10.5689,3.75465,0.79496,177.054,19.3066,0.752547,True,8.95383,0.594256,172.065
sobol,8,1,10,27.6026,66.386,71.5416,6.85341,3.33686,0.73212,190.768,20.8087,1.12555,True,8.95383,0.594256,172.065
sobol,8,1,11,33.6286,87.5736,47.2247,9.44556,5.02687,0.710955,193.329,21.0816,0.810173,True,8.95383,0.594256,172.065
sobol,8,1,12,34.7639,60.2702,57.5985,10.4557,5.46629,0.635849,195.611,21.3463,0.83307,True,9.09352,0.594256,172.065
sobol,8,1,13,26.4967,93.787,63.6329,6.22185,3.17088,0.804353,190.651,20.7832,1.07822,True,9.09352,0.594256,172.065
sobol,8,1,14,31.2432,83.042,42.3105,11.6234,4.23321,0.713634,178.096,19.4335,0.75614,True,9.36622,0.594256,172.065
sobol,8,1,15,37.5182,102.266,76.4308,8.07476,4.44243,0.770278,195.981,21.3673,0.862081,True,9.36622,0.594256,172.065
sobol,8,1,16,37.7445,83.8252,54.1261,9.36428,3.55889,0.673974,180.494,19.7036,0.861478,True,9.86241,0.594256,172.065
sobol,8,1,17,31.0154,101.482,69.6152,7.33318,5.07799,0.796388,207.113,22.5644,0.88042,True,9.86241,0.594256,172.065
sobol,8,2,18,26.2704,62.6181,45.6251,11.2141,4.83537,0.695801,184.504,20.1221,0.828991,True,9.86241,0.594256,172.065
sobol,8,2,19,34.9917,91.4399,70.6063,8.46268,3.83995,0.750828,187.143,20.4139,0.892568,True,9.86241,0.594256,172.065
sobol,8,2,20,34.3401,68.7338,64.6075,7.59501,3.98647,0.659704,195.255,21.3077,1.00643,True,9.86632,0.594256,172.065
sobol,8,2,21,26.8932,85.2266,59.1588,11.7047,4.33728,0.785263,178.753,19.4907,0.75787,True,9.86632,0.594256,172.065
sobol,8,2,22,29.8798,77.2212,75.4815,6.51557,5.2635,0.762394,218.067,23.7562,0.985683,True,9.86632,0.594256,172.065
sobol,8,2,23,38.8502,107.988,40.7749,9.81045,3.09994,0.712089,174.119,18.9935,0.787118,True,9.97431,0.594256,172.065
sobol,8,2,24,39.5653,65.0299,78.6443,11.4092,4.93525,0.637318,188.84,20.6132,0.804239,True,10.2174,0.594256,172.065
sobol,8,2,25,29.2034,95.2293,42.6096,7.9132,3.42818,0.758918,183.533,20.0156,0.926651,True,10.2174,0.594256,172.065
sobol,8,2,26,28.0897,81.3588,61.4421,10.2943,3.67263,0.766872,177.864,19.4009,0.839247,True,10.2174,0.594256,172.065
sobol,8,3,27,33.1782,97.6496,57.3215,6.00765,4.65113,0.747422,213.7,23.2893,0.978078,True,10.2174,0.594256,172.065
sobol,8,3,28,36.1591,74.9501,47.5428,7.06175,4.50461,0.628202,203.909,22.2466,0.976149,True,10.2174,0.594256,172.065
sobol,8,3,29,25.0794,103.961,73.6959,9.61286,4.17072,0.84425,183.69,20.017,0.80396,True,10.2174,0.594256,172.065
sobol,8,3,30,31.701,70.9504,52.2156,8.92383,3.24267,0.67552,178.905,19.5307,0.944348,True,10.2755,0.594256,172.065
sobol,8,3,31,37.0386,89.2112,66.5328,10.7773,5.39419,0.726823,191.867,20.9233,0.748715,True,10.2755,0.594256,172.065
sobol,8,3,32,36.9122,73.5135,72.2671,9.91013,4.0162,0.680099,184.276,20.115,0.86442,True,10.2755,0.594256,172.065
sobol,8,3,33,31.82,105.446,46.4668,6.41585,4.30847,0.760053,204.377,22.2754,0.9525,True,10.2755,0.594256,172.065
sobol,8,3,34,25.4328,69.7014,67.6431,11.7927,5.29267,0.77017,186.518,20.3268,0.785272,True,10.2755,0.594256,172.065
sobol,8,3,35,35.7984,90.509,53.6006,7.50704,3.07047,0.707825,182.565,19.9221,0.973414,True,10.2755,0.594256,172.065
