target,observable,n,spearman_rho,spearman_p,pearson_r,pearson_p,rel_span
e_reb_mJ,lander_eta,7,0.8214,0.0234,0.8903,0.0072,0.0012
e_reb_mJ,R_mm,7,0.7143,0.0713,0.5816,0.1708,0.4388
e_reb_mJ,sim_solid_e_reb_mJ,7,0.6786,0.0938,0.3944,0.3813,0.0739
e_reb_mJ,sim_solid_mass_g,7,0.6429,0.1194,0.4081,0.3634,0.0744
e_reb_mJ,strut_d_mm,7,0.5714,0.1802,0.4810,0.2745,0.6343
e_reb_mJ,sim_t180,7,-0.5357,0.2152,-0.6644,0.1036,0.2477
e_reb_mJ,sim_in_180_g,7,0.5357,0.2152,0.8208,0.0237,0.0009
e_reb_mJ,sim_out_180_g,7,-0.5357,0.2152,-0.6628,0.1047,0.2471
e_reb_mJ,sim_solid_t180,7,-0.5357,0.2152,-0.6611,0.1059,0.2325
e_reb_mJ,crutch_SEA_J_per_cm3,7,0.5357,0.2152,0.8836,0.0083,1.8592
e_reb_mJ,crutch_SEA_J_per_g,7,0.5000,0.2532,0.8953,0.0064,1.9965
e_reb_mJ,sim_mass_solid_g,7,0.4286,0.3374,0.2213,0.6335,0.2785
e_reb_mJ,crutch_F_base_peak_N,7,0.4286,0.3374,0.2708,0.5569,0.3719
e_reb_mJ,lander_SEA_J_per_g,7,0.4286,0.3374,0.7346,0.0600,2.8494
e_reb_mJ,sim_pulse_ms,7,-0.4082,0.3632,-0.5547,0.1963,0.0049
e_reb_mJ,lander_SEA_J_per_cm3,7,0.3929,0.3833,0.7689,0.0433,2.3116
e_reb_mJ,print_scale,7,-0.3571,0.4316,-0.2315,0.6174,0.3138
e_reb_mJ,crutch_eta,7,-0.3214,0.4821,-0.4095,0.3616,0.0114
e_reb_mJ,footprint_mm2,7,0.3214,0.4821,0.6157,0.1411,0.8106
e_reb_mJ,sim_tpu_fraction,7,-0.2500,0.5887,-0.3294,0.4706,1.0626
e_reb_mJ,H_mm,7,-0.1429,0.7599,-0.4157,0.3537,0.4709
e_reb_mJ,sim_mass_flat_model_g,7,0.1429,0.7599,-0.0095,0.9838,0.2616
e_reb_mJ,crutch_F_peak_N,7,0.1429,0.7599,-0.2435,0.5987,0.0009
e_reb_mJ,lander_F_peak_N,7,-0.1429,0.7599,-0.4916,0.2625,0.0089
e_reb_mJ,twist_deg,7,0.1071,0.8192,0.2381,0.6071,0.4814
e_reb_mJ,cell_mass_g,7,0.1071,0.8192,-0.1520,0.7449,0.2737
e_reb_mJ,mass_g,7,0.0714,0.8790,-0.3899,0.3873,0.1695
e_reb_mJ,sim_e_reb_mJ,7,0.0714,0.8790,-0.4029,0.3702,0.1680
e_reb_mJ,sim_mass_printed_g,7,0.0714,0.8790,-0.3899,0.3873,0.1695
e_reb_mJ,lander_F_base_peak_N,7,-0.0714,0.8790,0.1453,0.7559,0.0114
e_reb_mJ,sim_e_rebound,7,-0.0357,0.9394,-0.3033,0.5085,0.0039
e_reb_mJ,sim_v_rebound_mps,7,-0.0357,0.9394,-0.3033,0.5085,0.0039
e_reb_mJ,envelope_cm3,7,-0.0357,0.9394,0.0583,0.9011,1.0811
e_reb_mJ,cable_d_mm,7,0.0000,1.0000,-0.2387,0.6062,0.6183
t180,lander_SEA_J_per_cm3,7,-0.9286,0.0025,-0.5967,0.1572,2.3116
t180,sim_in_180_g,7,-0.8929,0.0068,-0.8925,0.0069,0.0009
t180,crutch_SEA_J_per_cm3,7,-0.8929,0.0068,-0.8772,0.0095,1.8592
t180,lander_SEA_J_per_g,7,-0.8929,0.0068,-0.4098,0.3612,2.8494
t180,crutch_SEA_J_per_g,7,-0.8571,0.0137,-0.6764,0.0952,1.9965
t180,H_mm,7,0.7857,0.0362,0.4803,0.2753,0.4709
t180,footprint_mm2,7,-0.7500,0.0522,-0.8788,0.0092,0.8106
t180,lander_eta,7,-0.7143,0.0713,-0.9644,0.0005,0.0012
t180,lander_F_peak_N,7,0.5357,0.2152,0.8202,0.0238,0.0089
t180,sim_t180,7,0.5000,0.2532,0.3415,0.4534,0.2477
t180,sim_out_180_g,7,0.5000,0.2532,0.3388,0.4573,0.2471
t180,sim_solid_t180,7,0.5000,0.2532,0.3365,0.4606,0.2325
t180,sim_mass_flat_model_g,7,0.4643,0.2939,0.3031,0.5087,0.2616
t180,cell_mass_g,7,0.4643,0.2939,0.5009,0.2522,0.2737
t180,envelope_cm3,7,0.4643,0.2939,0.4276,0.3386,1.0811
t180,mass_g,7,0.4286,0.3374,0.8291,0.0211,0.1695
t180,sim_e_reb_mJ,7,0.4286,0.3374,0.8382,0.0185,0.1680
t180,sim_mass_printed_g,7,0.4286,0.3374,0.8291,0.0211,0.1695
t180,sim_pulse_ms,7,0.4082,0.3632,0.0811,0.8627,0.0049
