H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible
4.38147,8.78144,0.743726,67.6103,0.872882,0.615803,186.184,20.23,0.750596,14.5615,63.8007,7.2654,5.40346,42.4996,0.868993,0.06748,16.5104,9.93696,207.988,181.549,4.08,True
1.71722,14.2981,0.364072,51.4761,0.573671,0.608735,184.047,20.23,1.09249,54.0767,92.8615,6.49467,2.36453,853.111,0.574511,0.277616,332.791,37.1189,208.704,119.727,4.06,False
2.68406,5.94513,0.839698,73.5177,0.901676,0.615672,186.145,20.23,0.529041,16.7539,44.9685,7.56392,6.35141,39.6545,0.913933,0.0519469,19.611,16.2733,208.028,187.574,4.08,True
3.0176,17.0949,0.552523,47.3863,0.730082,0.611232,184.802,20.23,1.14038,32.1225,96.9327,5.67026,3.13295,314.223,0.731252,0.201384,124.061,12.1323,208.275,152.058,4.08,False
3.47816,7.9413,0.316435,42.9064,0.753226,0.612724,185.254,20.23,0.8917,21.7916,75.7945,9.54434,3.02016,113.074,0.756127,0.226978,90.9605,9.36405,208.179,156.806,4.08,True
2.26952,15.1248,0.624596,76.7767,0.817708,0.61109,184.759,20.23,1.01261,37.9253,86.0722,5.69078,3.55444,388.929,0.820928,0.160859,139.331,10.9782,208.263,170.298,4.06,False
2.13742,10.1445,0.433312,58.2313,0.777922,0.609946,184.414,20.23,0.91568,36.4144,77.8328,7.67244,3.32456,324.234,0.777991,0.185619,160.383,15.4204,208.385,162.107,4.06,False
3.91525,12.9611,0.792306,62.0952,0.82889,0.615521,186.099,20.23,0.908863,19.7314,77.2534,5.96039,4.72245,94.4896,0.823652,0.0897245,29.6177,7.23093,208.024,172.429,4.08,True
3.71488,5.25654,0.492145,79.1574,0.895933,0.616005,186.245,20.23,0.628786,14.3872,53.4468,10.1677,5.00397,34.7556,0.89448,0.077543,17.594,10.8514,207.951,186.31,4.08,True
2.03193,18.2781,0.777682,40.5257,0.803239,0.609415,184.253,20.23,1.02191,42.7487,86.8624,4.75226,3.69575,498.687,0.801684,0.151716,163.99,17.5175,208.452,167.437,4.06,False
2.46705,9.91292,0.258111,64.4802,0.648108,0.608946,184.111,20.23,0.99359,34.2332,84.4552,8.51971,2.19903,310.937,0.647037,0.349989,228.539,20.8302,208.466,135.109,4.06,False
3.58648,13.5578,0.638752,55.8463,0.770387,0.614687,185.847,20.23,1.00742,23.8759,85.6305,6.31595,4.03432,153.355,0.767143,0.125768,51.9299,6.35025,208.08,160.302,4.06,True
3.1684,11.0448,0.898257,53.8617,0.849826,0.615335,186.043,20.23,0.765243,20.5295,65.0456,5.88925,5.29006,86.1238,0.859719,0.0766141,29.5256,11.9473,208.099,176.848,4.08,True
2.92974,12.3999,0.538297,65.2247,0.771704,0.613539,185.5,20.23,0.990781,28.7454,84.2164,6.79171,3.65596,218.616,0.778084,0.152723,85.8599,8.30799,208.151,160.631,4.08,True
1.56358,7.43172,0.684984,49.7663,0.823045,0.611693,184.942,20.23,0.616523,33.5157,52.4044,7.05145,4.83013,184.933,0.822486,0.0996322,95.8351,20.3728,208.447,171.562,4.04,True
4.13862,16.0768,0.37844,71.1376,0.65957,0.612312,185.129,20.23,1.20239,24.695,102.203,6.35718,2.40581,195.81,0.656585,0.303252,101.966,9.52257,208.177,137.308,4.06,False
4.0614,6.67477,0.760041,59.0049,0.896855,0.615576,186.116,20.23,0.62526,13.0859,53.1471,7.96238,6.05173,28.5914,0.906335,0.0579518,15.8737,11.0021,207.974,186.522,4.08,True
1.67477,16.3662,0.472672,60.0631,0.623442,0.608093,183.853,20.23,1.08902,55.271,92.5665,5.65594,2.67341,888.38,0.625027,0.23608,302.898,31.1985,208.664,130.09,4.06,False
