i,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,print_scale,ok,source,weight,pareto
,40,60,40,6.35197,3,0.484846,189.589,20.7087,1.14183,True,polish,1,True
,40,60,40,6.35577,3,0.484846,189.562,20.7058,1.14148,True,polish,0.9,True
,40,60,40,6.35577,3,0.484846,189.562,20.7058,1.14148,True,polish,0.9,True
,40,60,40,6.35577,3,0.484846,189.562,20.7058,1.14148,True,polish,0.9,True
,40,60,40,6.35578,3,0.484846,189.562,20.7058,1.14148,True,polish,0.9,True
,40,60,40,6.35875,3,0.484878,189.542,20.7035,1.14121,True,polish,0.85,True
,40,60,40,6.35909,3,0.484878,189.539,20.7032,1.14118,True,polish,0.85,True
,40,60,40,6.35909,3,0.484878,189.539,20.7032,1.14118,True,polish,0.85,True
,40,60,40,6.35909,3,0.484878,189.539,20.7032,1.14118,True,polish,0.85,True
,40,60,40,6.35909,3,0.484878,189.539,20.7032,1.14118,True,polish,0.85,True
,40,60,40,6.35913,3,0.484878,189.539,20.7032,1.14118,True,polish,0.85,True
,40,60,40,6.35913,3,0.484878,189.539,20.7032,1.14118,True,polish,0.85,True
,40,60,40,6.35915,3,0.484878,189.539,20.7032,1.14118,True,polish,0.85,True
,40,60,40,6.35915,3,0.484878,189.539,20.7032,1.14118,True,polish,0.85,True
,40,60,40,6.35915,3,0.484878,189.539,20.7032,1.14118,True,polish,0.85,True
,40,60,40,6.3592,3,0.484879,189.538,20.7032,1.14117,True,polish,0.85,True
,40,60,40,6.36255,3,0.484905,189.515,20.7006,1.14087,True,polish,0.95,True
,40,60,40,6.36546,3,0.484936,189.495,20.6984,1.14061,True,polish,0.85,True
,40,60,40,6.3695,3,0.484952,189.467,20.6953,1.14025,True,polish,0.9,True
,40,60,40,6.36978,3,0.48496,189.465,20.6951,1.14022,True,polish,0.95,True
,40,60,40,6.36981,3,0.484961,189.464,20.6951,1.14022,True,polish,0.8,True
,40,60,40,6.37212,3,0.484991,189.448,20.6933,1.14001,True,polish,0.85,True
,40,60,40,6.37219,3,0.484991,189.448,20.6933,1.14,True,polish,0.95,True
,40,60,40,6.37273,3,0.484998,189.444,20.6929,1.13995,True,polish,0.95,True
,40,60,40,6.37691,3,0.485001,189.415,20.6897,1.13958,True,polish,0.85,True
,40,60,40,6.38025,3,0.485034,189.392,20.6872,1.13928,True,polish,0.9,True
,40,60,40,6.3824,3,0.485081,189.377,20.6855,1.13909,True,polish,0.95,True
,40,60,40,6.38683,3,0.485097,189.346,20.6822,1.13869,True,polish,0.85,True
,40,60,40,6.39093,3,0.485113,189.318,20.6791,1.13832,True,polish,0.95,True
,40,60,40,6.39361,3,0.485142,189.299,20.6771,1.13808,True,polish,1,True
,40,60,40,6.39799,3,0.485166,189.269,20.6738,1.13769,True,polish,0.8,True
,40,60,40,6.39957,3,0.485212,189.258,20.6726,1.13755,True,polish,0.9,True
,40,60,40,6.40409,3,0.485221,189.227,20.6692,1.13714,True,polish,0.85,True
,40,60,40,6.41149,3,0.48527,189.176,20.6636,1.13648,True,polish,0.8,True
,40,60,40,6.41583,3,0.48529,189.146,20.6604,1.13609,True,polish,0.9,True
,40,60,40,6.42278,3,0.485338,189.099,20.6552,1.13547,True,polish,1,True
,40,60,40,6.4259,3,0.485377,189.077,20.6529,1.13519,True,polish,0.8,True
,40,60,40,6.43355,3,0.485413,189.025,20.6472,1.13451,True,polish,0.8,True
,40,60,40,6.43706,3,0.485449,189.001,20.6446,1.1342,True,polish,0.8,True
,40,60,40,6.44038,3,0.485466,188.979,20.6421,1.13391,True,polish,0.95,True
,40,60,40,6.44308,3,0.485505,188.96,20.6401,1.13367,True,polish,0.9,True
,40,60,40,6.44678,3,0.485534,188.935,20.6373,1.13334,True,polish,0.95,True
,40,60,40,6.45101,3,0.485562,188.906,20.6342,1.13296,True,polish,0.85,True
,40,60,40,6.45326,3,0.485602,188.891,20.6325,1.13276,True,polish,0.95,True
,40,60,40,6.45618,3,0.48563,188.871,20.6304,1.1325,True,polish,1,True
,40,60,40,6.45949,3,0.485659,188.849,20.6279,1.13221,True,polish,0.8,True
,40,60,40,6.46301,3,0.485688,188.825,20.6253,1.1319,True,polish,0.85,True
,40,60,40,6.46992,3,0.48574,188.778,20.6203,1.13128,True,polish,0.9,True
,40,60,40,6.48036,3,0.485821,188.708,20.6126,1.13036,True,polish,0.85,True
,40,60,40,6.49,3,0.485836,188.644,20.6055,1.12951,True,polish,0.95,True
,40,60,40,6.49352,3,0.485862,188.62,20.603,1.1292,True,polish,0.8,True
,40,60,40,6.49777,3,0.485885,188.592,20.5998,1.12882,True,polish,0.9,True
,40,60,40,6.50368,3,0.485945,188.552,20.5955,1.1283,True,polish,1,True
,40,60,40,6.50881,3,0.485956,188.518,20.5918,1.12785,True,polish,0.8,True
,40,60,40,6.51245,3,0.485975,188.494,20.5892,1.12753,True,polish,0.85,True
,40,60,40,6.5125,3,0.486045,188.493,20.5891,1.12753,True,polish,1,True
,40,60,40,6.51828,3,0.486048,188.455,20.5849,1.12702,True,polish,0.9,True
,40,60,40,6.53153,3,0.486164,188.367,20.5754,1.12586,True,polish,0.85,True
,40,60,40,6.56989,3,0.486378,188.115,20.5479,1.1225,True,polish,0.9,True
,40,60,40,6.57527,3,0.486453,188.08,20.544,1.12203,True,polish,1,True
,40,60,40,6.57833,3,0.486486,188.06,20.5418,1.12177,True,polish,0.85,True
,40,60,40,6.582,3,0.486508,188.036,20.5392,1.12145,True,polish,0.8,True
,40,60,40,6.59292,3,0.486583,187.965,20.5315,1.1205,True,polish,1,True
,40,60,40,6.60408,3,0.486666,187.893,20.5236,1.11953,True,polish,0.85,True
,40,60,40,6.62773,3,0.486791,187.741,20.507,1.11748,True,polish,0.85,True
,40,60,40,6.65346,3,0.48696,187.576,20.489,1.11527,True,polish,0.85,True
,40,60,40,6.65827,3,0.487047,187.546,20.4857,1.11485,True,polish,0.9,True
,40,60,40,6.67807,3,0.487147,187.42,20.472,1.11316,True,polish,0.8,True
,40,60,40,6.706,3,0.487288,187.245,20.4528,1.11077,True,polish,0.8,True
,40,60,40,6.71362,3,0.487339,187.197,20.4477,1.11012,True,polish,1,True
,40,60,40,6.71691,3,0.487363,187.177,20.4454,1.10984,True,polish,0.9,True
,40,60,40,6.72572,3,0.487466,187.122,20.4394,1.10909,True,polish,0.9,True
,40,60,40,6.7363,3,0.487544,187.056,20.4322,1.10819,True,polish,0.85,True
,40,60,40,6.74148,3,0.487556,187.024,20.4287,1.10775,True,polish,0.8,True
,40,60,40,6.76751,3,0.487718,186.863,20.4112,1.10555,True,polish,1,True
,40,60,40,6.77119,3,0.487751,186.841,20.4088,1.10524,True,polish,0.85,True
,40,60,40,6.79358,3,0.487892,186.704,20.3938,1.10335,True,polish,0.8,True
,40,60,40,6.83192,3,0.488127,186.472,20.3685,1.10013,True,polish,0.8,True
,40,60,40,6.85948,3,0.488278,186.307,20.3504,1.09784,True,polish,0.85,True
,40,60,40,6.8888,3,0.488479,186.133,20.3314,1.0954,True,polish,0.9,True
,40,60,40,6.91313,3,0.48861,185.99,20.3158,1.09339,True,polish,0.85,True
,40,60,40,6.93034,3,0.488745,185.889,20.3048,1.09197,True,polish,0.9,True
,40,60,40,6.99941,3,0.48916,185.49,20.2612,1.08631,True,polish,0.8,True
,40,60,40,7.0426,3,0.489415,185.245,20.2345,1.08281,True,polish,0.8,True
,40,60,40,7.15618,3,0.490084,184.616,20.1657,1.0737,True,polish,0.8,True
,40,60,40,7.1808,3,0.490217,184.483,20.1511,1.07175,True,polish,0.85,True
,40,60,40,7.18623,3,0.490219,184.453,20.1479,1.07132,True,polish,0.9,True
,40,60,40,7.21813,3,0.490395,184.282,20.1292,1.0688,True,polish,0.9,True
,40,60,40,7.26849,3,0.490705,184.015,20.1,1.06486,True,polish,0.85,True
,40,60,40,7.27694,3,0.490741,183.971,20.0952,1.0642,True,polish,0.9,True
,40,60,40,7.27705,3,0.490746,183.97,20.0951,1.06419,True,polish,0.9,True
,40,60,40,7.30462,3,0.4909,183.826,20.0794,1.06204,True,polish,0.8,True
,40,60,40,7.45894,3,0.491736,183.042,19.9936,1.0502,True,polish,0.9,True
,40,60,40,7.47651,3,0.491808,182.955,19.9841,1.04887,True,polish,0.9,True
,40,60,40,7.48864,3,0.491884,182.895,19.9776,1.04796,True,polish,0.9,True
,40,60,40,7.50209,3,0.491929,182.829,19.9704,1.04694,True,polish,0.8,True
,40,60,40,7.5124,3,0.492023,182.779,19.9649,1.04617,True,polish,0.85,True
,40,60,40,7.52559,3,0.492073,182.715,19.9578,1.04518,True,polish,0.8,True
,40,60,40,7.53312,3,0.492131,182.678,19.9538,1.04461,True,polish,0.85,True
,40,60,40,7.61409,3,0.49251,182.29,19.9113,1.03858,True,polish,0.85,True
,40,60,40,7.85306,3,0.493669,181.197,19.7917,1.02122,True,polish,0.85,True
,40,60,40,7.86778,3,0.493722,181.132,19.7846,1.02017,True,polish,0.8,True
,40,60,40,7.98261,3,0.494243,180.636,19.7303,1.01206,True,polish,0.9,True
,40,60,40,8.03989,3,0.494501,180.394,19.7039,1.00807,True,polish,0.8,True
,40,60,40,8.12716,3,0.494926,180.034,19.6644,1.00206,True,polish,0.85,True
,40,60,40,8.18648,3,0.495158,179.795,19.6382,0.998013,True,polish,0.85,True
,40,60,40,8.2483,3,0.495456,179.549,19.6113,0.993838,True,polish,0.85,True
,40,60,40.0306,8.32777,3,0.495832,179.243,19.5777,0.988562,True,polish,0.9,True
,40,60,40,8.42651,3,0.496147,178.866,19.5364,0.982014,True,polish,0.8,True
,40,60,40,8.4474,3,0.496273,178.788,19.5278,0.980649,True,polish,0.8,True
,40,60,40,8.57986,3,0.496809,178.304,19.4748,0.972088,True,polish,0.9,True
,40,60,40,8.66198,3,0.497107,178.014,19.4429,0.966863,True,polish,0.85,True
,40,60,40,8.7055,3,0.49734,177.862,19.4263,0.964119,True,polish,0.8,True
,40,60,40,8.76866,3,0.497563,177.646,19.4026,0.960168,True,polish,0.8,True
,40,60,40,8.77261,3,0.497594,177.632,19.4011,0.959922,True,polish,0.8,True
,40,60,40,8.85248,3,0.497865,177.364,19.3717,0.95498,True,polish,0.85,True
,40,60,40,8.92423,3,0.498165,177.128,19.3458,0.95059,True,polish,0.9,True
,40,60,40,8.9676,3,0.498276,176.988,19.3304,0.947957,True,polish,0.8,True
,40,60,40,8.99411,3,0.498411,176.903,19.3211,0.946356,True,polish,0.8,True
,40,60,40,9.07102,3,0.498644,176.66,19.2944,0.941746,True,polish,0.85,True
,40,60,40,9.08288,3,0.498722,176.623,19.2903,0.94104,True,polish,0.8,True
,40,60,40,9.1455,3,0.498927,176.43,19.2691,0.93733,True,polish,0.8,True
,40,60,40,9.19975,3,0.499123,176.264,19.251,0.934143,True,polish,0.8,True
,40,60,40,9.22171,3,0.499192,176.198,19.2437,0.93286,True,polish,0.8,True
,40,60,40.1358,9.23897,3,0.499537,176.157,19.2392,0.932009,True,polish,0.8,True
,40,60,40,9.33424,3,0.499563,175.866,19.2072,0.926346,True,polish,0.8,True
,40,60,40,9.36548,3,0.499679,175.775,19.1972,0.924556,True,polish,0.8,True
,40,60,40,9.40765,3,0.499876,175.654,19.1839,0.922152,True,polish,0.8,True
,40,60,40,9.41258,3,0.499883,175.64,19.1824,0.921872,True,polish,0.8,True
,40,60,40,9.42532,3,0.499889,175.604,19.1784,0.921149,True,polish,0.85,True
,40,60,40,9.44827,3,0.499958,175.539,19.1712,0.91985,True,polish,0.8,True
,40,60,40,9.50283,3,0.500164,175.385,19.1544,0.916778,True,polish,0.8,True
,40,60,40,9.56612,3,0.500369,175.211,19.1352,0.913244,True,polish,0.8,True
,40,60,40,9.61297,3,0.500528,175.083,19.1212,0.910648,True,polish,0.85,True
,40,60,40,9.68194,3,0.500753,174.883,19.1009,0.906857,True,polish,0.8,True
,40,60,40,9.70848,3,0.500837,174.812,19.0931,0.905407,True,polish,0.8,True
,40,60,40.0367,9.71597,3,0.500962,174.795,19.0912,0.905041,True,polish,0.8,True
,40,60,40,9.75541,3,0.501005,174.689,19.0796,0.902858,True,polish,0.8,True
,40,60,40,9.84728,3,0.501276,174.452,19.0536,0.897913,True,polish,0.8,True
,40,60,40,9.93878,3.00596,0.501589,174.271,19.0337,0.892911,True,polish,0.7,True
,40,60,40,10.0189,3,0.501836,174.025,19.0066,0.888842,True,polish,0.8,True
,40,60,40,10.0384,3,0.501877,173.978,19.0014,0.887825,True,polish,0.65,True
,40,60,40,10.0737,3,0.502006,173.893,18.992,0.88599,True,polish,0.75,True
,40,60,40,10.0956,3,0.502089,173.84,18.9862,0.884856,True,polish,0.7,True
,40,60,40,10.1097,3,0.502095,173.806,18.9825,0.884127,True,polish,0.75,True
,40,60,40,10.1333,3,0.50214,173.75,18.9763,0.882911,True,polish,0.45,True
,40,60,40,10.1514,3,0.502229,173.708,18.9716,0.881982,True,polish,0.65,True
,40,60,40,10.1764,3,0.502295,173.649,18.9652,0.880702,True,polish,0.6,True
,40,60,40,10.2051,3,0.502356,173.582,18.9578,0.879237,True,polish,0.45,True
,40,60,40,10.2571,3,0.50255,173.462,18.9446,0.876595,True,polish,0.8,True
,40,60,40,10.2579,3,0.502552,173.46,18.9444,0.876554,True,polish,0.7,True
,40,60,40,10.2852,3,0.502631,173.398,18.9375,0.875176,True,polish,0.7,True
,40,60,40,10.3413,3,0.502812,173.271,18.9235,0.872355,True,polish,0.75,True
,40,60,40,10.4346,3,0.503046,173.064,18.9008,0.867719,True,polish,0.65,True
,40,60,40,10.4744,3,0.503168,172.977,18.8912,0.865758,True,polish,0.75,True
,40,60,40,10.479,3,0.503186,172.967,18.8901,0.86553,True,polish,0.75,True
,40,60,40,10.4912,3,0.503217,172.941,18.8872,0.864933,True,polish,0.75,True
,40,60,40,10.4997,3,0.50325,172.922,18.8851,0.864514,True,polish,0.75,True
,40,60,40,10.5075,3,0.50327,172.905,18.8833,0.864132,True,polish,0.75,True
,40,60,40,10.5141,3,0.50327,172.891,18.8817,0.863812,True,polish,0.75,True
,40,60,40,10.5264,3,0.503305,172.865,18.8788,0.863209,True,polish,0.75,True
,40,60,40,10.537,3,0.503339,172.842,18.8763,0.862692,True,polish,0.75,True
,40,60,40,10.5439,3,0.503363,172.827,18.8747,0.862354,True,polish,0.75,True
,40,60,40,10.5501,3,0.503375,172.814,18.8732,0.862053,True,polish,0.75,True
,40,60,40,10.5619,3,0.503386,172.789,18.8705,0.861477,True,polish,0.75,True
,40,60,40,10.5678,3,0.503409,172.776,18.8691,0.861194,True,polish,0.75,True
,40,60,40,10.5735,3,0.503412,172.764,18.8678,0.860914,True,polish,0.75,True
,40,60,40,10.5735,3,0.503412,172.764,18.8678,0.860914,True,polish,0.75,True
