i,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,feasible,ok,source,weight,pareto
,1.5,5.076,0.270199,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3589,11.103,3.00002,249.95,True,True,polish,0.95,True
,1.5,5.07601,0.270199,40,0.582498,0.613925,185.617,20.23,0.663046,37.5726,56.3589,11.103,3.00002,249.951,True,True,polish,0.95,True
,1.5,5.07601,0.270199,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3589,11.103,3.00002,249.951,True,True,polish,0.95,True
,1.5,5.076,0.270199,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3588,11.103,3.00002,249.95,True,True,polish,0.95,True
,1.5,5.07601,0.2702,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3589,11.103,3.00002,249.95,True,True,polish,0.95,True
,1.5,5.076,0.2702,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3588,11.103,3.00003,249.95,True,True,polish,0.95,True
,1.5,5.07601,0.2702,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3589,11.103,3.00003,249.95,True,True,polish,0.95,True
,1.5,5.07601,0.270201,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3588,11.103,3.00003,249.95,True,True,polish,0.95,True
,1.5,5.07601,0.270201,40,0.582498,0.613925,185.617,20.23,0.663045,37.5725,56.3588,11.103,3.00003,249.95,True,True,polish,0.95,True
,1.5,5.07602,0.270202,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3588,11.103,3.00004,249.95,True,True,polish,0.95,True
,1.5,5.07602,0.270202,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3589,11.103,3.00004,249.95,True,True,polish,0.95,True
,1.5,5.07601,0.270202,40,0.582498,0.613925,185.617,20.23,0.663045,37.5725,56.3588,11.103,3.00005,249.95,True,True,polish,0.95,True
,1.5,5.07603,0.270203,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3589,11.1029,3.00005,249.95,True,True,polish,0.95,True
,1.5,5.07602,0.270203,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3588,11.1029,3.00005,249.95,True,True,polish,0.95,True
,1.5,5.07602,0.270203,40,0.582498,0.613925,185.617,20.23,0.663045,37.5725,56.3588,11.103,3.00005,249.95,True,True,polish,0.95,True
,1.5,5.07604,0.270204,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3589,11.1029,3.00006,249.951,True,True,polish,0.95,True
,1.5,5.07604,0.270206,40,0.582498,0.613925,185.617,20.23,0.663045,37.5726,56.3589,11.1029,3.00007,249.951,True,True,polish,0.95,True
,1.5,5.07604,0.270207,40,0.582498,0.613925,185.617,20.23,0.663045,37.5725,56.3588,11.1029,3.00008,249.95,True,True,polish,0.95,True
,1.5,5.07598,0.270208,40,0.582502,0.613925,185.617,20.23,0.663039,37.5722,56.3583,11.1029,3.00011,249.944,True,True,polish,0.95,True
,1.5,5.07606,0.270209,40,0.582508,0.613925,185.617,20.23,0.663045,37.5725,56.3588,11.1029,3.0001,249.95,True,True,polish,0.95,True
,1.5,5.07609,0.270215,40,0.582509,0.613925,185.617,20.23,0.663045,37.5725,56.3588,11.1028,3.00014,249.949,True,True,polish,0.95,True
,1.5,5.07585,0.270224,40,0.582513,0.613925,185.617,20.23,0.663021,37.5712,56.3568,11.1029,3.00028,249.923,True,True,polish,0.95,True
,1.5,5.07603,0.270252,40,0.582515,0.613925,185.617,20.23,0.663022,37.5713,56.3569,11.1025,3.00049,249.924,True,True,polish,0.95,True
,1.5,5.07755,0.270384,40,0.582526,0.613924,185.616,20.23,0.66308,37.5746,56.3618,11.1002,3.00132,249.99,True,True,polish,0.95,True
,1.5,5.07683,0.270415,40,0.582545,0.613923,185.616,20.23,0.663008,37.5704,56.3557,11.1006,3.00176,249.908,True,True,polish,0.95,True
,1.5,5.07859,0.270545,40,0.582545,0.613922,185.616,20.23,0.663086,37.5749,56.3623,11.098,3.00252,249.996,True,True,polish,0.95,True
,1.5,5.07703,0.270588,40,0.582549,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00325,249.831,True,True,polish,1,True
,1.5,5.07703,0.270588,40,0.582549,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00326,249.831,True,True,polish,1,True
,1.5,5.07703,0.270588,40,0.582549,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00326,249.831,True,True,polish,1,True
,1.5,5.07702,0.270588,40,0.582549,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00326,249.831,True,True,polish,1,True
,1.5,5.07703,0.270589,40,0.582549,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00326,249.831,True,True,polish,1,True
,1.5,5.07703,0.270589,40,0.582549,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00326,249.831,True,True,polish,1,True
,1.5,5.07703,0.270589,40,0.58255,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00326,249.831,True,True,polish,1,True
,1.5,5.07703,0.27059,40,0.58255,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00327,249.831,True,True,polish,1,True
,1.5,5.07702,0.27059,40,0.58255,0.613921,185.615,20.23,0.662939,37.5665,56.3498,11.099,3.00327,249.83,True,True,polish,1,True
,1.5,5.07704,0.270591,40,0.58255,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00328,249.831,True,True,polish,1,True
,1.5,5.07704,0.270591,40,0.58255,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00328,249.831,True,True,polish,1,True
,1.5,5.07704,0.270592,40,0.58255,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.099,3.00328,249.831,True,True,polish,1,True
,1.5,5.07705,0.270593,40,0.58255,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.0989,3.0033,249.831,True,True,polish,1,True
,1.5,5.07705,0.270594,40,0.58255,0.613921,185.615,20.23,0.662939,37.5666,56.3498,11.0989,3.0033,249.83,True,True,polish,1,True
,1.5,5.07707,0.270596,40,0.58255,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.0989,3.00332,249.831,True,True,polish,1,True
,1.5,5.07707,0.270596,40,0.58255,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.0989,3.00332,249.831,True,True,polish,1,True
,1.5,5.07706,0.270597,40,0.58255,0.613921,185.615,20.23,0.662939,37.5665,56.3498,11.0989,3.00332,249.83,True,True,polish,1,True
,1.5,5.07709,0.270599,40,0.58255,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.0989,3.00334,249.831,True,True,polish,1,True
,1.5,5.07708,0.2706,40,0.582551,0.613921,185.615,20.23,0.662938,37.5665,56.3498,11.0989,3.00335,249.829,True,True,polish,1,True
,1.5,5.0771,0.270602,40,0.582551,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.0988,3.00336,249.831,True,True,polish,1,True
,1.5,5.07711,0.270602,40,0.582551,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.0988,3.00337,249.831,True,True,polish,1,True
,1.5,5.07712,0.270605,40,0.582551,0.613921,185.615,20.23,0.662939,37.5666,56.3498,11.0988,3.00339,249.83,True,True,polish,1,True
,1.5,5.07711,0.270606,40,0.582551,0.613921,185.615,20.23,0.662939,37.5665,56.3498,11.0988,3.00339,249.83,True,True,polish,1,True
,1.5,5.07716,0.270611,40,0.582551,0.613921,185.615,20.23,0.66294,37.5666,56.3499,11.0987,3.00343,249.831,True,True,polish,1,True
,1.5,5.07715,0.270612,40,0.582552,0.613921,185.615,20.23,0.662939,37.5665,56.3498,11.0987,3.00344,249.83,True,True,polish,1,True
,1.5,5.07689,0.270639,40,0.582559,0.613921,185.615,20.23,0.662905,37.5646,56.3469,11.0987,3.00374,249.791,True,True,polish,1,True
,1.5,5.07835,0.27071,40,0.582562,0.61392,185.615,20.23,0.662988,37.5693,56.354,11.0969,3.00404,249.885,True,True,polish,1,True
,1.5,5.07795,0.270746,40,0.582563,0.61392,185.615,20.23,0.662938,37.5665,56.3497,11.0969,3.00446,249.829,True,True,polish,1,True
,1.5,5.07992,0.27082,40,0.582565,0.61392,185.615,20.23,0.66306,37.5734,56.3601,11.0947,3.00466,249.967,True,True,polish,1,True
,1.5,5.0796,0.270862,40,0.582568,0.613919,185.615,20.23,0.663014,37.5708,56.3562,11.0946,3.00511,249.915,True,True,polish,1,True
,1.5,5.08073,0.271037,40,0.582583,0.613917,185.614,20.23,0.663021,37.5712,56.3568,11.0923,3.00641,249.922,True,True,polish,1,True
,1.5,5.081,0.271195,40,0.582597,0.613916,185.614,20.23,0.662966,37.5681,56.3521,11.0908,3.00775,249.861,True,True,polish,1,True
,1.5,5.08425,0.271569,40,0.582599,0.613913,185.613,20.23,0.663045,37.5726,56.3589,11.085,3.01034,249.951,True,True,polish,0.8,True
,1.5,5.08425,0.271569,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3589,11.085,3.01034,249.95,True,True,polish,0.8,True
,1.5,5.08425,0.271569,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3589,11.085,3.01034,249.95,True,True,polish,0.8,True
,1.5,5.08425,0.271569,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3589,11.085,3.01035,249.95,True,True,polish,0.8,True
,1.5,5.08425,0.27157,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3588,11.085,3.01035,249.95,True,True,polish,0.8,True
,1.5,5.08424,0.27157,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3588,11.085,3.01035,249.95,True,True,polish,0.8,True
,1.5,5.08425,0.27157,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3588,11.085,3.01035,249.95,True,True,polish,0.8,True
,1.5,5.08426,0.271571,40,0.5826,0.613913,185.613,20.23,0.663046,37.5726,56.3589,11.085,3.01035,249.951,True,True,polish,0.85,True
,1.5,5.08426,0.271571,40,0.5826,0.613913,185.613,20.23,0.663046,37.5726,56.3589,11.085,3.01036,249.951,True,True,polish,0.8,True
,1.5,5.08426,0.271571,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3589,11.085,3.01036,249.95,True,True,polish,0.8,True
,1.5,5.08426,0.271571,40,0.5826,0.613913,185.613,20.23,0.663046,37.5726,56.3589,11.085,3.01036,249.951,True,True,polish,0.85,True
,1.5,5.08426,0.271571,40,0.5826,0.613913,185.613,20.23,0.663046,37.5726,56.3589,11.085,3.01036,249.951,True,True,polish,0.8,True
,1.5,5.08426,0.271572,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3589,11.085,3.01036,249.95,True,True,polish,0.8,True
,1.5,5.08427,0.271572,40,0.5826,0.613913,185.613,20.23,0.663046,37.5726,56.3589,11.085,3.01037,249.951,True,True,polish,0.8,True
,1.5,5.08426,0.271572,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3588,11.085,3.01037,249.95,True,True,polish,0.8,True
,1.5,5.08427,0.271573,40,0.5826,0.613913,185.613,20.23,0.663045,37.5726,56.3588,11.0849,3.01037,249.95,True,True,polish,0.8,True
,1.5,5.08427,0.271575,40,0.5826,0.613913,185.613,20.23,0.663045,37.5725,56.3588,11.0849,3.01039,249.949,True,True,polish,0.8,True
,1.5,5.08429,0.271578,40,0.5826,0.613913,185.613,20.23,0.663044,37.5725,56.3588,11.0849,3.01041,249.949,True,True,polish,0.8,True
,1.5,5.08425,0.271581,40,0.582615,0.613913,185.613,20.23,0.66304,37.5723,56.3584,11.0849,3.01045,249.944,True,True,polish,0.8,True
,1.5,5.0843,0.271583,40,0.582616,0.613913,185.613,20.23,0.663043,37.5724,56.3586,11.0848,3.01046,249.947,True,True,polish,0.8,True
,1.5,5.08431,0.271587,40,0.582616,0.613913,185.613,20.23,0.663042,37.5724,56.3586,11.0848,3.01049,249.947,True,True,polish,0.8,True
,1.5,5.08431,0.271589,40,0.582616,0.613913,185.613,20.23,0.663041,37.5723,56.3585,11.0848,3.01051,249.945,True,True,polish,0.8,True
,1.5,5.08432,0.271591,40,0.582616,0.613913,185.613,20.23,0.663041,37.5723,56.3585,11.0848,3.01052,249.945,True,True,polish,0.8,True
,1.5,5.08423,0.271594,40,0.582617,0.613913,185.613,20.23,0.663032,37.5718,56.3578,11.0848,3.01056,249.936,True,True,polish,0.8,True
,1.5,5.08445,0.271614,40,0.582617,0.613912,185.613,20.23,0.66304,37.5722,56.3584,11.0845,3.0107,249.944,True,True,polish,0.8,True
,1.5,5.0844,0.271615,40,0.582619,0.613912,185.613,20.23,0.663035,37.572,56.358,11.0845,3.01072,249.939,True,True,polish,0.8,True
,1.5,5.08439,0.271618,40,0.582619,0.613912,185.613,20.23,0.663033,37.5719,56.3578,11.0845,3.01074,249.937,True,True,polish,0.8,True
,1.5,5.08455,0.271626,40,0.582619,0.613912,185.613,20.23,0.663042,37.5724,56.3586,11.0843,3.01078,249.947,True,True,polish,0.8,True
,1.5,5.08422,0.271629,40,0.582623,0.613912,185.613,20.23,0.663014,37.5708,56.3562,11.0845,3.01088,249.915,True,True,polish,0.8,True
,1.5,5.08483,0.27176,40,0.582634,0.613911,185.612,20.23,0.663,37.57,56.355,11.083,3.0119,249.899,True,True,polish,0.8,True
,1.5,5.08618,0.271874,40,0.582641,0.61391,185.612,20.23,0.663054,37.573,56.3596,11.0809,3.01261,249.96,True,True,polish,0.8,True
,1.5,5.08819,0.272182,40,0.582648,0.613907,185.611,20.23,0.663065,37.5737,56.3605,11.0767,3.01489,249.973,True,True,polish,0.8,True
,1.5,5.08524,0.272335,40,0.582727,0.613904,185.61,20.23,0.662756,37.5562,56.3342,11.078,3.01692,249.623,True,True,polish,0.8,True
,1.5,5.03698,0.270661,40,0.583056,0.613904,185.61,20.23,0.65969,37.3824,56.0736,11.1324,3.0131,246.175,True,True,polish,0.8,True
,1.5,5.03296,0.270545,40,0.583069,0.613904,185.61,20.23,0.659422,37.3672,56.0509,11.1368,3.01299,245.875,True,True,polish,1,True
,1.5,5.04507,0.271594,40,0.583086,0.613897,185.608,20.23,0.659892,37.3939,56.0908,11.118,3.01956,246.401,True,True,polish,0.8,True
