seed,round,trial,R_mm,H_mm,twist_deg,strut_d_mm,cable_d_mm,t180,e_reb_mJ,mass_g,hv,best_t180,best_e_reb_mJ
0,0,0,32.1266,89.6262,59.7792,7.8831,5.3902,0.748538,206.945,22.5528,1.23784,0.748538,206.945
0,0,1,33.7842,80.0836,77.408,10.8717,3.0003,0.73902,172.252,18.7931,5.81675,0.73902,172.252
0,0,2,38.9665,99.995,47.6915,7.0737,3.9241,0.695723,195.37,21.3126,6.76591,0.695723,172.252
0,0,3,25.1224,72.0587,65.1213,10.1789,4.664,0.773181,187.049,20.3866,6.76591,0.695723,172.252
0,0,4,27.6114,104.13,70.4432,9.2816,4.4922,0.826827,188.33,20.5235,6.76591,0.695723,172.252
0,0,5,36.3001,63.2297,52.994,6.4571,4.055,0.583724,204.756,22.3494,8.16991,0.583724,172.252
0,0,6,35.9821,96.4464,62.1055,11.662,3.4949,0.746173,173.439,18.9226,8.16991,0.583724,172.252
0,0,7,30.1066,74.8199,44.4573,8.5803,4.9377,0.693671,197.263,21.5084,8.18528,0.583724,172.252
0,0,8,29.0207,100.866,63.7624,6.199,3.1969,0.800004,191.253,20.8503,8.18528,0.583724,172.252
0,1,9,40,60,40.8073,10.8206,3,0.505954,172.302,18.8169,16.3022,0.505954,172.252
0,1,10,39.9191,60,40,8.07878,3,0.495532,180.226,19.6854,16.6886,0.495532,172.252
0,1,11,40,60,68.3978,11.8384,3,0.571998,171.818,18.7631,16.8255,0.495532,171.818
0,1,12,36.3456,77.9934,40,10.8194,3,0.633607,171.572,18.727,16.8834,0.495532,171.572
0,1,13,39.9352,60,40,6,3,0.494736,192.189,20.9922,16.9034,0.494736,171.572
0,1,14,37.0349,60,40,12,3,0.537841,170.048,18.5688,17.4467,0.494736,170.048
0,1,15,40,60,40,9.51702,3,0.500231,175.346,19.1501,17.4746,0.494736,170.048
0,1,16,40,60,60.3449,9.90956,3,0.548851,175.623,19.1823,17.4746,0.494736,170.048
0,1,17,40,75.3364,80,11.2916,3,0.672853,172.338,18.8077,17.4746,0.494736,170.048
0,2,18,40,60,40,12,3,0.507216,170.201,18.585,17.5389,0.494736,170.048
0,2,19,40,60,40,12,5.38074,0.660186,187.323,20.4634,17.5389,0.494736,170.048
0,2,20,38.5167,60,40,12,3,0.522286,170.125,18.577,17.5401,0.494736,170.048
0,2,21,40,64.1083,40,12,3,0.530745,170.091,18.5711,17.5404,0.494736,170.048
0,2,22,40,60,40,7.24904,3,0.490585,184.118,20.1113,17.6845,0.490585,170.048
0,2,23,40,60,40,10.8693,5.5,0.689302,192.78,21.0546,17.6845,0.490585,170.048
0,2,24,39.2552,60,40,12,3,0.514723,170.163,18.581,17.6848,0.490585,170.048
0,2,25,40,60,40,6.63642,3,0.486893,187.685,20.5009,17.7941,0.486893,170.048
0,2,26,37.7571,60,40,12,3,0.530193,170.086,18.5729,17.7941,0.486893,170.048
0,3,27,40,60,40,12,3.57408,0.510103,173.843,18.9923,17.7941,0.486893,170.048
0,3,28,40,60,40,8.9541,3.48378,0.499884,181.788,19.862,17.7941,0.486893,170.048
0,3,29,40,60,40,12,3.26291,0.508547,171.815,18.7662,17.7941,0.486893,170.048
0,3,30,40,60,40,10.1905,3.4707,0.504417,177.455,19.3878,17.7941,0.486893,170.048
0,3,31,40,60,40,7.74517,3.45356,0.51858,187.083,20.4379,17.7941,0.486893,170.048
0,3,32,40,60,40,11.5253,3.71228,0.509376,175.851,19.2137,17.7941,0.486893,170.048
0,3,33,40,60,40,12,3.12746,0.507846,170.972,18.6716,17.7941,0.486893,170.048
0,3,34,40,60,40,12,3.40307,0.509277,172.713,18.8666,17.7941,0.486893,170.048
0,3,35,40,60,40,8.04653,3.32668,0.495351,184.056,20.107,17.7942,0.486893,170.048
