seed,round,trial,H_over_R,H_over_strut_d,cable_over_strut_d,twist_deg,t180,e_rebound,e_reb_mJ,mass_g,print_scale,R_print_mm,H_print_mm,strut_d_print_mm,cable_d_print_mm,envelope_cm3,t1000,peak_tendon_strain,peak_tendon_energy_mJ,stroke_mm,in_180_g,out_180_g,pulse_ms,feasible,hv,best_t180,best_e_reb_mJ,best_peak_tendon_strain
9,0,0,3.04604,8.09386,0.797262,40.8754,0.846923,0.615046,185.956,20.23,0.668733,18.6611,56.8423,7.02289,5.59908,62.1862,0.858962,0.0710786,24.4499,13.973,208.116,176.258,4.08,True,0.00972753,0.846923,185.956,0.0710786
9,0,1,1.71558,14.1673,0.423337,76.3205,0.70904,0.607426,183.652,20.23,1.03952,51.5042,88.3593,6.23684,2.64028,736.355,0.713773,0.249268,303.012,25.1976,208.608,147.911,4.06,False,0.00972753,0.846923,185.956,0.0710786
9,0,2,2.68779,10.3998,0.748671,59.7777,0.843066,0.614983,185.937,20.23,0.787314,24.8984,66.9217,6.4349,4.81762,130.335,0.856092,0.092506,47.7853,11.0745,208.138,175.474,4.06,True,0.0104675,0.843066,185.937,0.0710786
9,0,3,4.26015,17.3325,0.374562,63.0435,0.643132,0.612066,185.055,20.23,1.23781,24.6972,105.214,6.07032,2.27371,201.614,0.640994,0.335386,108.653,10.615,208.203,133.902,4.06,False,0.0104675,0.843066,185.937,0.0710786
9,0,4,3.82758,8.61558,0.562199,65.221,0.837781,0.615555,186.109,20.23,0.816028,18.1218,69.3624,8.05081,4.52616,71.5607,0.832708,0.09803,29.4555,7.2216,208.004,174.262,4.08,True,0.011452,0.837781,185.937,0.0710786
9,0,5,2.47448,15.7321,0.852334,51.9551,0.807794,0.613163,185.386,20.23,0.933946,32.0816,79.3854,5.04607,4.30094,256.686,0.802654,0.116593,82.0945,9.61656,208.238,168.214,4.08,False,0.011452,0.837781,185.937,0.0710786
9,0,6,2.01933,6.33476,0.319592,74.1235,0.83062,0.610192,184.488,20.23,0.738659,31.0925,62.786,9.91134,3.16759,190.688,0.837643,0.208474,162.771,13.4902,208.338,173.049,4.06,True,0.0119953,0.83062,184.488,0.0710786
9,0,7,3.56906,12.6443,0.609543,48.6785,0.77611,0.614467,185.781,20.23,0.985727,23.4759,83.7868,6.62643,4.0391,145.067,0.771904,0.128041,52.5006,6.67918,208.096,161.505,4.06,True,0.0210909,0.77611,184.488,0.0710786
9,0,8,3.42922,11.3973,0.266383,54.7156,0.587975,0.610498,184.58,20.23,1.08152,26.8075,91.9289,8.06586,2.14861,207.547,0.587314,0.37676,160.236,15.146,208.317,122.485,4.08,False,0.0210909,0.77611,184.488,0.0710786
9,1,9,2.50703,5,0.58563,40,0.8742,0.614943,185.924,20.23,0.554866,18.8125,47.1636,9.43272,5.52408,52.4387,0.878494,0.0747506,28.7071,20.3176,208.197,182.006,4.06,True,0.0210909,0.77611,184.488,0.0710786
9,1,10,4.24337,5,0.916667,67.7752,0.938196,0.615791,186.181,20.23,0.478103,9.57699,40.6387,8.12775,7.45044,11.7098,0.989799,0.0395863,17.9321,10.7931,207.863,195.016,4.08,True,0.0210909,0.77611,184.488,0.0395863
9,1,11,4.4,5,0.6629,40,0.892626,0.615396,186.061,20.23,0.557442,10.7688,47.3826,9.47652,6.28199,17.2624,0.916717,0.0571733,14.5654,11.1717,207.946,185.618,4.08,True,0.0210909,0.77611,184.488,0.0395863
9,1,12,4.4,12.8725,0.916667,40,0.83862,0.61537,186.054,20.23,0.857361,16.5627,72.8757,5.66133,5.18956,62.8047,0.838394,0.0800142,22.1683,9.89724,208.014,174.445,4.08,True,0.0212192,0.77611,184.488,0.0395863
9,1,13,2.0978,5,0.916667,40,0.969659,0.614959,185.929,20.23,0.436451,17.6844,37.0983,7.41967,6.80136,36.4488,1.03582,0.0540903,27.9504,27.2482,208.383,202.06,4.06,True,0.0212192,0.77611,184.488,0.0395863
