seed,final_hv,best_t180,best_e_reb_mJ,n,best_peak_tendon_strain,n_feasible
0,0.025601,0.775212,184.643,45,0.0382891,40
1,0.0254325,0.773118,184.553,45,0.0382854,42
2,0.0230199,0.79092,185.067,45,0.040968,42
3,0.0292504,0.746538,184.986,45,0.0382891,42
4,0.0281074,0.74271,185.067,45,0.0382891,42
5,0.0305771,0.724218,185.163,45,0.0478649,42
6,0.0220812,0.797284,184.813,45,0.0400957,40
7,0.0326358,0.722455,185.542,45,0.0383228,40
8,0.0336233,0.710195,184.59,45,0.0382891,41
9,0.0261963,0.768748,184.488,45,0.0395863,41
